row_index,name,token,5m_change,1h_change,6h_change,5m_transactions,5m_volume,mcp,liquidity_sol,holders,open_time,top10_holders,dev_hold_%,dev_burnt,telegram,timestamp
0,LONG,2HUDMBsnctpkQo2fdf6Z4ECrXhAJbemJ4NJr4X9Spump,8.22%,34.37%,35.24%,35,8.8K,4.8M,668.31,1918,9d,15.77%,Buy More,-,https://t.me/thetickerislong,2024-11-21 09:09:09
1,CIA'S AI MASCOT,9gzA3kSZvB25YwHj4JPfcx473KyZ6ZQZA59D9BiGpump,8.37%,40.66%,109.1%,79,23.6K,6.6M,867.3,1654,4d,22.94%,0%,-,,2024-11-21 09:09:09
2,Human Dev,DdkF88EdocA3kAK1D1kvXYcNTL5LYefXx4HgY7P3pump,,,,2212,736.2K,1.3M,255.06,2622,24min,18.62%,1%,-,,2024-11-21 09:09:09
3,LET HIM COOK,CDgpSoqx7LVf8qTJe86JysqEX7W3VQpXrBwoY7VXpump,90.35%,99999%,99999%,,,7.6M,673.04,3286,17min,21.58%,3.04% Buy More,-,https://t.me/+IzldLu2uvBszZDhh,2024-11-21 09:09:09
4,AVA Chiang Mai Night Safari,H1vAwYTZkL2Bq8tpS5DhC4pPJjhMLviH2ScGjuePpump,13.85%,35.88%,122%,38,9.6K,1.9M,375.66,2536,1d,15.43%,0%,-,https://t.me/avactosol,2024-11-21 09:09:09
5,divinely protected,GcWVDkoaBWZYW7bBgqCHDiqAmfnwwPxvbusA3s77pump,,,,785,731.7K,2.6M,424.9,1953,5h,19.52%,0%,-,https://t.me/thedivinelyprotectedcoin,2024-11-21 09:09:09
6,Just a chill girl,2xB9bxTqabJWFB2RuPh99EwQLXukvLmttkwyQBLipump,1.52%,44.09%,171.6%,67,6.2K,800K,246.21,2119,1d,26.46%,0%,-,https://t.me/CHILLGIRLY,2024-11-21 09:09:09
7,Crime onchain,7M3gDRgozcumFsiTeXwjB8cYxpg7Q9R7rH7rkw2Fpump,0.57%,34.81%,78.83%,13,1.9K,3.8M,764.42,2409,9d,17.38%,1.54% Buy More,-,https://t.me/crimeonchain,2024-11-21 09:09:09
8,#memecoin,GKmhAJjgdShHZccuwQLRUBhCMHA6MghHorfp5uUfpump,,,,,,2.1M,411.24,2446,16min,13.88%,0%,-,,2024-11-21 09:09:09
9,Game is game,BeV4PdcZsNX2WgKgwFTTEgLEnAkbD9CGgxdcVzPHpump,30.18%,51.54%,166.4%,98,52.9K,2M,565.94,3313,9d,16.26%,1.46% Buy More,-,https://t.me/gameisgamecoin,2024-11-21 09:09:09
10,Ozempic,3u61JCqvY9cZT69XsX4kia5xP3CpC6AeiPFfHBSZpump,50.49%,211.5%,-35.21%,440,129.4K,1.2M,345.83,5288,23h,18.01%,0%,-,https://t.me/Ozempicdealers,2024-11-21 09:09:09
