datetime,address,c,h,l,o,type,v,token,timestamp
2024-11-14 08:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,9.103231449370241e-06,9.103231449370241e-06,8.885173340048214e-06,8.885173340048214e-06,1H,16115147.119862001,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-14 08:00:00
2024-11-14 09:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,8.827822410726578e-06,9.103231449370241e-06,8.827822410726578e-06,9.103231449370241e-06,1H,16159649.036208002,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-14 09:00:00
2024-11-14 10:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,8.815722179454358e-06,9.172300638860711e-06,8.813408411613773e-06,8.827822410726578e-06,1H,47747980.348558,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-14 10:00:00
2024-11-14 11:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,8.481938909232526e-06,8.815722179454358e-06,8.481938909232526e-06,8.815722179454358e-06,1H,1186988.410495,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-14 11:00:00
2024-11-14 12:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,7.917012174282477e-06,8.481938909232526e-06,7.917012174282477e-06,8.481938909232526e-06,1H,38865821.600345,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-14 12:00:00
2024-11-14 13:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,7.645997091625413e-06,7.917012174282477e-06,7.645997091625413e-06,7.917012174282477e-06,1H,5365042.261067001,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-14 13:00:00
2024-11-14 14:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,7.683261066540633e-06,7.683261066540633e-06,7.645997091625413e-06,7.645997091625413e-06,1H,2047418.8832689999,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-14 14:00:00
2024-11-14 15:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,7.683261066540633e-06,7.683261066540633e-06,7.683261066540633e-06,7.683261066540633e-06,1H,0.0,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-14 15:00:00
2024-11-14 16:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,7.683261066540633e-06,7.683261066540633e-06,7.683261066540633e-06,7.683261066540633e-06,1H,0.0,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-14 16:00:00
2024-11-14 17:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,7.420992960172259e-05,8.377417756590682e-05,7.683261066540633e-06,7.683261066540633e-06,1H,951843863.6749809,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-14 17:00:00
2024-11-14 18:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,0.0001867621192935983,0.00019171011028846536,2.2495145900738584e-05,7.420992960172259e-05,1H,3394604504.4512916,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-14 18:00:00
2024-11-14 19:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,3.521701543720457e-05,0.00021556388736784259,3.292212503653123e-05,0.0001867621192935983,1H,2626733685.412703,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-14 19:00:00
2024-11-14 20:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,1.916643189439975e-05,3.791037244450096e-05,1.7264611335381653e-05,3.521701543720457e-05,1H,356471644.6037912,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-14 20:00:00
2024-11-14 21:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,5.592683139443712e-05,8.337256122606108e-05,1.916643189439975e-05,1.916643189439975e-05,1H,1261800488.5710726,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-14 21:00:00
2024-11-14 22:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2.401773209157666e-05,6.148986240736859e-05,2.274340688522901e-05,5.592683139443712e-05,1H,316853164.907173,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-14 22:00:00
2024-11-14 23:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2.4015952109850528e-05,7.578757851849038e-05,2.202919981450296e-05,2.401773209157666e-05,1H,1152763188.6253877,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-14 23:00:00
2024-11-15 00:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2.6382472708254626e-05,2.6382472708254626e-05,1.757434498772066e-05,2.4015952109850528e-05,1H,184948415.852164,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-15 00:00:00
2024-11-15 01:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2.2217712939608778e-05,2.6382472708254626e-05,2.2217712939608778e-05,2.6382472708254626e-05,1H,35834910.80482601,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-15 01:00:00
2024-11-15 02:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2.1257353693628717e-05,2.2217712939608778e-05,2.1257353693628717e-05,2.2217712939608778e-05,1H,8733968.347835999,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-15 02:00:00
2024-11-15 03:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2.1963908933688927e-05,2.7811432793126754e-05,2.1257353693628717e-05,2.1257353693628717e-05,1H,114535887.468233,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-15 03:00:00
2024-11-15 04:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,1.4774374361247439e-05,2.1963908933688927e-05,1.3385836893566738e-05,2.1963908933688927e-05,1H,164368660.38711002,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-15 04:00:00
2024-11-15 05:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,1.4385711177752981e-05,1.5123748799571698e-05,1.4385711177752981e-05,1.4774374361247439e-05,1H,27077599.30456,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-15 05:00:00
2024-11-15 06:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2.1492705452218994e-05,2.217144397483232e-05,1.4233038027957276e-05,1.4385711177752981e-05,1H,320083619.2499217,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-15 06:00:00
2024-11-15 07:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,3.5138682188632164e-05,3.5138682188632164e-05,2.1492705452218994e-05,2.1492705452218994e-05,1H,287728608.0822884,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-15 07:00:00
2024-11-15 08:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,3.647560396374309e-05,4.0222467182030524e-05,3.0334938083074342e-05,3.5138682188632164e-05,1H,409483938.6541138,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-15 08:00:00
2024-11-15 09:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,6.684751382852859e-05,8.893486067616255e-05,3.44229659507055e-05,3.647560396374309e-05,1H,897692713.3248469,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-15 09:00:00
2024-11-15 10:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,3.4259217924903355e-05,8.46715716913312e-05,3.4259217924903355e-05,6.684751382852859e-05,1H,357924858.43871003,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-15 10:00:00
2024-11-15 11:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,0.00014843101357711963,0.00014933466440435295,3.3209982569816593e-05,3.4259217924903355e-05,1H,637003988.2181041,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-15 11:00:00
2024-11-15 12:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,0.0001812856000392378,0.000970223276688248,0.00014091497513269463,0.00014843101357711963,1H,3538733648.7946916,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-15 12:00:00
2024-11-15 13:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,0.00015774575842163793,0.0002593779326573861,0.00013231856251809114,0.0001812856000392378,1H,1435272782.557562,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-15 13:00:00
2024-11-15 14:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,8.872649927798654e-05,0.00015774575842163793,6.511266396011362e-05,0.00015774575842163793,1H,826788507.5219675,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-15 14:00:00
2024-11-15 15:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,0.00011206645605332604,0.0003567938584990613,5.730919623164216e-05,8.872649927798654e-05,1H,2890324516.282219,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-15 15:00:00
2024-11-15 16:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,0.00012240659994187199,0.00013823124895384918,8.956454052680028e-05,0.00011206645605332604,1H,243173026.02658635,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-15 16:00:00
2024-11-15 17:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,0.0002764220834067185,0.00029461757033253565,0.00011727816864351834,0.00012240659994187199,1H,550612996.8291959,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-15 17:00:00
2024-11-15 18:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,0.0002665403043083421,0.0005490745660533753,0.00020754281577164136,0.0002764220834067185,1H,555952983.5295537,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-15 18:00:00
2024-11-15 19:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,0.00021190616949900862,0.0003033851776426003,0.00015415442741815161,0.0002665403043083421,1H,252777139.21184304,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-15 19:00:00
2024-11-15 20:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,0.00027119584046451147,0.0003274469740270175,0.00021190616949900862,0.00021190616949900862,1H,137191615.89688593,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-15 20:00:00
2024-11-15 21:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,0.00019034425020891945,0.00027119584046451147,0.00018758902476593,0.00027119584046451147,1H,91396536.60494499,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-15 21:00:00
2024-11-15 22:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,0.0001491560058721071,0.00020347528156647188,0.0001460834937712636,0.00019034425020891945,1H,133635427.486868,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-15 22:00:00
2024-11-15 23:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,0.00017209767468748426,0.0001853794362042262,0.00014334280819226737,0.0001491560058721071,1H,134253926.523159,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-15 23:00:00
2024-11-16 00:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,0.0001836759656904179,0.000305528588425639,0.00016955757447139542,0.00017209767468748426,1H,420758720.09878516,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-16 00:00:00
2024-11-16 01:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,0.0006627480423356924,0.0010107693127449303,0.00018339864167372894,0.0001836759656904179,1H,937339602.8356216,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-16 01:00:00
2024-11-16 02:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,0.0007017992204627662,0.001252179824727116,0.0005718932843887201,0.0006627480423356924,1H,582022420.6386877,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-16 02:00:00
2024-11-16 03:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,0.0011622757137877417,0.001240585195860322,0.0006195806906606299,0.0007017992204627662,1H,293774222.0867728,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-16 03:00:00
2024-11-16 04:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,0.0012200822922876907,0.0013764803904998933,0.000731529021941108,0.0011622757137877417,1H,189974373.93638018,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-16 04:00:00
2024-11-16 05:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,0.0011133060969763732,0.001600265550883651,0.001088951548915603,0.0012200822922876907,1H,147414325.79856995,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-16 05:00:00
2024-11-16 06:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,0.0011341202446979411,0.0013141630879535283,0.0009768763545712812,0.0011133060969763732,1H,113923162.6286289,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-16 06:00:00
2024-11-16 07:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,0.0007489086743593766,0.0011882534280317953,0.0007346865984243346,0.0011341202446979411,1H,112480644.16981901,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-16 07:00:00
2024-11-16 08:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,0.0006046398950284083,0.0007705479234926987,0.0006001665267688306,0.0007489086743593766,1H,94512972.10152403,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-16 08:00:00
2024-11-16 09:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,0.0005942748404864383,0.0006539228164020478,0.0005663615788673083,0.0006046398950284083,1H,84155910.09327093,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-16 09:00:00
2024-11-16 10:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,0.0006079137388933453,0.0006297973806049369,0.0005085339082766209,0.0005942748404864383,1H,83662530.87527703,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-16 10:00:00
2024-11-16 11:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,0.0006597210963436782,0.0009049932226913635,0.0006006101068458405,0.0006079137388933453,1H,74163793.709021,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-16 11:00:00
2024-11-16 12:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,0.0006449078005721981,0.0007011325957138589,0.0006069459524125358,0.0006597210963436782,1H,34887299.70196299,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-16 12:00:00
2024-11-16 13:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,0.001734445937294322,0.002669135801588892,0.0006085054319646519,0.0006449078005721981,1H,429693227.0600647,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-16 13:00:00
2024-11-16 14:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,0.005335538105317639,0.008498249610399395,0.001401909231847184,0.001734445937294322,1H,760205025.3275073,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-16 14:00:00
2024-11-16 15:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,0.004661091254161319,0.007009357693749328,0.004223505622374237,0.005335538105317639,1H,338732473.02199507,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-16 15:00:00
2024-11-16 16:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,0.004149091354168819,0.005410966180926944,0.00261039192938435,0.004661091254161319,1H,328886585.5018483,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-16 16:00:00
2024-11-16 17:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,0.0036200120882867535,0.004149091354168819,0.0030577005664298154,0.004149091354168819,1H,125604332.77215499,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-16 17:00:00
2024-11-16 18:00:00,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,0.0016465883594266341,0.004406346033633412,0.0013798365731188542,0.0036200120882867535,1H,430296793.5947078,J252vEBJq8iABpPqAz9M7AYn6y6F3FoEssjXwF81pump,2024-11-16 18:00:00
