datetime,address,c,h,l,o,type,v
2024-10-22 17:10:00,Fz6PUVkJk1QbNoV6choS4Pm23wqftzv47Uop6mKfQwRU,1.9195035346587963e-05,1.9195035346587963e-05,1.9189226859943607e-05,1.9194143563774448e-05,5m,3143664.3814025167
2024-10-22 17:15:00,Fz6PUVkJk1QbNoV6choS4Pm23wqftzv47Uop6mKfQwRU,1.953369815380134e-05,1.953369815380134e-05,1.91651617345913e-05,1.9195035346587963e-05,5m,69873581.39171149
2024-10-22 17:20:00,Fz6PUVkJk1QbNoV6choS4Pm23wqftzv47Uop6mKfQwRU,1.9963289878281377e-05,1.9963289878281377e-05,1.953369815380134e-05,1.953369815380134e-05,5m,66231295.352161795
2024-10-22 17:25:00,Fz6PUVkJk1QbNoV6choS4Pm23wqftzv47Uop6mKfQwRU,2.0326706803548806e-05,2.0326706803548806e-05,1.9963289878281377e-05,1.9963289878281377e-05,5m,58604687.262046
2024-10-22 17:30:00,Fz6PUVkJk1QbNoV6choS4Pm23wqftzv47Uop6mKfQwRU,2.0744235381456347e-05,2.0744235381456347e-05,2.0326706803548806e-05,2.0326706803548806e-05,5m,73969452.03951855
2024-10-22 17:35:00,Fz6PUVkJk1QbNoV6choS4Pm23wqftzv47Uop6mKfQwRU,2.0978596299830776e-05,2.0978596299830776e-05,2.0744235381456347e-05,2.0744235381456347e-05,5m,32762613.609233066
2024-10-22 17:40:00,Fz6PUVkJk1QbNoV6choS4Pm23wqftzv47Uop6mKfQwRU,2.140441788756374e-05,2.140441788756374e-05,2.0908526959461127e-05,2.0978596299830776e-05,5m,64756900.25411047
2024-10-22 17:45:00,Fz6PUVkJk1QbNoV6choS4Pm23wqftzv47Uop6mKfQwRU,2.1773228001671477e-05,2.1773228001671477e-05,2.140441788756374e-05,2.140441788756374e-05,5m,47889373.809725136
2024-10-22 17:50:00,Fz6PUVkJk1QbNoV6choS4Pm23wqftzv47Uop6mKfQwRU,2.2038835468273165e-05,2.2038835468273165e-05,2.1773228001671477e-05,2.1773228001671477e-05,5m,38835848.37374221
2024-10-22 17:55:00,Fz6PUVkJk1QbNoV6choS4Pm23wqftzv47Uop6mKfQwRU,2.241732889610109e-05,2.241732889610109e-05,2.2038835468273165e-05,2.2038835468273165e-05,5m,50572227.91498577
2024-10-22 18:00:00,Fz6PUVkJk1QbNoV6choS4Pm23wqftzv47Uop6mKfQwRU,2.2885135378915433e-05,2.2885135378915433e-05,2.241732889610109e-05,2.241732889610109e-05,5m,50936748.05760312
2024-10-22 18:05:00,Fz6PUVkJk1QbNoV6choS4Pm23wqftzv47Uop6mKfQwRU,2.3233659116886683e-05,2.3233659116886683e-05,2.2885135378915433e-05,2.2885135378915433e-05,5m,41432026.94690293
2024-10-22 18:10:00,Fz6PUVkJk1QbNoV6choS4Pm23wqftzv47Uop6mKfQwRU,2.3492333580259452e-05,2.3492333580259452e-05,2.3233659116886683e-05,2.3233659116886683e-05,5m,33790693.99574314
2024-10-22 18:15:00,Fz6PUVkJk1QbNoV6choS4Pm23wqftzv47Uop6mKfQwRU,2.3529367304374546e-05,2.3529367304374546e-05,2.3492333580259452e-05,2.3492333580259452e-05,5m,4990640.358360925
2024-10-22 18:20:00,Fz6PUVkJk1QbNoV6choS4Pm23wqftzv47Uop6mKfQwRU,2.3897396379440394e-05,2.3897396379440394e-05,2.347503293608056e-05,2.3529367304374546e-05,5m,40368190.944861114
2024-10-22 18:25:00,Fz6PUVkJk1QbNoV6choS4Pm23wqftzv47Uop6mKfQwRU,2.399655137248793e-05,2.399655137248793e-05,2.3897396379440394e-05,2.3897396379440394e-05,5m,8418956.589242836
2024-10-22 18:30:00,Fz6PUVkJk1QbNoV6choS4Pm23wqftzv47Uop6mKfQwRU,2.4281248604365965e-05,2.4281248604365965e-05,2.399655137248793e-05,2.399655137248793e-05,5m,33433947.163151033
2024-10-22 18:35:00,Fz6PUVkJk1QbNoV6choS4Pm23wqftzv47Uop6mKfQwRU,2.457738990006267e-05,2.457738990006267e-05,2.4281248604365965e-05,2.4281248604365965e-05,5m,34420881.367627725
2024-10-22 18:40:00,Fz6PUVkJk1QbNoV6choS4Pm23wqftzv47Uop6mKfQwRU,2.4815581996220923e-05,2.4815581996220923e-05,2.4573334448208162e-05,2.457738990006267e-05,5m,33337375.858845226
2024-10-22 18:45:00,Fz6PUVkJk1QbNoV6choS4Pm23wqftzv47Uop6mKfQwRU,2.5060644878115308e-05,2.5060644878115308e-05,2.4815581996220923e-05,2.4815581996220923e-05,5m,18204934.0178975
