datetime,address,c,h,l,o,type,v
2024-10-20 14:00:00,okDFNbhRWYi1NpQyFrR4Uzx2vR1RAMnW3N4VHs3Mint,5.1353566615297915e-05,5.529089676014227e-05,3.0730401228541174e-05,3.0730401228541174e-05,1H,7673927408.345453
2024-10-20 15:00:00,okDFNbhRWYi1NpQyFrR4Uzx2vR1RAMnW3N4VHs3Mint,4.879677281738698e-05,5.678270370650228e-05,4.682775329461916e-05,5.1353566615297915e-05,1H,1986021154.2005517
2024-10-20 16:00:00,okDFNbhRWYi1NpQyFrR4Uzx2vR1RAMnW3N4VHs3Mint,5.363777210634205e-05,6.0452206139041224e-05,4.875115808676652e-05,4.879677281738698e-05,1H,2079383986.6450267
2024-10-20 17:00:00,okDFNbhRWYi1NpQyFrR4Uzx2vR1RAMnW3N4VHs3Mint,5.5900192196958113e-05,5.807012346265232e-05,5.3122775998031394e-05,5.363777210634205e-05,1H,1361186312.0045843
2024-10-20 18:00:00,okDFNbhRWYi1NpQyFrR4Uzx2vR1RAMnW3N4VHs3Mint,5.653678955817289e-05,5.9114276390141436e-05,5.056109448483288e-05,5.5900192196958113e-05,1H,2545180551.797992
2024-10-20 19:00:00,okDFNbhRWYi1NpQyFrR4Uzx2vR1RAMnW3N4VHs3Mint,5.888486455344229e-05,6.700773244058362e-05,4.910849712756707e-05,5.653678955817289e-05,1H,5941351131.49141
2024-10-20 20:00:00,okDFNbhRWYi1NpQyFrR4Uzx2vR1RAMnW3N4VHs3Mint,5.4756382690902644e-05,6.137332584082941e-05,5.282166123040245e-05,5.888486455344229e-05,1H,7019786183.820442
2024-10-20 21:00:00,okDFNbhRWYi1NpQyFrR4Uzx2vR1RAMnW3N4VHs3Mint,6.038789040852447e-05,6.25361834205911e-05,5.029219977717294e-05,5.4756382690902644e-05,1H,2979712104.2015524
2024-10-20 22:00:00,okDFNbhRWYi1NpQyFrR4Uzx2vR1RAMnW3N4VHs3Mint,5.6596313245976804e-05,6.631384122926164e-05,5.026448648185753e-05,6.038789040852447e-05,1H,8569704057.582648
2024-10-20 23:00:00,okDFNbhRWYi1NpQyFrR4Uzx2vR1RAMnW3N4VHs3Mint,5.807223182665545e-05,6.441639077887272e-05,5.026403602720141e-05,5.6596313245976804e-05,1H,3241812835.8159404
2024-10-21 00:00:00,okDFNbhRWYi1NpQyFrR4Uzx2vR1RAMnW3N4VHs3Mint,5.235337830013481e-05,5.8741398787599736e-05,5.121736710381272e-05,5.807223182665545e-05,1H,328844612.86451596
