datetime,address,c,h,l,o,type,v
2024-10-22 22:15:00,4GbfLGqXFBaWow5ZoTNCFkB9tePmFcDrkiweFgg64fd9,1.104175992123645e-05,1.104175992123645e-05,1.0871857130148207e-05,1.0877589337567504e-05,5m,64707177.305231646
2024-10-22 22:20:00,4GbfLGqXFBaWow5ZoTNCFkB9tePmFcDrkiweFgg64fd9,1.1531401463046187e-05,1.1531401463046187e-05,1.104175992123645e-05,1.104175992123645e-05,5m,122558816.67650235
2024-10-22 22:25:00,4GbfLGqXFBaWow5ZoTNCFkB9tePmFcDrkiweFgg64fd9,1.2116460839044983e-05,1.2116460839044983e-05,1.1531401463046187e-05,1.1531401463046187e-05,5m,150077120.73568544
2024-10-22 22:30:00,4GbfLGqXFBaWow5ZoTNCFkB9tePmFcDrkiweFgg64fd9,1.2443881185585499e-05,1.2443881185585499e-05,1.2116460839044983e-05,1.2116460839044983e-05,5m,86711575.75615941
2024-10-22 22:35:00,4GbfLGqXFBaWow5ZoTNCFkB9tePmFcDrkiweFgg64fd9,1.289392967648995e-05,1.289392967648995e-05,1.2443881185585499e-05,1.2443881185585499e-05,5m,96923568.96921429
2024-10-22 22:40:00,4GbfLGqXFBaWow5ZoTNCFkB9tePmFcDrkiweFgg64fd9,1.3449127201761475e-05,1.3449127201761475e-05,1.289392967648995e-05,1.289392967648995e-05,5m,113859467.32635133
2024-10-22 22:45:00,4GbfLGqXFBaWow5ZoTNCFkB9tePmFcDrkiweFgg64fd9,1.40559984271537e-05,1.40559984271537e-05,1.3449127201761475e-05,1.3449127201761475e-05,5m,121263896.74710801
2024-10-22 22:50:00,4GbfLGqXFBaWow5ZoTNCFkB9tePmFcDrkiweFgg64fd9,1.4602547375539677e-05,1.4602547375539677e-05,1.40559984271537e-05,1.40559984271537e-05,5m,103602399.64318551
2024-10-22 22:55:00,4GbfLGqXFBaWow5ZoTNCFkB9tePmFcDrkiweFgg64fd9,1.5215815807098592e-05,1.5215815807098592e-05,1.4602547375539677e-05,1.4602547375539677e-05,5m,109604200.13645083
2024-10-22 23:00:00,4GbfLGqXFBaWow5ZoTNCFkB9tePmFcDrkiweFgg64fd9,1.575169901343171e-05,1.575169901343171e-05,1.5215815807098592e-05,1.5215815807098592e-05,5m,94944031.14432828
2024-10-22 23:05:00,4GbfLGqXFBaWow5ZoTNCFkB9tePmFcDrkiweFgg64fd9,1.613142409098603e-05,1.613142409098603e-05,1.575169901343171e-05,1.575169901343171e-05,5m,61273850.05068359
2024-10-22 23:10:00,4GbfLGqXFBaWow5ZoTNCFkB9tePmFcDrkiweFgg64fd9,1.6420005716380947e-05,1.6420005716380947e-05,1.613142409098603e-05,1.613142409098603e-05,5m,53212487.94176863
2024-10-22 23:15:00,4GbfLGqXFBaWow5ZoTNCFkB9tePmFcDrkiweFgg64fd9,1.6959216938814916e-05,1.6959216938814916e-05,1.6420005716380947e-05,1.6420005716380947e-05,5m,80499482.70171753
2024-10-22 23:20:00,4GbfLGqXFBaWow5ZoTNCFkB9tePmFcDrkiweFgg64fd9,1.763023228397769e-05,1.763023228397769e-05,1.6959216938814916e-05,1.6959216938814916e-05,5m,98621350.3932678
2024-10-22 23:25:00,4GbfLGqXFBaWow5ZoTNCFkB9tePmFcDrkiweFgg64fd9,1.818383149090828e-05,1.818383149090828e-05,1.763023228397769e-05,1.763023228397769e-05,5m,82653182.81853208
2024-10-22 23:30:00,4GbfLGqXFBaWow5ZoTNCFkB9tePmFcDrkiweFgg64fd9,1.882247567651406e-05,1.882247567651406e-05,1.818383149090828e-05,1.818383149090828e-05,5m,81486522.87124747
2024-10-22 23:35:00,4GbfLGqXFBaWow5ZoTNCFkB9tePmFcDrkiweFgg64fd9,1.9469858563594354e-05,1.9469858563594354e-05,1.882247567651406e-05,1.882247567651406e-05,5m,80475613.5780703
2024-10-22 23:40:00,4GbfLGqXFBaWow5ZoTNCFkB9tePmFcDrkiweFgg64fd9,2.025683495602205e-05,2.025683495602205e-05,1.9469858563594354e-05,1.9469858563594354e-05,5m,94326454.2631012
2024-10-22 23:45:00,4GbfLGqXFBaWow5ZoTNCFkB9tePmFcDrkiweFgg64fd9,2.091126517687007e-05,2.091126517687007e-05,2.025683495602205e-05,2.025683495602205e-05,5m,74648165.29808676
