datetime,address,c,h,l,o,type,v
2024-10-22 22:15:00,6NbZkreu7D8DF6ACEdjjhRLUSuGVN5A3n4ZR5uH9cUX,1.6129337404021376e-05,1.6129337404021376e-05,1.504302833253755e-05,1.507392208854061e-05,15m,276376646.3151152
2024-10-22 22:30:00,6NbZkreu7D8DF6ACEdjjhRLUSuGVN5A3n4ZR5uH9cUX,1.7212859546934162e-05,1.7212859546934162e-05,1.6129337404021376e-05,1.6129337404021376e-05,15m,241119782.17992133
2024-10-22 22:45:00,6NbZkreu7D8DF6ACEdjjhRLUSuGVN5A3n4ZR5uH9cUX,1.8257773957616835e-05,1.8257773957616835e-05,1.7212859546934162e-05,1.7212859546934162e-05,15m,223273557.53806278
2024-10-22 23:00:00,6NbZkreu7D8DF6ACEdjjhRLUSuGVN5A3n4ZR5uH9cUX,1.8969550559432226e-05,1.8969550559432226e-05,1.8257773957616835e-05,1.8257773957616835e-05,15m,155684769.7112666
2024-10-22 23:15:00,6NbZkreu7D8DF6ACEdjjhRLUSuGVN5A3n4ZR5uH9cUX,1.9932553802342728e-05,1.9932553802342728e-05,1.8969550559432226e-05,1.8969550559432226e-05,15m,193889145.00054285
2024-10-22 23:30:00,6NbZkreu7D8DF6ACEdjjhRLUSuGVN5A3n4ZR5uH9cUX,2.1135149496097383e-05,2.1135149496097383e-05,1.9932553802342728e-05,1.9932553802342728e-05,15m,209832187.0468913
2024-10-22 23:45:00,6NbZkreu7D8DF6ACEdjjhRLUSuGVN5A3n4ZR5uH9cUX,2.2439548801664726e-05,2.2439548801664726e-05,2.1135149496097383e-05,2.1135149496097383e-05,15m,202884742.24222928
2024-10-23 00:00:00,6NbZkreu7D8DF6ACEdjjhRLUSuGVN5A3n4ZR5uH9cUX,2.3798460834673286e-05,2.3798460834673286e-05,2.2439548801664726e-05,2.2439548801664726e-05,15m,206044282.85849702
2024-10-23 00:15:00,6NbZkreu7D8DF6ACEdjjhRLUSuGVN5A3n4ZR5uH9cUX,2.5098883056638154e-05,2.5098883056638154e-05,2.3798460834673286e-05,2.3798460834673286e-05,15m,180534569.39360467
2024-10-23 00:30:00,6NbZkreu7D8DF6ACEdjjhRLUSuGVN5A3n4ZR5uH9cUX,2.6407626182041464e-05,2.6407626182041464e-05,2.5098883056638154e-05,2.5098883056638154e-05,15m,165123641.782781
2024-10-23 00:45:00,6NbZkreu7D8DF6ACEdjjhRLUSuGVN5A3n4ZR5uH9cUX,2.7792067505142383e-05,2.7792067505142383e-05,2.6407626182041464e-05,2.6407626182041464e-05,15m,151912594.02099055
2024-10-23 01:00:00,6NbZkreu7D8DF6ACEdjjhRLUSuGVN5A3n4ZR5uH9cUX,2.931346165194294e-05,2.931346165194294e-05,2.7792067505142383e-05,2.7792067505142383e-05,15m,153700668.03514656
2024-10-23 01:15:00,6NbZkreu7D8DF6ACEdjjhRLUSuGVN5A3n4ZR5uH9cUX,3.040619748898043e-05,3.040619748898043e-05,2.931346165194294e-05,2.931346165194294e-05,15m,95422093.07570882
