datetime,address,c,h,l,o,type,v
2024-10-22 23:55:00,H9MHgTnbqJenWoSgRG4MhJbBMUKXM2C3Bwjb7WfFQfSq,5.024225484143557e-05,5.1971776783238055e-05,1.527414393438792e-06,1.527414393438792e-06,5m,3656967741.213887
2024-10-23 00:00:00,H9MHgTnbqJenWoSgRG4MhJbBMUKXM2C3Bwjb7WfFQfSq,0.00027621723102942404,0.0002807838955307372,4.634439172023198e-05,5.024225484143557e-05,5m,840358279.3564261
2024-10-23 00:05:00,H9MHgTnbqJenWoSgRG4MhJbBMUKXM2C3Bwjb7WfFQfSq,0.00018069230026925318,0.00028237100563374213,0.00016981997516808025,0.00027621723102942404,5m,454824613.9815249
2024-10-23 00:10:00,H9MHgTnbqJenWoSgRG4MhJbBMUKXM2C3Bwjb7WfFQfSq,0.00030417392159394485,0.00031327482979033274,0.00011203777343112962,0.00018069230026925318,5m,607188407.1824248
2024-10-23 00:15:00,H9MHgTnbqJenWoSgRG4MhJbBMUKXM2C3Bwjb7WfFQfSq,0.00043727726608900084,0.0004404991501633616,0.00027643389574139114,0.00030417392159394485,5m,297740958.3610828
2024-10-23 00:20:00,H9MHgTnbqJenWoSgRG4MhJbBMUKXM2C3Bwjb7WfFQfSq,0.000330702942533553,0.00047959298922654555,0.00029168073324588225,0.00043727726608900084,5m,270323807.51628697
2024-10-23 00:25:00,H9MHgTnbqJenWoSgRG4MhJbBMUKXM2C3Bwjb7WfFQfSq,0.0003100881926422462,0.00034338213533137316,0.00020987965636925512,0.000330702942533553,5m,382823988.2729941
2024-10-23 00:30:00,H9MHgTnbqJenWoSgRG4MhJbBMUKXM2C3Bwjb7WfFQfSq,0.0003395497070606755,0.0003880553414415354,0.00022598726121838238,0.0003100881926422462,5m,315604061.7890491
2024-10-23 00:35:00,H9MHgTnbqJenWoSgRG4MhJbBMUKXM2C3Bwjb7WfFQfSq,0.0004858147435745364,0.000502267116075028,0.00029937145130076536,0.0003395497070606755,5m,306068441.8494572
2024-10-23 00:40:00,H9MHgTnbqJenWoSgRG4MhJbBMUKXM2C3Bwjb7WfFQfSq,0.0004707154892194487,0.0005223442859527304,0.00037742362274159966,0.0004858147435745364,5m,205173113.49247098
2024-10-23 00:45:00,H9MHgTnbqJenWoSgRG4MhJbBMUKXM2C3Bwjb7WfFQfSq,0.0004884508863995492,0.0005429094732204348,0.0004460288283700068,0.0004707154892194487,5m,192305975.76801705
2024-10-23 00:50:00,H9MHgTnbqJenWoSgRG4MhJbBMUKXM2C3Bwjb7WfFQfSq,0.00030919212525415207,0.0005029501565016136,0.00025305441567004174,0.0004884508863995492,5m,265582278.9523087
2024-10-23 00:55:00,H9MHgTnbqJenWoSgRG4MhJbBMUKXM2C3Bwjb7WfFQfSq,0.0003525291071768316,0.00044082708294907813,0.00023699757607837242,0.00030919212525415207,5m,293159325.70783705
2024-10-23 01:00:00,H9MHgTnbqJenWoSgRG4MhJbBMUKXM2C3Bwjb7WfFQfSq,7.458266387626376e-05,0.0003646642343300289,5.656082116257189e-05,0.0003525291071768316,5m,604499290.1000639
2024-10-23 01:05:00,H9MHgTnbqJenWoSgRG4MhJbBMUKXM2C3Bwjb7WfFQfSq,0.00019536904242071807,0.00023434659290390785,7.058692550228361e-05,7.458266387626376e-05,5m,820142913.2895613
2024-10-23 01:10:00,H9MHgTnbqJenWoSgRG4MhJbBMUKXM2C3Bwjb7WfFQfSq,0.0002593972846549719,0.00032706070067535823,0.00019536904242071807,0.00019536904242071807,5m,401963491.8017267
2024-10-23 01:15:00,H9MHgTnbqJenWoSgRG4MhJbBMUKXM2C3Bwjb7WfFQfSq,0.00019582332192258416,0.0003406160976601007,0.00014586890503619018,0.0002593972846549719,5m,372460789.9534556
2024-10-23 01:20:00,H9MHgTnbqJenWoSgRG4MhJbBMUKXM2C3Bwjb7WfFQfSq,0.00017792703455690972,0.00019582332192258416,6.388920804878111e-05,0.00019582332192258416,5m,817907127.1976596
