datetime,address,c,h,l,o,type,v
2024-10-24 03:00:00,CS7yXAs47Y9MhfQK5aigdu3P74jGLLM1a4NQ8d51YUf8,1.410810886950718e-05,0.0008992387226530413,1.410810886950718e-05,1.6333124246568154e-05,1H,119228467263.13422
2024-10-24 04:00:00,CS7yXAs47Y9MhfQK5aigdu3P74jGLLM1a4NQ8d51YUf8,1.947501065704088e-05,3.141098316480664e-05,9.687312959829732e-06,1.410810886950718e-05,1H,135380211972.76263
2024-10-24 05:00:00,CS7yXAs47Y9MhfQK5aigdu3P74jGLLM1a4NQ8d51YUf8,8.524105424965131e-06,1.9953856292268093e-05,6.7152474265802264e-06,1.947501065704088e-05,1H,51940058873.6386
2024-10-24 06:00:00,CS7yXAs47Y9MhfQK5aigdu3P74jGLLM1a4NQ8d51YUf8,7.690782268161254e-06,9.187133951815521e-06,7.561312430780254e-06,8.524105424965131e-06,1H,4816514358.203867
2024-10-24 07:00:00,CS7yXAs47Y9MhfQK5aigdu3P74jGLLM1a4NQ8d51YUf8,6.3280890913283014e-06,7.740186975558587e-06,6.0305935049361904e-06,7.690782268161254e-06,1H,21073144776.448746
2024-10-24 08:00:00,CS7yXAs47Y9MhfQK5aigdu3P74jGLLM1a4NQ8d51YUf8,5.747441608629156e-06,6.405639719346854e-06,5.700806031067117e-06,6.3280890913283014e-06,1H,8645198529.139462
2024-10-24 09:00:00,CS7yXAs47Y9MhfQK5aigdu3P74jGLLM1a4NQ8d51YUf8,5.325032483459898e-06,5.7938998782508915e-06,5.02148870990384e-06,5.747441608629156e-06,1H,27718116221.946705
2024-10-24 10:00:00,CS7yXAs47Y9MhfQK5aigdu3P74jGLLM1a4NQ8d51YUf8,7.396517719948316e-06,2.0964588708452038e-05,4.810417263175347e-06,5.325032483459898e-06,1H,75388164040.4884
2024-10-24 11:00:00,CS7yXAs47Y9MhfQK5aigdu3P74jGLLM1a4NQ8d51YUf8,5.947727943694493e-06,7.396517719948316e-06,5.922683260674519e-06,7.396517719948316e-06,1H,22698665324.236397
2024-10-24 12:00:00,CS7yXAs47Y9MhfQK5aigdu3P74jGLLM1a4NQ8d51YUf8,4.580260019583779e-06,6.005567091681597e-06,4.580260019583779e-06,5.947727943694493e-06,1H,23530975678.23915
2024-10-24 13:00:00,CS7yXAs47Y9MhfQK5aigdu3P74jGLLM1a4NQ8d51YUf8,4.291989245896116e-06,4.580260019583779e-06,4.2506527117154065e-06,4.580260019583779e-06,1H,27520802550.210876
2024-10-24 14:00:00,CS7yXAs47Y9MhfQK5aigdu3P74jGLLM1a4NQ8d51YUf8,3.8367547413921876e-06,4.31604583626346e-06,3.781273559762234e-06,4.291989245896116e-06,1H,13729122764.69903
2024-10-24 15:00:00,CS7yXAs47Y9MhfQK5aigdu3P74jGLLM1a4NQ8d51YUf8,3.875510328726069e-06,3.9120889418602795e-06,3.8367547413921876e-06,3.8367547413921876e-06,1H,763647693.745408
