datetime,address,c,h,l,o,type,v
2024-10-23 22:06:00,Au9hzSyRBDgqddeKSEs8uq7qUij9c6tgUxNynFABRbM4,1.042020574455454e-05,1.0432264042010332e-05,1.042020574455454e-05,1.0421598190940779e-05,3m,12583354.420570614
2024-10-23 22:09:00,Au9hzSyRBDgqddeKSEs8uq7qUij9c6tgUxNynFABRbM4,1.0628812527905485e-05,1.0628812527905485e-05,1.042020574455454e-05,1.042020574455454e-05,3m,56470936.30588527
2024-10-23 22:12:00,Au9hzSyRBDgqddeKSEs8uq7qUij9c6tgUxNynFABRbM4,1.0857158752042197e-05,1.0857158752042197e-05,1.062043988188087e-05,1.0628812527905485e-05,3m,86051476.25315635
2024-10-23 22:15:00,Au9hzSyRBDgqddeKSEs8uq7qUij9c6tgUxNynFABRbM4,1.1086736086861106e-05,1.1086736086861106e-05,1.0857158752042197e-05,1.0857158752042197e-05,3m,72721278.71492016
2024-10-23 22:18:00,Au9hzSyRBDgqddeKSEs8uq7qUij9c6tgUxNynFABRbM4,1.1189321103355593e-05,1.1189321103355593e-05,1.1019633461978253e-05,1.1086736086861106e-05,3m,34943163.178745374
2024-10-23 22:21:00,Au9hzSyRBDgqddeKSEs8uq7qUij9c6tgUxNynFABRbM4,1.1394297102626746e-05,1.1394297102626746e-05,1.1186034697264118e-05,1.1189321103355593e-05,3m,72335332.33135857
2024-10-23 22:24:00,Au9hzSyRBDgqddeKSEs8uq7qUij9c6tgUxNynFABRbM4,1.1546517003975734e-05,1.1546517003975734e-05,1.1394297102626746e-05,1.1394297102626746e-05,3m,41780677.352797635
2024-10-23 22:27:00,Au9hzSyRBDgqddeKSEs8uq7qUij9c6tgUxNynFABRbM4,1.1885992239713037e-05,1.1885992239713037e-05,1.1546517003975734e-05,1.1546517003975734e-05,3m,84453552.92688592
2024-10-23 22:30:00,Au9hzSyRBDgqddeKSEs8uq7qUij9c6tgUxNynFABRbM4,1.1967110707855795e-05,1.2012874213506349e-05,1.1885992239713037e-05,1.1885992239713037e-05,3m,37859493.733133
2024-10-23 22:33:00,Au9hzSyRBDgqddeKSEs8uq7qUij9c6tgUxNynFABRbM4,1.2281928796122369e-05,1.2281928796122369e-05,1.1967110707855795e-05,1.1967110707855795e-05,3m,61938605.69854784
2024-10-23 22:36:00,Au9hzSyRBDgqddeKSEs8uq7qUij9c6tgUxNynFABRbM4,1.250354770603043e-05,1.250354770603043e-05,1.2281928796122369e-05,1.2281928796122369e-05,3m,52585617.91058655
2024-10-23 22:39:00,Au9hzSyRBDgqddeKSEs8uq7qUij9c6tgUxNynFABRbM4,1.2680022106719042e-05,1.2680022106719042e-05,1.250354770603043e-05,1.250354770603043e-05,3m,41972374.86348576
