Address,address,buy_1h,buy_1h_change_percent,buy_24h,buy_24h_change_percent,buy_2h,buy_2h_change_percent,buy_30m,buy_30m_change_percent,buy_4h,buy_4h_change_percent,buy_8h,buy_8h_change_percent,buy_history_1h,buy_history_24h,buy_history_2h,buy_history_30m,buy_history_4h,buy_history_8h,history_12h_price,history_1h_price,history_24h_price,history_2h_price,history_30m_price,history_4h_price,history_6h_price,history_8h_price,holder,last_trade_human_time,last_trade_unix_time,market,price,price_change_12h_percent,price_change_1h_percent,price_change_24h_percent,price_change_2h_percent,price_change_30m_percent,price_change_4h_percent,price_change_6h_percent,price_change_8h_percent,sell_1h,sell_1h_change_percent,sell_24h,sell_24h_change_percent,sell_2h,sell_2h_change_percent,sell_30m,sell_30m_change_percent,sell_4h,sell_4h_change_percent,sell_8h,sell_8h_change_percent,sell_history_1h,sell_history_24h,sell_history_2h,sell_history_30m,sell_history_4h,sell_history_8h,trade_1h,trade_1h_change_percent,trade_24h,trade_24h_change_percent,trade_2h,trade_2h_change_percent,trade_30m,trade_30m_change_percent,trade_4h,trade_4h_change_percent,trade_8h,trade_8h_change_percent,trade_history_1h,trade_history_24h,trade_history_2h,trade_history_30m,trade_history_4h,trade_history_8h,unique_wallet_1h,unique_wallet_1h_change_percent,unique_wallet_24h,unique_wallet_24h_change_percent,unique_wallet_2h,unique_wallet_2h_change_percent,unique_wallet_30m,unique_wallet_30m_change_percent,unique_wallet_4h,unique_wallet_4h_change_percent,unique_wallet_8h,unique_wallet_8h_change_percent,unique_wallet_history_1h,unique_wallet_history_24h,unique_wallet_history_2h,unique_wallet_history_30m,unique_wallet_history_4h,unique_wallet_history_8h,volume_1h,volume_1h_change_percent,volume_1h_usd,volume_24h,volume_24h_change_percent,volume_24h_usd,volume_2h,volume_2h_change_percent,volume_2h_usd,volume_30m,volume_30m_change_percent,volume_30m_usd,volume_4h,volume_4h_change_percent,volume_4h_usd,volume_8h,volume_8h_change_percent,volume_8h_usd,volume_buy_1h,volume_buy_1h_change_percent,volume_buy_1h_usd,volume_buy_24h,volume_buy_24h_change_percent,volume_buy_24h_usd,volume_buy_2h,volume_buy_2h_change_percent,volume_buy_2h_usd,volume_buy_30m,volume_buy_30m_change_percent,volume_buy_30m_usd,volume_buy_4h,volume_buy_4h_change_percent,volume_buy_4h_usd,volume_buy_8h,volume_buy_8h_change_percent,volume_buy_8h_usd,volume_buy_history_1h,volume_buy_history_1h_usd,volume_buy_history_24h,volume_buy_history_24h_usd,volume_buy_history_2h,volume_buy_history_2h_usd,volume_buy_history_30m,volume_buy_history_30m_usd,volume_buy_history_4h,volume_buy_history_4h_usd,volume_buy_history_8h,volume_buy_history_8h_usd,volume_history_1h,volume_history_1h_usd,volume_history_24h,volume_history_24h_usd,volume_history_2h,volume_history_2h_usd,volume_history_30m,volume_history_30m_usd,volume_history_4h,volume_history_4h_usd,volume_history_8h,volume_history_8h_usd,volume_sell_1h,volume_sell_1h_change_percent,volume_sell_1h_usd,volume_sell_24h,volume_sell_24h_change_percent,volume_sell_24h_usd,volume_sell_2h,volume_sell_2h_change_percent,volume_sell_2h_usd,volume_sell_30m,volume_sell_30m_change_percent,volume_sell_30m_usd,volume_sell_4h,volume_sell_4h_change_percent,volume_sell_4h_usd,volume_sell_8h,volume_sell_8h_change_percent,volume_sell_8h_usd,volume_sell_history_1h,volume_sell_history_1h_usd,volume_sell_history_24h,volume_sell_history_24h_usd,volume_sell_history_2h,volume_sell_history_2h_usd,volume_sell_history_30m,volume_sell_history_30m_usd,volume_sell_history_4h,volume_sell_history_4h_usd,volume_sell_history_8h,volume_sell_history_8h_usd,liquidityAddedAt,Price,Liquidity,Total Supply,Market Cap,Circulating Supply,Circulating Market Cap
9k6D1Lxebpdmyi4eYpjnwxtxMn5CN7VjVimsgSYwpump,9k6D1Lxebpdmyi4eYpjnwxtxMn5CN7VjVimsgSYwpump,160,,166,,160,,160,,166,,166,,0,0,0,0,0,0,0.0003058352292622548,0.0003058352292622548,0.0003058352292622548,0.0003058352292622548,0.0003058352292622548,0.0003058352292622548,0.0003058352292622548,0.0003058352292622548,259,2024-10-25T21:09:13,1729890553,1,0.0002549875718808849,-16.625833951185477,-16.625833951185477,-16.625833951185477,-16.625833951185477,-16.625833951185477,-16.625833951185477,-16.625833951185477,-16.625833951185477,85,,95,,85,,85,,95,,95,,0,0,0,0,0,0,245,,261,,245,,245,,261,,261,,0,0,0,0,0,0,159,,159,,159,,159,,159,,159,,0,0,0,0,0,0,507386016.47885907,,128310.41139488551,523726672.37735707,,133565.07448136157,507386016.47885907,,128310.41139488551,507386016.47885907,,128310.41139488551,523726672.37735707,,133565.07448136157,523726672.37735707,,133565.07448136157,310215454.799898,,72832.25261648503,314703539.903733,,74283.96251439145,310215454.799898,,72832.25261648503,310215454.799898,,72832.25261648503,314703539.903733,,74283.96251439145,314703539.903733,,74283.96251439145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,197170561.67896104,,55478.15877840048,209023132.47362405,,59281.11196697014,197170561.67896104,,55478.15877840048,197170561.67896104,,55478.15877840048,209023132.47362405,,59281.11196697014,209023132.47362405,,59281.11196697014,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-25 21:07:21,0.0002549875718808849,87726.28675177219,1000000000.0,254987.5718808849,1000000000.0,254987.5718808849
BDvtF3AZm35nM6TfrAJD3S2KbPhnfWVufxst665upump,BDvtF3AZm35nM6TfrAJD3S2KbPhnfWVufxst665upump,302,,305,,302,,302,,305,,305,,0,0,0,0,0,0,0.10586652933870694,0.10586652933870694,0.10586652933870694,0.10586652933870694,0.10586652933870694,0.10586652933870694,0.10586652933870694,0.10586652933870694,347,2024-10-25T21:09:13,1729890553,1,0.0030786991702142046,-97.091905071938,-97.091905071938,-97.091905071938,-97.091905071938,-97.091905071938,-97.091905071938,-97.091905071938,-97.091905071938,287,,300,,287,,287,,300,,300,,0,0,0,0,0,0,589,,605,,589,,589,,605,,605,,0,0,0,0,0,0,251,,251,,251,,251,,251,,251,,0,0,0,0,0,0,217191215.44757706,,248340.44065401983,218779956.16255006,,254259.14776558528,217191215.44757706,,248340.44065401983,217191215.44757706,,248340.44065401983,218779956.16255006,,254259.14776558528,218779956.16255006,,254259.14776558528,211230810.08749506,,129590.35433532261,211426761.83319107,,130239.76962252014,211230810.08749506,,129590.35433532261,211230810.08749506,,129590.35433532261,211426761.83319107,,130239.76962252014,211426761.83319107,,130239.76962252014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5960405.360081999,,118750.0863186972,7353194.329358999,,124019.37814306513,5960405.360081999,,118750.0863186972,5960405.360081999,,118750.0863186972,7353194.329358999,,124019.37814306513,7353194.329358999,,124019.37814306513,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-25 21:03:50,0.0030786991702142046,85261.92143457948,1000000000.0,3078699.1702142046,1000000000.0,3078699.1702142046
8wa9yRNKp57Fy4RViUgBV21oR7SsgmrAkN576ThJzY2F,8wa9yRNKp57Fy4RViUgBV21oR7SsgmrAkN576ThJzY2F,132,,134,,132,,132,,134,,134,,0,0,0,0,0,0,0.00032596969437100585,0.00032596969437100585,0.00032596969437100585,0.00032596969437100585,0.00032596969437100585,0.00032596969437100585,0.00032596969437100585,0.00032596969437100585,325,2024-10-25T21:09:13,1729890553,1,0.0004982604792968216,52.854847521414406,52.854847521414406,52.854847521414406,52.854847521414406,52.854847521414406,52.854847521414406,52.854847521414406,52.854847521414406,24,,24,,24,,24,,24,,24,,0,0,0,0,0,0,156,,158,,156,,156,,158,,158,,0,0,0,0,0,0,103,,103,,103,,103,,103,,103,,0,0,0,0,0,0,140776970.10799,,66071.8654983042,140949725.02339998,,66159.88593890317,140776970.10799,,66071.8654983042,140776970.10799,,66071.8654983042,140949725.02339998,,66159.88593890317,140949725.02339998,,66159.88593890317,80513115.06447999,,37186.28322136787,80685869.97988999,,37274.30366196684,80513115.06447999,,37186.28322136787,80513115.06447999,,37186.28322136787,80685869.97988999,,37274.30366196684,80685869.97988999,,37274.30366196684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60263855.04351,,28885.582276936333,60263855.04351,,28885.582276936333,60263855.04351,,28885.582276936333,60263855.04351,,28885.582276936333,60263855.04351,,28885.582276936333,60263855.04351,,28885.582276936333,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-25 20:57:46,0.0004982604792968216,77439.2541767392,1000000000.0,498260.4792968216,1000000000.0,498260.4792968216
Dg5yhwpukCmiyvjRsGhRsKcAKGfXiveire5sxmfvSiZN,Dg5yhwpukCmiyvjRsGhRsKcAKGfXiveire5sxmfvSiZN,359,,360,,359,,359,,360,,360,,0,0,0,0,0,0,0.0004204058177333311,0.0004204058177333311,0.0004204058177333311,0.0004204058177333311,0.0004204058177333311,0.0004204058177333311,0.0004204058177333311,0.0004204058177333311,1190,2024-10-25T21:09:12,1729890552,1,0.0005329464213296179,26.769516226740887,26.769516226740887,26.769516226740887,26.769516226740887,26.769516226740887,26.769516226740887,26.769516226740887,26.769516226740887,292,,294,,292,,292,,294,,294,,0,0,0,0,0,0,651,,654,,651,,651,,654,,654,,0,0,0,0,0,0,352,,352,,352,,352,,352,,352,,0,0,0,0,0,0,699258689.9535801,,191624.53671965626,699974917.3965822,,192017.45209875217,699258689.9535801,,191624.53671965626,699258689.9535801,,191624.53671965626,699974917.3965822,,192017.45209875217,699974917.3965822,,192017.45209875217,547902088.8273901,,118393.67916286945,548121327.0915061,,118514.14773359487,547902088.8273901,,118393.67916286945,547902088.8273901,,118393.67916286945,548121327.0915061,,118514.14773359487,548121327.0915061,,118514.14773359487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151356601.1261901,,73230.85755678681,151853590.3050761,,73503.3043651573,151356601.1261901,,73230.85755678681,151356601.1261901,,73230.85755678681,151853590.3050761,,73503.3043651573,151853590.3050761,,73503.3043651573,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-25 20:46:03,0.0005329464213296179,114194.13815829228,1000000000.0,532946.4213296178,1000000000.0,532946.4213296178
ADzp2buxkzgHqMKxVp9prwJhij6Sjp14zuLsFFdKpump,ADzp2buxkzgHqMKxVp9prwJhij6Sjp14zuLsFFdKpump,2070,,2075,,2070,,2070,,2075,,2075,,0,0,0,0,0,0,0.0002563498341807412,0.0002563498341807412,0.0002563498341807412,0.0002563498341807412,0.0002563498341807412,0.0002563498341807412,0.0002563498341807412,0.0002563498341807412,489,2024-10-25T21:09:13,1729890553,1,0.0002443196522170444,-4.692876826756543,-4.692876826756543,-4.692876826756543,-4.692876826756543,-4.692876826756543,-4.692876826756543,-4.692876826756543,-4.692876826756543,1519,,1520,,1519,,1519,,1520,,1520,,0,0,0,0,0,0,3589,,3595,,3589,,3589,,3595,,3595,,0,0,0,0,0,0,1286,,1286,,1286,,1286,,1286,,1286,,0,0,0,0,0,0,5224490717.740688,,1542667.8544954776,5226477904.242183,,1543176.1868369072,5224490717.740688,,1542667.8544954776,5224490717.740688,,1542667.8544954776,5226477904.242183,,1543176.1868369072,5226477904.242183,,1543176.1868369072,2660194263.555596,,778641.2490085742,2662122823.197393,,779134.4082090368,2660194263.555596,,778641.2490085742,2660194263.555596,,778641.2490085742,2662122823.197393,,779134.4082090368,2662122823.197393,,779134.4082090368,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2564296454.185093,,764026.6054869035,2564355081.04479,,764041.7786278705,2564296454.185093,,764026.6054869035,2564296454.185093,,764026.6054869035,2564355081.04479,,764041.7786278705,2564355081.04479,,764041.7786278705,0,0,0,0,0,0,0,0,0,0,0,0,2024-10-25 20:39:33,0.0002443196522170444,44381.90615291904,999999999.990498,244319.65221472282,999999999.990498,244319.65221472282
DRY6qBppoQeXsApWGKtbzP84Xa9oLcABLbSKxRbdpump,DRY6qBppoQeXsApWGKtbzP84Xa9oLcABLbSKxRbdpump,1514,,1520,,1514,,1045,122.81449893390193,1520,,1520,,0,0,0,469,0,0,3.1896586689005294e-05,3.1896586689005294e-05,3.1896586689005294e-05,3.1896586689005294e-05,3.5748648201216813e-05,3.1896586689005294e-05,3.1896586689005294e-05,3.1896586689005294e-05,642,2024-10-25T21:09:13,1729890553,1,0.00030147967047369344,845.178471330329,845.178471330329,845.178471330329,845.178471330329,743.3316660724297,845.178471330329,845.178471330329,845.178471330329,1187,,1194,,1187,,788,97.4937343358396,1194,,1194,,0,0,0,399,0,0,2701,,2714,,2701,,1833,111.17511520737327,2714,,2714,,0,0,0,868,0,0,1060,,1060,,1060,,806,100,1060,,1060,,0,0,0,403,0,0,7237079043.212473,,607622.4505957293,7247675189.56155,,610717.4015560166,7237079043.212473,,607622.4505957293,4326106453.865033,48.6137818575208,470635.00692152744,7247675189.56155,,610717.4015560166,7247675189.56155,,610717.4015560166,3671399609.266922,,311965.64929490857,3676814175.169646,,313551.05109497317,3671399609.266922,,311965.64929490857,2260941147.7687073,60.29831501504093,245344.92430364946,3676814175.169646,,313551.05109497317,3676814175.169646,,313551.05109497317,0,0,0,0,0,0,1410458461.4982142,66620.72499125925,0,0,0,0,0,0,0,0,0,0,2910972589.3474426,136987.44367420196,0,0,0,0,3565679433.9455514,,295656.8013008207,3570861014.3919044,,297166.35046104353,3565679433.9455514,,295656.8013008207,2065165306.0963259,37.63051395300384,225290.082617878,3570861014.3919044,,297166.35046104353,3570861014.3919044,,297166.35046104353,0,0,0,0,0,0,1500514127.8492281,70366.71868294271,0,0,0,0,2024-10-25 20:26:02,0.00030147967047369344,51724.44818426647,1000000000.0,301479.67047369346,1000000000.0,301479.67047369346
GRpS5quvyxPCx3nARqyyNSyd51D8MwWw1Rb5GT6Zpump,GRpS5quvyxPCx3nARqyyNSyd51D8MwWw1Rb5GT6Zpump,757,92.6208651399491,1151,,1150,,293,-36.853448275862064,1151,,1151,,393,0,0,464,0,0,0.00014799349669110894,0.0003978555067343097,0.00014799349669110894,0.00014799349669110894,0.00040084016929039173,0.00014799349669110894,0.00014799349669110894,0.00014799349669110894,339,2024-10-25T21:09:00,1729890540,1,0.00039292915027731563,165.50433570566602,-1.2382275408051377,165.50433570566602,165.50433570566602,-1.973609338375689,165.50433570566602,165.50433570566602,165.50433570566602,540,188.77005347593584,727,,727,,218,-32.298136645962735,727,,727,,187,0,0,322,0,0,1297,123.62068965517241,1878,,1877,,511,-34.987277353689564,1878,,1878,,580,0,0,786,0,0,460,86.99186991869918,566,,566,,226,-28.48101265822785,566,,566,,246,0,0,316,0,0,1967916494.6418376,166.9279080774563,769163.069160429,2705373551.4508424,,963272.6534425603,2705162932.7590523,,963189.8313001867,579262310.7612815,-58.286064487088574,225079.0354653583,2705373551.4508424,,963272.6534425603,2705373551.4508424,,963272.6534425603,988469444.1093643,132.9804265455551,386982.88209494005,1412951517.174206,,492042.16896565177,1412740898.482416,,491959.34682327806,288797180.0266354,-58.72393478320193,112477.40213272999,1412951517.174206,,492042.16896565177,1412951517.174206,,492042.16896565177,424271454.3730509,104976.46472833797,0,0,0,0,699672264.0827304,274505.47996221005,0,0,0,0,737246438.117214,194026.7621397578,0,0,0,0,1388654183.8805559,544084.0336950705,0,0,0,0,979447050.5324734,212.9473924130334,382180.1870654889,1292422034.2766364,,471230.4844769086,1292422034.2766364,,471230.4844769086,290465130.73464614,-57.84140013138804,112601.63333262832,1292422034.2766364,,471230.4844769086,1292422034.2766364,,471230.4844769086,312974983.74416304,89050.29741141984,0,0,0,0,688981919.7978255,269578.55373286054,0,0,0,0,2024-10-25 20:02:20,0.00039292915027731563,69588.92694869074,999831523.520407,392862.9509573474,999831523.520407,392862.9509573474
D7WsH57sJVpNt5YcEE6v1GwSLPGRBLNDfs64hqiSpump,D7WsH57sJVpNt5YcEE6v1GwSLPGRBLNDfs64hqiSpump,142,-60.773480662983424,504,,504,,84,44.827586206896555,504,,504,,362,0,0,58,0,0,0.00011263996163048499,0.0008060789946354475,0.00011263996163048499,0.00011263996163048499,0.0004295561305740047,0.00011263996163048499,0.00011263996163048499,0.00011263996163048499,187,2024-10-25T21:09:06,1729890546,1,0.0010181526807880696,803.9000600232056,26.30929320376762,803.9000600232056,803.9000600232056,137.0243626665364,803.9000600232056,803.9000600232056,803.9000600232056,145,-46.2962962962963,416,,415,,58,-33.33333333333333,416,,416,,270,0,0,87,0,0,287,-54.58860759493671,920,,919,,142,-2.0689655172413794,920,,920,,632,0,0,145,0,0,158,-44.75524475524475,366,,366,,79,-21,366,,366,,286,0,0,100,0,0,137342280.39065886,-76.53027669513519,83397.80898609123,722590296.5334191,,242954.9554827155,722531456.2774941,,242896.2419243568,58481556.034433946,-25.84197455470415,38921.96893357862,722590296.5334191,,242954.9554827155,722590296.5334191,,242954.9554827155,70677097.14838102,-80.77717216813718,43638.91292156586,438349833.78513217,,141278.41187524662,438349833.78513217,,141278.41187524662,43819542.15375801,63.15536601351413,28856.905099962452,438349833.78513217,,141278.41187524662,438349833.78513217,,141278.41187524662,367672736.6367511,97639.49895368084,0,0,0,0,26857554.994623005,14782.007821603438,0,0,0,0,585189175.886835,159498.43293826567,0,0,0,0,78860724.35622498,44475.84005251255,0,0,0,0,66665183.242277816,-69.35165752431648,39758.896064525376,284240462.7482869,,101676.5436074689,284181622.4923619,,101617.83004911018,14662013.880675938,-71.80553789188463,10065.063833616166,284240462.7482869,,101676.5436074689,284240462.7482869,,101676.5436074689,217516439.25008386,61858.93398458482,0,0,0,0,52003169.36160197,29693.83223090911,0,0,0,0,2024-10-25 19:27:17,0.0010181526807880696,105094.98498874699,525690000.0,535232.6827634803,525690000.0,535232.6827634803
GPrF7LXiQAY8Y9Fci7et2C7a9JsrCBDRvEAKLCjLpump,GPrF7LXiQAY8Y9Fci7et2C7a9JsrCBDRvEAKLCjLpump,1342,134.20593368237348,2013,,1915,1854.0816326530614,989,180.1699716713881,2013,,2013,,573,0,98,353,0,0,4.394346774258681e-05,9.44831220106352e-05,4.394346774258681e-05,4.394346774258681e-05,0.00011700905873909664,4.394346774258681e-05,4.394346774258681e-05,4.394346774258681e-05,736,2024-10-25T21:09:13,1729890553,2,0.00044614179216153927,915.2630529182637,372.1920515193398,915.2630529182637,915.2630529182637,281.28824978955953,915.2630529182637,915.2630529182637,915.2630529182637,993,138.1294964028777,1485,,1410,1858.3333333333333,731,179.00763358778627,1485,,1485,,417,0,72,262,0,0,2335,135.85858585858585,3498,,3325,1855.8823529411764,1720,179.67479674796746,3498,,3498,,990,0,170,615,0,0,953,104.50643776824033,1304,,1241,1008.0357142857142,786,138.1818181818182,1304,,1304,,466,0,112,330,0,0,2253652837.3129206,31.06556538172484,489609.89312196267,4280318763.1940145,,625785.9024360718,3973137913.9226484,1187.3389072073487,608231.7890976706,1478621746.3401604,90.7822490687833,393535.9970068225,4280318763.1940145,,625785.9024360718,4280318763.1940145,,625785.9024360718,1178203857.2201161,33.813496620057585,255368.20890114846,2203568430.381353,,324585.91498011356,2058685936.3675156,1309.3882039165535,316224.97865657357,775315721.8086708,92.43945245915177,205679.13643546717,2203568430.381353,,324585.91498011356,2203568430.381353,,324585.91498011356,880482079.147398,60856.76975542517,0,0,146069474.02047402,8035.186923032545,402888135.411445,49689.07246568141,0,0,0,0,1719485076.609725,118621.89597570807,0,0,308631852.240189,17012.848941430224,775031090.9727604,96073.89611514025,0,0,0,0,1075448980.0928044,28.18178044007459,234241.6842208142,2076750332.8126614,,301199.9874559582,1914451977.555133,1077.6722255918346,292006.810441097,703306024.5314896,88.98813319485524,187856.8605713553,2076750332.8126614,,301199.9874559582,2076750332.8126614,,301199.9874559582,839002997.4623269,57765.1262202829,0,0,162562378.219715,8977.662018397677,372142955.56131536,46384.823649458835,0,0,0,0,2024-10-25 19:07:07,0.00044614179216153927,66137.8155701302,1000000000.0,446141.79216153926,1000000000.0,446141.79216153926
2B5536xgbvqsqAeN3xm4YGSRf5AHYr8wRfjHae9JmSLX,2B5536xgbvqsqAeN3xm4YGSRf5AHYr8wRfjHae9JmSLX,168,-8.695652173913043,1148,,352,-55.88972431077694,84,0,1148,,1148,,184,0,798,84,0,0,0.0007081088868175686,0.0017019918257953127,0.0007081088868175686,0.0009779963339633215,0.0015706382381980649,0.0007081088868175686,0.0007081088868175686,0.0007081088868175686,261,2024-10-25T21:09:00,1729890540,1,0.0003849705542801495,-45.633989143913944,-77.38117490075142,-45.633989143913944,-60.63681008700107,-75.48954654753523,-45.633989143913944,-45.633989143913944,-45.633989143913944,91,-48.87640449438202,919,,269,-58.67895545314901,65,150,919,,919,,178,0,651,26,0,0,259,-28.45303867403315,2067,,621,-57.14285714285714,149,35.45454545454545,2067,,2067,,362,0,1449,110,0,0,99,-47.340425531914896,627,,248,-50.59760956175299,75,92.3076923076923,627,,627,,188,0,502,39,0,0,76470834.58110721,-51.74748709125282,65021.51482610923,1351056443.8282554,,1412965.4843854636,234951357.08928147,-78.9572440540293,387299.40803865786,66029379.683469966,532.3771958102029,48429.383940572356,1351056443.8282554,,1412965.4843854636,1351056443.8282554,,1412965.4843854636,15870763.350403849,-80.8077965056259,13740.784716829517,735300355.4687779,,715339.4917914214,98564568.44191396,-84.53071570979677,179756.3881491937,11982005.80018877,208.11912662243324,7645.882754446089,735300355.4687779,,715339.4917914214,735300355.4687779,,715339.4917914214,82693805.09151085,166015.60343236415,0,0,637163081.3219674,536089.729761835,3888757.550215773,6094.901962383513,0,0,0,0,158480522.5081752,322277.89321254945,0,0,1116542708.0584965,1026184.9974719647,10441454.897637952,16592.130885536673,0,0,0,0,60600071.23070336,-20.038664694325,51280.73010927971,615756088.3594775,,697625.9925940422,136386788.6473675,-71.54931477254316,207543.01988946417,54047373.88328119,724.811081875212,40783.50118612627,615756088.3594775,,697625.9925940422,615756088.3594775,,697625.9925940422,75786717.41666433,156262.2897801853,0,0,479379626.73652923,490095.2677101298,6552697.347422179,10497.228923153161,0,0,0,0,2024-10-25 18:52:46,0.0003849705542801495,100976.24823998338,982409835.065574,378198.8587354643,982409835.065574,378198.8587354643
