datetime,address,c,h,l,o,type,v
2024-10-24 12:00:00,5Jng6jkLKU1o8BNrCzTEMXMFvPjNJZTpdWR3Hq4RHJb6,4.436876338117522e-10,7.64927709829474e-09,9.306610219001976e-12,9.306610219001976e-12,4H,1391551788455502.8
2024-10-24 16:00:00,5Jng6jkLKU1o8BNrCzTEMXMFvPjNJZTpdWR3Hq4RHJb6,4.3299929260784223e-10,6.39088275219302e-10,3.249693841951691e-10,4.436876338117522e-10,4H,419790787400376.6
2024-10-24 20:00:00,5Jng6jkLKU1o8BNrCzTEMXMFvPjNJZTpdWR3Hq4RHJb6,3.901256871361038e-10,4.5040188754795967e-10,3.2805620045208396e-10,4.3299929260784223e-10,4H,198904517170347.72
2024-10-25 00:00:00,5Jng6jkLKU1o8BNrCzTEMXMFvPjNJZTpdWR3Hq4RHJb6,5.285311286931195e-10,5.450712788707713e-10,3.8920091187177353e-10,3.901256871361038e-10,4H,108870381881372.44
2024-10-25 04:00:00,5Jng6jkLKU1o8BNrCzTEMXMFvPjNJZTpdWR3Hq4RHJb6,4.4302711688562266e-10,5.564379564696896e-10,4.095015550039127e-10,5.285311286931195e-10,4H,57645734491276.195
2024-10-25 08:00:00,5Jng6jkLKU1o8BNrCzTEMXMFvPjNJZTpdWR3Hq4RHJb6,4.14663623763056e-10,4.609372487215248e-10,3.517381032688348e-10,4.4302711688562266e-10,4H,56367949534416.95
2024-10-25 12:00:00,5Jng6jkLKU1o8BNrCzTEMXMFvPjNJZTpdWR3Hq4RHJb6,3.9650196277368664e-10,4.768217243235455e-10,3.815050353044905e-10,4.14663623763056e-10,4H,58734972420503.28
2024-10-25 16:00:00,5Jng6jkLKU1o8BNrCzTEMXMFvPjNJZTpdWR3Hq4RHJb6,4.154611418518754e-10,7.059914166795116e-10,3.3063080519991936e-10,3.9650196277368664e-10,4H,227403899803884.56
2024-10-25 20:00:00,5Jng6jkLKU1o8BNrCzTEMXMFvPjNJZTpdWR3Hq4RHJb6,3.42752809723924e-10,6.612918440464312e-10,3.42752809723924e-10,4.154611418518754e-10,4H,157321651368215.56
2024-10-26 00:00:00,5Jng6jkLKU1o8BNrCzTEMXMFvPjNJZTpdWR3Hq4RHJb6,3.072882311929632e-10,5.53643220218958e-10,3.0300431831267754e-10,3.42752809723924e-10,4H,124462007195683.44
