datetime,address,c,h,l,o,type,v
2024-10-27 16:00:00,CY8SzzrWYi1BfBm8Ag2fZ3J6fmpAhWWi5kHmFk1LSPKy,2.297648755251945e-05,2.297648755251945e-05,2.201391799788321e-05,2.2038786302694195e-05,5m,74236666.4827306
2024-10-27 16:05:00,CY8SzzrWYi1BfBm8Ag2fZ3J6fmpAhWWi5kHmFk1LSPKy,2.446869968661478e-05,2.446869968661478e-05,2.297648755251945e-05,2.297648755251945e-05,5m,97897940.89131661
2024-10-27 16:10:00,CY8SzzrWYi1BfBm8Ag2fZ3J6fmpAhWWi5kHmFk1LSPKy,2.5905784970910128e-05,2.5905784970910128e-05,2.446869968661478e-05,2.446869968661478e-05,5m,81601252.57895531
2024-10-27 16:15:00,CY8SzzrWYi1BfBm8Ag2fZ3J6fmpAhWWi5kHmFk1LSPKy,2.6784487609612894e-05,2.6784487609612894e-05,2.5905784970910128e-05,2.5905784970910128e-05,5m,55977721.06893102
2024-10-27 16:20:00,CY8SzzrWYi1BfBm8Ag2fZ3J6fmpAhWWi5kHmFk1LSPKy,2.7250665132318805e-05,2.7250665132318805e-05,2.6784487609612894e-05,2.6784487609612894e-05,5m,23728579.37574216
2024-10-27 16:25:00,CY8SzzrWYi1BfBm8Ag2fZ3J6fmpAhWWi5kHmFk1LSPKy,2.7594107299887027e-05,2.7594107299887027e-05,2.7250665132318805e-05,2.7250665132318805e-05,5m,19433855.9234012
2024-10-27 16:30:00,CY8SzzrWYi1BfBm8Ag2fZ3J6fmpAhWWi5kHmFk1LSPKy,2.9241549382190175e-05,2.9241549382190175e-05,2.7594107299887027e-05,2.7594107299887027e-05,5m,111810175.33543146
2024-10-27 16:35:00,CY8SzzrWYi1BfBm8Ag2fZ3J6fmpAhWWi5kHmFk1LSPKy,3.064461670892273e-05,3.064461670892273e-05,2.9241549382190175e-05,2.9241549382190175e-05,5m,61904057.37229413
2024-10-27 16:40:00,CY8SzzrWYi1BfBm8Ag2fZ3J6fmpAhWWi5kHmFk1LSPKy,3.148589412991641e-05,3.148589412991641e-05,3.064461670892273e-05,3.064461670892273e-05,5m,35496369.79561029
2024-10-27 16:45:00,CY8SzzrWYi1BfBm8Ag2fZ3J6fmpAhWWi5kHmFk1LSPKy,3.298734017238262e-05,3.298734017238262e-05,3.1416454204129256e-05,3.148589412991641e-05,5m,55539640.51843577
2024-10-27 16:50:00,CY8SzzrWYi1BfBm8Ag2fZ3J6fmpAhWWi5kHmFk1LSPKy,3.4051315640247795e-05,3.4051315640247795e-05,3.298734017238262e-05,3.298734017238262e-05,5m,40416521.361141995
2024-10-27 16:55:00,CY8SzzrWYi1BfBm8Ag2fZ3J6fmpAhWWi5kHmFk1LSPKy,3.530468993508567e-05,3.530468993508567e-05,3.4051315640247795e-05,3.4051315640247795e-05,5m,44480873.70942995
