datetime,address,c,h,l,o,type,v
2024-10-27 21:15:00,AwcCFuJgUYNYHXm6tHhr7DsXDY6FKvXUt2DFjmgHpump,0.0004662250772728436,0.0008315289266132884,0.00018664946711022932,0.00028900280170461443,15m,2070851004.2435496
2024-10-27 21:30:00,AwcCFuJgUYNYHXm6tHhr7DsXDY6FKvXUt2DFjmgHpump,0.0009809880119878182,0.0020106227301317095,0.00041452374071927463,0.0004662250772728436,15m,1480702432.5055828
2024-10-27 21:45:00,AwcCFuJgUYNYHXm6tHhr7DsXDY6FKvXUt2DFjmgHpump,0.0010285296073444157,0.0012899727181717446,0.0006343658926403588,0.0009809880119878182,15m,758491159.1833389
2024-10-27 22:00:00,AwcCFuJgUYNYHXm6tHhr7DsXDY6FKvXUt2DFjmgHpump,0.0013701770404184175,0.0017224216691421653,0.0008540104693200396,0.0010285296073444157,15m,233852221.17198965
2024-10-27 22:15:00,AwcCFuJgUYNYHXm6tHhr7DsXDY6FKvXUt2DFjmgHpump,0.001572988766742312,0.0021987025756904435,0.0010661737156724374,0.0013701770404184175,15m,272796110.7397153
2024-10-27 22:30:00,AwcCFuJgUYNYHXm6tHhr7DsXDY6FKvXUt2DFjmgHpump,0.0020245869252652495,0.0027173664323029254,0.0015411964544747407,0.001572988766742312,15m,322210702.5889259
2024-10-27 22:45:00,AwcCFuJgUYNYHXm6tHhr7DsXDY6FKvXUt2DFjmgHpump,0.0014352977283635733,0.002404661108982633,0.0011638548640314254,0.0020245869252652495,15m,261686053.60221568
2024-10-27 23:00:00,AwcCFuJgUYNYHXm6tHhr7DsXDY6FKvXUt2DFjmgHpump,0.0017422717712557375,0.0017778726323575795,0.0010734530694017778,0.0014352977283635733,15m,261253724.88100943
2024-10-27 23:15:00,AwcCFuJgUYNYHXm6tHhr7DsXDY6FKvXUt2DFjmgHpump,0.0012406839665569784,0.0018108498194365438,0.0008558755932862521,0.0017422717712557375,15m,316334058.0061471
2024-10-27 23:30:00,AwcCFuJgUYNYHXm6tHhr7DsXDY6FKvXUt2DFjmgHpump,0.0008890239507136022,0.001495181569959826,0.0008420077488901496,0.0012406839665569784,15m,143634978.0804019
2024-10-27 23:45:00,AwcCFuJgUYNYHXm6tHhr7DsXDY6FKvXUt2DFjmgHpump,0.0012322400831101352,0.002050596320196704,0.00065631915208215,0.0008890239507136022,15m,421156185.0882105
2024-10-28 00:00:00,AwcCFuJgUYNYHXm6tHhr7DsXDY6FKvXUt2DFjmgHpump,0.0021444274734919084,0.00283476987843469,0.0011737996767412992,0.0012322400831101352,15m,583643286.337894
2024-10-28 00:15:00,AwcCFuJgUYNYHXm6tHhr7DsXDY6FKvXUt2DFjmgHpump,0.0018754133149709866,0.0025705199783339888,0.0018093487356166296,0.0021444274734919084,15m,171957101.52357993
