datetime,address,c,h,l,o,type,v
2024-10-28 17:15:00,AqpJ2uRYEFdmsL1gZuQoMkWof8YRuuBVMm8dkNK7pump,0.00011904628814314988,0.00011904628814314988,5.748829963051987e-05,6.039404457812202e-05,15m,213596807.64425904
2024-10-28 17:30:00,AqpJ2uRYEFdmsL1gZuQoMkWof8YRuuBVMm8dkNK7pump,5.5077696758194314e-05,0.00014458898085508307,1.9821732139809325e-05,0.00011904628814314988,15m,4877679441.145669
2024-10-28 17:45:00,AqpJ2uRYEFdmsL1gZuQoMkWof8YRuuBVMm8dkNK7pump,6.506089519464402e-05,9.518694891322014e-05,3.658908182317798e-05,5.5077696758194314e-05,15m,798212037.3933069
2024-10-28 18:00:00,AqpJ2uRYEFdmsL1gZuQoMkWof8YRuuBVMm8dkNK7pump,5.927186838599488e-05,7.198133671728909e-05,3.4130171973229975e-05,6.506089519464402e-05,15m,574256299.9274672
2024-10-28 18:15:00,AqpJ2uRYEFdmsL1gZuQoMkWof8YRuuBVMm8dkNK7pump,4.287976809712568e-05,6.408471297626332e-05,3.236279089601299e-05,5.927186838599488e-05,15m,343426364.65946597
2024-10-28 18:30:00,AqpJ2uRYEFdmsL1gZuQoMkWof8YRuuBVMm8dkNK7pump,4.0894050497116015e-05,4.322131955933139e-05,3.0644932538806294e-05,4.287976809712568e-05,15m,195896045.00563797
2024-10-28 18:45:00,AqpJ2uRYEFdmsL1gZuQoMkWof8YRuuBVMm8dkNK7pump,5.0079643774007925e-05,5.967518232414223e-05,3.62023086479511e-05,4.0894050497116015e-05,15m,211633750.80440408
2024-10-28 19:00:00,AqpJ2uRYEFdmsL1gZuQoMkWof8YRuuBVMm8dkNK7pump,4.265895829338994e-05,7.804386091088641e-05,3.901211853790194e-05,5.0079643774007925e-05,15m,541056029.1987904
2024-10-28 19:15:00,AqpJ2uRYEFdmsL1gZuQoMkWof8YRuuBVMm8dkNK7pump,5.166530247049175e-05,5.915278016151558e-05,3.38878003044645e-05,4.265895829338994e-05,15m,301494934.9545781
2024-10-28 19:30:00,AqpJ2uRYEFdmsL1gZuQoMkWof8YRuuBVMm8dkNK7pump,3.632237194386944e-05,6.247534605042485e-05,3.287413592492816e-05,5.166530247049175e-05,15m,323995894.284998
2024-10-28 19:45:00,AqpJ2uRYEFdmsL1gZuQoMkWof8YRuuBVMm8dkNK7pump,4.158049349955251e-05,4.707173142001484e-05,3.0906441540232794e-05,3.632237194386944e-05,15m,310070289.85359395
