datetime,address,c,h,l,o,type,v
2024-10-29 08:00:00,CKZgnkmir9GnVX1K3ipGEWBjCYQiSC1iGZDCbhqnt66F,2.5198282449788336e-07,2.618246554083538e-07,1.0314791871630559e-07,1.0327992316882679e-07,1H,715348616566.9666
2024-10-29 09:00:00,CKZgnkmir9GnVX1K3ipGEWBjCYQiSC1iGZDCbhqnt66F,2.8183870661854026e-07,2.8376204569642377e-07,2.485588029354113e-07,2.5198282449788336e-07,1H,1673829447826.2063
2024-10-29 10:00:00,CKZgnkmir9GnVX1K3ipGEWBjCYQiSC1iGZDCbhqnt66F,2.8904507426434054e-07,2.924379859458011e-07,2.740386090535363e-07,2.8183870661854026e-07,1H,2247141972840.9487
2024-10-29 11:00:00,CKZgnkmir9GnVX1K3ipGEWBjCYQiSC1iGZDCbhqnt66F,2.8507318460266405e-07,2.9431469251183985e-07,2.78576022509838e-07,2.8904507426434054e-07,1H,1974469902347.3381
2024-10-29 12:00:00,CKZgnkmir9GnVX1K3ipGEWBjCYQiSC1iGZDCbhqnt66F,2.805142170998514e-07,2.9219960557171064e-07,2.759846976989344e-07,2.8507318460266405e-07,1H,1773152092028.253
2024-10-29 13:00:00,CKZgnkmir9GnVX1K3ipGEWBjCYQiSC1iGZDCbhqnt66F,2.895345677485621e-07,2.9163395431040784e-07,2.7568913830847394e-07,2.805142170998514e-07,1H,1431106508440.0054
2024-10-29 14:00:00,CKZgnkmir9GnVX1K3ipGEWBjCYQiSC1iGZDCbhqnt66F,3.0567542727398313e-07,3.1222544290047254e-07,2.813392408867016e-07,2.895345677485621e-07,1H,969678210774.1381
2024-10-29 15:00:00,CKZgnkmir9GnVX1K3ipGEWBjCYQiSC1iGZDCbhqnt66F,3.0691304157693045e-07,3.086434140646791e-07,2.9365021800854496e-07,3.0567542727398313e-07,1H,818251069916.2349
2024-10-29 16:00:00,CKZgnkmir9GnVX1K3ipGEWBjCYQiSC1iGZDCbhqnt66F,3.0728428825778513e-07,3.1314304224765224e-07,2.974735141215545e-07,3.0691304157693045e-07,1H,659184174772.5688
2024-10-29 17:00:00,CKZgnkmir9GnVX1K3ipGEWBjCYQiSC1iGZDCbhqnt66F,3.048334374895326e-07,3.112465299667638e-07,2.9718013492442876e-07,3.0728428825778513e-07,1H,685261369340.4308
2024-10-29 18:00:00,CKZgnkmir9GnVX1K3ipGEWBjCYQiSC1iGZDCbhqnt66F,3.092131604624266e-07,3.139119672204644e-07,2.9706110418330425e-07,3.048334374895326e-07,1H,856436889854.469
2024-10-29 19:00:00,CKZgnkmir9GnVX1K3ipGEWBjCYQiSC1iGZDCbhqnt66F,3.086254509295683e-07,3.1464562371160845e-07,3.048806398464246e-07,3.092131604624266e-07,1H,38265480108.4519
