datetime,address,c,h,l,o,type,v
2024-10-30 22:15:00,AQqbwCt3izKJm88K8LPZiPxs9qpAu1uePQRVyZEUifFh,1.163737075930467e-05,1.163737075930467e-05,9.760370477132125e-06,9.760370477132125e-06,15m,658698498.8058411
2024-10-30 22:30:00,AQqbwCt3izKJm88K8LPZiPxs9qpAu1uePQRVyZEUifFh,1.425190180186969e-05,1.425618486321228e-05,1.163737075930467e-05,1.163737075930467e-05,15m,664402185.2235824
2024-10-30 22:45:00,AQqbwCt3izKJm88K8LPZiPxs9qpAu1uePQRVyZEUifFh,1.688292705758258e-05,1.688292705758258e-05,1.425190180186969e-05,1.425190180186969e-05,15m,503300631.89738125
2024-10-30 23:00:00,AQqbwCt3izKJm88K8LPZiPxs9qpAu1uePQRVyZEUifFh,1.979470837910509e-05,1.979470837910509e-05,1.688292705758258e-05,1.688292705758258e-05,15m,437608205.7245536
2024-10-30 23:15:00,AQqbwCt3izKJm88K8LPZiPxs9qpAu1uePQRVyZEUifFh,2.337151278244359e-05,2.337151278244359e-05,1.979470837910509e-05,1.979470837910509e-05,15m,401666609.6944369
2024-10-30 23:30:00,AQqbwCt3izKJm88K8LPZiPxs9qpAu1uePQRVyZEUifFh,2.6142215487709394e-05,2.6142215487709394e-05,2.337151278244359e-05,2.337151278244359e-05,15m,261477973.0562392
2024-10-30 23:45:00,AQqbwCt3izKJm88K8LPZiPxs9qpAu1uePQRVyZEUifFh,3.000653821085945e-05,3.000653821085945e-05,2.6142215487709394e-05,2.6142215487709394e-05,15m,302618360.9639369
2024-10-31 00:00:00,AQqbwCt3izKJm88K8LPZiPxs9qpAu1uePQRVyZEUifFh,3.194429278189594e-05,3.194429278189594e-05,3.000653821085945e-05,3.000653821085945e-05,15m,126939900.53792983
2024-10-31 00:15:00,AQqbwCt3izKJm88K8LPZiPxs9qpAu1uePQRVyZEUifFh,3.2479040843775585e-05,3.2479040843775585e-05,3.194429278189594e-05,3.194429278189594e-05,15m,32990389.81049581
2024-10-31 00:30:00,AQqbwCt3izKJm88K8LPZiPxs9qpAu1uePQRVyZEUifFh,3.300332469630538e-05,3.300332469630538e-05,3.246221107742533e-05,3.2479040843775585e-05,15m,33720164.5198812
2024-10-31 00:45:00,AQqbwCt3izKJm88K8LPZiPxs9qpAu1uePQRVyZEUifFh,3.45704706286959e-05,3.45704706286959e-05,3.300332469630538e-05,3.300332469630538e-05,15m,87831343.02529548
2024-10-31 01:00:00,AQqbwCt3izKJm88K8LPZiPxs9qpAu1uePQRVyZEUifFh,3.639804957039229e-05,3.639804957039229e-05,3.45704706286959e-05,3.45704706286959e-05,15m,90484475.34026171
2024-10-31 01:15:00,AQqbwCt3izKJm88K8LPZiPxs9qpAu1uePQRVyZEUifFh,3.901572047288695e-05,3.901572047288695e-05,3.639804957039229e-05,3.639804957039229e-05,15m,130039454.07416597
2024-10-31 01:30:00,AQqbwCt3izKJm88K8LPZiPxs9qpAu1uePQRVyZEUifFh,4.199564628886355e-05,4.199564628886355e-05,3.901572047288695e-05,3.901572047288695e-05,15m,135509667.50752512
2024-10-31 01:45:00,AQqbwCt3izKJm88K8LPZiPxs9qpAu1uePQRVyZEUifFh,4.6557437803438517e-05,4.6557437803438517e-05,4.199564628886355e-05,4.199564628886355e-05,15m,170614383.04133672
2024-10-31 02:00:00,AQqbwCt3izKJm88K8LPZiPxs9qpAu1uePQRVyZEUifFh,9.612854169270134e-07,4.659583420700265e-05,9.612854169270134e-07,4.6557437803438517e-05,15m,2218980.3173039164
