datetime,address,c,h,l,o,type,v
2024-10-31 21:00:00,93MCjhxe56soTv4Hb5gTDCXeN7T86t3ojt21GppYpump,0.0002330764031267805,0.00036049719906579416,4.965581096187186e-05,6.530280403773807e-05,1H,3672566089.771278
2024-10-31 22:00:00,93MCjhxe56soTv4Hb5gTDCXeN7T86t3ojt21GppYpump,0.00024128850539746824,0.0015227024744965158,0.00019370872039336506,0.0002330764031267805,1H,1341671109.0488803
2024-10-31 23:00:00,93MCjhxe56soTv4Hb5gTDCXeN7T86t3ojt21GppYpump,0.00013546894123029756,0.00032602323946406137,9.48483788717496e-05,0.00024128850539746824,1H,2252908820.250058
2024-11-01 00:00:00,93MCjhxe56soTv4Hb5gTDCXeN7T86t3ojt21GppYpump,7.031227056160409e-05,0.00017377577565441308,5.849785909575769e-05,0.00013546894123029756,1H,963037843.1038891
2024-11-01 01:00:00,93MCjhxe56soTv4Hb5gTDCXeN7T86t3ojt21GppYpump,8.005682084763732e-05,8.379145603707765e-05,5.751725410079024e-05,7.031227056160409e-05,1H,545919769.2041546
2024-11-01 02:00:00,93MCjhxe56soTv4Hb5gTDCXeN7T86t3ojt21GppYpump,8.585823230845468e-05,0.00010277122611873067,7.416506821098366e-05,8.005682084763732e-05,1H,374344575.4936765
2024-11-01 03:00:00,93MCjhxe56soTv4Hb5gTDCXeN7T86t3ojt21GppYpump,0.00015111791578574445,0.00017672973137368355,8.016978924180072e-05,8.585823230845468e-05,1H,322583528.25336695
2024-11-01 04:00:00,93MCjhxe56soTv4Hb5gTDCXeN7T86t3ojt21GppYpump,0.00011060055102345681,0.00021545291936308112,0.00010788999434219877,0.00015111791578574445,1H,388388785.1385517
2024-11-01 05:00:00,93MCjhxe56soTv4Hb5gTDCXeN7T86t3ojt21GppYpump,8.21188410329407e-05,0.00012138491114895772,7.810384054135545e-05,0.00011060055102345681,1H,190139561.18161604
2024-11-01 06:00:00,93MCjhxe56soTv4Hb5gTDCXeN7T86t3ojt21GppYpump,9.903291332976015e-05,0.00012412166046336145,8.21188410329407e-05,8.21188410329407e-05,1H,162695693.00936803
2024-11-01 07:00:00,93MCjhxe56soTv4Hb5gTDCXeN7T86t3ojt21GppYpump,9.768569066118121e-05,0.00011468112690632615,8.918416716492985e-05,9.903291332976015e-05,1H,137988002.53863695
2024-11-01 08:00:00,93MCjhxe56soTv4Hb5gTDCXeN7T86t3ojt21GppYpump,0.00017499698189342677,0.0002008182339562288,9.664706669706772e-05,9.768569066118121e-05,1H,238682690.7933501
2024-11-01 09:00:00,93MCjhxe56soTv4Hb5gTDCXeN7T86t3ojt21GppYpump,0.00015214227300095699,0.00017653703513750014,0.00012151240018531514,0.00017499698189342677,1H,129838664.37828603
2024-11-01 10:00:00,93MCjhxe56soTv4Hb5gTDCXeN7T86t3ojt21GppYpump,0.00010945649098371444,0.00015214227300095699,9.971549546193908e-05,0.00015214227300095699,1H,244464231.55689788
2024-11-01 11:00:00,93MCjhxe56soTv4Hb5gTDCXeN7T86t3ojt21GppYpump,0.00016807264151285218,0.0001980949777207248,0.00010825743549620062,0.00010945649098371444,1H,152461890.14576516
2024-11-01 12:00:00,93MCjhxe56soTv4Hb5gTDCXeN7T86t3ojt21GppYpump,0.0001448383148923222,0.00019425306732716343,0.0001448383148923222,0.00016807264151285218,1H,126974266.08905707
2024-11-01 13:00:00,93MCjhxe56soTv4Hb5gTDCXeN7T86t3ojt21GppYpump,0.00019724140457051022,0.00019724140457051022,0.0001379636120966536,0.0001448383148923222,1H,113230442.17384806
2024-11-01 14:00:00,93MCjhxe56soTv4Hb5gTDCXeN7T86t3ojt21GppYpump,0.00024819156993234983,0.000331112808505294,0.00019652486726112091,0.00019724140457051022,1H,325270410.5864652
2024-11-01 15:00:00,93MCjhxe56soTv4Hb5gTDCXeN7T86t3ojt21GppYpump,0.00038649172463240495,0.00039567767570098636,0.00022959984237783668,0.00024819156993234983,1H,206182614.14179513
2024-11-01 16:00:00,93MCjhxe56soTv4Hb5gTDCXeN7T86t3ojt21GppYpump,0.00037334802934357105,0.00039320963942355013,0.00023195273682836585,0.00038649172463240495,1H,219312430.51756296
2024-11-01 17:00:00,93MCjhxe56soTv4Hb5gTDCXeN7T86t3ojt21GppYpump,0.00042223689681450844,0.0005004105454519452,0.00030384187322226864,0.00037334802934357105,1H,158959970.04812422
2024-11-01 18:00:00,93MCjhxe56soTv4Hb5gTDCXeN7T86t3ojt21GppYpump,0.00044618842871902857,0.00044618842871902857,0.00042108411143638975,0.00042223689681450844,1H,2724158.5156660005
