datetime,address,c,h,l,o,type,v
2024-11-06 06:30:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.011872081155302262,0.011872081155302262,0.011499344126347498,0.011630773677382526,15m,186460271.7980768
2024-11-06 06:45:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.03421792555592453,0.036667186198087794,0.011872081155302262,0.011872081155302262,15m,16885057.4323043
2024-11-06 07:00:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.031240955572716778,0.035631306662003655,0.029059019757787376,0.03421792555592453,15m,13282907.200577268
2024-11-06 07:15:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.038369231776516986,0.03974881278724557,0.031091473504455607,0.031240955572716778,15m,13166432.372442491
2024-11-06 07:30:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.03616566290147831,0.039995613899218775,0.032651824567914114,0.038369231776516986,15m,11136423.94189253
2024-11-06 07:45:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.03646528817037024,0.03740751255131091,0.030289349277452703,0.03616566290147831,15m,15366642.959342897
2024-11-06 08:00:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.018650106615734872,0.03758080485065441,0.014765881380040041,0.03646528817037024,15m,32776482.38545288
2024-11-06 08:15:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.03463692776676708,0.035653809870220154,0.018120551427178104,0.018650106615734872,15m,30291526.76629684
2024-11-06 08:30:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.03891059994816029,0.04043666741464943,0.030885618374892242,0.03463692776676708,15m,17980124.87973334
2024-11-06 08:45:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.036363479200930124,0.04122075113817095,0.03001443487592279,0.03891059994816029,15m,19102364.010815326
2024-11-06 09:00:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.04016534329017227,0.041512083378707834,0.03460683067789636,0.036363479200930124,15m,17023060.92249704
2024-11-06 09:15:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.03599177509930957,0.044101572922713946,0.03567898371073951,0.04016534329017227,15m,18123218.50238391
2024-11-06 09:30:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.045666814425838406,0.04624296154084276,0.034103044165457605,0.03599177509930957,15m,19179399.47689834
2024-11-06 09:45:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.009914098048328907,0.04862692482090976,0.00987034169592889,0.045666814425838406,15m,40389583.55825675
2024-11-06 10:00:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.013933453357644105,0.029450717172559877,0.009523818072540196,0.009914098048328907,15m,48296449.31162472
2024-11-06 10:15:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.006184785760755584,0.014777031650949327,0.0055925647782818265,0.013933453357644105,15m,59474025.242990576
2024-11-06 10:30:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.006450196736596071,0.008982549237753823,0.003979086445582399,0.006184785760755584,15m,87430722.15451828
2024-11-06 10:45:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.007327436073600115,0.008061631346757168,0.006074043063929045,0.006450196736596071,15m,66422987.14104868
2024-11-06 11:00:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.008119063888953492,0.00848115468395131,0.006892077962641487,0.007327436073600115,15m,57269585.754832014
2024-11-06 11:15:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.001754706600562005,0.00910104307480209,0.001709420305856376,0.008119063888953492,15m,113530436.51152766
2024-11-06 11:30:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.0019593264843777375,0.0022001075715784,0.001267608984008991,0.001754706600562005,15m,155507359.37664506
2024-11-06 11:45:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.0020298648128230564,0.0023067644899175867,0.0016792948142004091,0.0019593264843777375,15m,152420282.2012096
2024-11-06 12:00:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.0020674365270666353,0.002423990135743757,0.0017109515931060723,0.0020298648128230564,15m,140714433.1008713
2024-11-06 12:15:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.002575541165761718,0.002612318736666328,0.0017172588932972608,0.0020674365270666353,15m,128852780.69077283
2024-11-06 12:30:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.00222177111019533,0.002770920661480429,0.0021339352384338026,0.002575541165761718,15m,109262712.08727507
2024-11-06 12:45:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.00395757216617686,0.0040386040696673235,0.0018978855542716665,0.00222177111019533,15m,127377589.37525107
2024-11-06 13:00:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.005031198952471363,0.005330332947267878,0.003411360993692815,0.00395757216617686,15m,93988916.4142864
2024-11-06 13:15:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.004790203391617904,0.0058792473903751365,0.004113148819975669,0.005031198952471363,15m,80475815.68118091
2024-11-06 13:30:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.001643653561589888,0.005242867742163469,0.0014943088857670823,0.004790203391617904,15m,145761623.7660143
2024-11-06 13:45:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.0016465286903706124,0.0017496751621654985,0.0013128275664619957,0.001643653561589888,15m,163378559.2183636
2024-11-06 14:00:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.0015196356174744712,0.0018152495348978896,0.001287133162124066,0.0016465286903706124,15m,153303252.66341868
2024-11-06 14:15:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.001555666390961827,0.0016427714868957589,0.0013515774478892336,0.0015196356174744712,15m,141723975.89210975
2024-11-06 14:30:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.001404169752727385,0.0017090103177868623,0.001404169752727385,0.001555666390961827,15m,145695201.9429654
2024-11-06 14:45:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.0012512245829222424,0.0016679991905144888,0.0011740942250086143,0.001404169752727385,15m,175871357.3229374
2024-11-06 15:00:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.0012333859658178227,0.00137439684003981,0.0011581071536642664,0.0012512245829222424,15m,155192341.09334022
2024-11-06 15:15:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.0012081203990601897,0.0014332985340570774,0.001078883512083778,0.0012333859658178227,15m,169287800.11975396
2024-11-06 15:30:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.001163127831901443,0.0013873867294297974,0.0010991425458558364,0.0012081203990601897,15m,177783298.80346134
2024-11-06 15:45:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.001222464752821989,0.0013490371108816855,0.0011305580954273464,0.001163127831901443,15m,168277793.32135355
2024-11-06 16:00:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.0010615295188380863,0.0012972800008021592,0.0010321181932908964,0.001222464752821989,15m,147323977.72404602
2024-11-06 16:15:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.0010074133529422208,0.0014627896406116151,0.00097138573215959,0.0010615295188380863,15m,197071734.20303804
2024-11-06 16:30:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.0008344482618950489,0.0013035626369297297,0.000692934034902835,0.0010074133529422208,15m,275441861.3436627
2024-11-06 16:45:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.0012606596754658503,0.001329986637690773,0.00041032839527370413,0.0008344482618950489,15m,738009614.0967724
2024-11-06 17:00:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.000546204566485888,0.001272691162678993,0.00047205287829009385,0.0012606596754658503,15m,493563651.4163
2024-11-06 17:15:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.00033860525561989246,0.001044266262044155,0.0002954562927249925,0.000546204566485888,15m,606087722.4850975
2024-11-06 17:30:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.00047408818319893996,0.0007337958843231336,0.00023940807955545333,0.00033860525561989246,15m,653568784.850617
2024-11-06 17:45:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.0007701851320975916,0.0009920548702235475,0.0003825200111049438,0.00047408818319893996,15m,570258902.6502439
2024-11-06 18:00:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.0010839256289873753,0.0014477781867385786,0.0005942212999652184,0.0007701851320975916,15m,497932156.3669121
2024-11-06 18:15:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.0015218091597598816,0.0016344610536381486,0.0008977007828085536,0.0010839256289873753,15m,360664960.1168848
2024-11-06 18:30:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.002047663823564126,0.002104846720113993,0.0013514661510631595,0.0015218091597598816,15m,283403461.5171976
2024-11-06 18:45:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.0020554457591805964,0.0024653890866456027,0.0016999544223309977,0.002047663823564126,15m,213697106.2157903
2024-11-06 19:00:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.0021511351589888713,0.0024649657956392203,0.001845652434047747,0.0020554457591805964,15m,199900935.7005993
2024-11-06 19:15:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.0018283399072621636,0.002309864587713841,0.0017145124403359021,0.0021511351589888713,15m,211449026.54966396
2024-11-06 19:30:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.0015041746521317204,0.0018283399072621636,0.0012180722174489058,0.0018283399072621636,15m,272265743.04079616
2024-11-06 19:45:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.0014384813672166917,0.0015739670369299289,0.0011120691252086109,0.0015041746521317204,15m,257636814.75454313
2024-11-06 20:00:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.002022429193277667,0.0021340791408758562,0.0014208306090801568,0.0014384813672166917,15m,186502903.32390428
2024-11-06 20:15:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.002118678050168411,0.0024134443074434546,0.0018857199559927462,0.002022429193277667,15m,116415421.00149798
2024-11-06 20:30:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.0017140905759495497,0.002118678050168411,0.001458179752017672,0.002118678050168411,15m,118168141.44901536
2024-11-06 20:45:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.0022126956346916913,0.0022259228862413385,0.0016812639093918295,0.0017140905759495497,15m,102365614.20423336
2024-11-06 21:00:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.0029093665814816415,0.0029336828096124356,0.0020398798742727593,0.0022126956346916913,15m,83749192.28845952
2024-11-06 21:15:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.0007396650789881991,0.002958007872029156,0.0006888044797002448,0.0029093665814816415,15m,154247572.94975114
2024-11-06 21:30:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.0008343524897951552,0.000883567738393244,0.00072797268727737,0.0007396650789881991,15m,129792683.60479303
2024-11-06 21:45:00,L65xMnkf9hVb2HYivKSpfBXoTdwm1wCqE4Du7iSrrov,0.0008381659445613817,0.0008455136116143556,0.0007986284070402182,0.0008343524897951552,15m,42850507.84105407
