datetime,address,c,h,l,o,type,v
2024-11-05 23:55:00,93R96aUkh4fsYukKZ4K3TnofdyFnhtk5HPrNbA87u71E,1.0870319130960093e-05,1.0870319130960093e-05,1.0782099935564797e-05,1.0782099935564797e-05,1m,35948315.4045662
2024-11-05 23:56:00,93R96aUkh4fsYukKZ4K3TnofdyFnhtk5HPrNbA87u71E,1.0976340470418441e-05,1.0991682505393613e-05,1.0870319130960093e-05,1.0870319130960093e-05,1m,35446914.16298737
2024-11-05 23:57:00,93R96aUkh4fsYukKZ4K3TnofdyFnhtk5HPrNbA87u71E,1.1179206101694053e-05,1.1179206101694053e-05,1.0971624776433104e-05,1.0976340470418441e-05,1m,54131109.94290033
2024-11-05 23:58:00,93R96aUkh4fsYukKZ4K3TnofdyFnhtk5HPrNbA87u71E,1.130886418280345e-05,1.130886418280345e-05,1.1179206101694053e-05,1.1179206101694053e-05,1m,34136718.06009384
2024-11-05 23:59:00,93R96aUkh4fsYukKZ4K3TnofdyFnhtk5HPrNbA87u71E,1.1492115621710842e-05,1.1492115621710842e-05,1.130886418280345e-05,1.130886418280345e-05,1m,48110344.31457235
2024-11-06 00:00:00,93R96aUkh4fsYukKZ4K3TnofdyFnhtk5HPrNbA87u71E,1.1618799169081329e-05,1.1618799169081329e-05,1.1492115621710842e-05,1.1492115621710842e-05,1m,27351222.873260032
2024-11-06 00:01:00,93R96aUkh4fsYukKZ4K3TnofdyFnhtk5HPrNbA87u71E,1.1679559682986364e-05,1.1679559682986364e-05,1.1618799169081329e-05,1.1618799169081329e-05,1m,18570518.826018617
2024-11-06 00:02:00,93R96aUkh4fsYukKZ4K3TnofdyFnhtk5HPrNbA87u71E,1.1854090034112204e-05,1.1854090034112204e-05,1.1679559682986364e-05,1.1679559682986364e-05,1m,42416602.54634637
2024-11-06 00:03:00,93R96aUkh4fsYukKZ4K3TnofdyFnhtk5HPrNbA87u71E,1.2034611821026295e-05,1.2034611821026295e-05,1.1854090034112204e-05,1.1854090034112204e-05,1m,41815435.003336765
2024-11-06 00:04:00,93R96aUkh4fsYukKZ4K3TnofdyFnhtk5HPrNbA87u71E,1.2204239145338722e-05,1.2204239145338722e-05,1.2034611821026295e-05,1.2034611821026295e-05,1m,43954807.36480253
2024-11-06 00:05:00,93R96aUkh4fsYukKZ4K3TnofdyFnhtk5HPrNbA87u71E,1.2305328731632713e-05,1.2305328731632713e-05,1.2204239145338722e-05,1.2204239145338722e-05,1m,21730988.646186553
2024-11-06 00:06:00,93R96aUkh4fsYukKZ4K3TnofdyFnhtk5HPrNbA87u71E,1.249266218750196e-05,1.249266218750196e-05,1.2305328731632713e-05,1.2305328731632713e-05,1m,42981720.04160765
2024-11-06 00:07:00,93R96aUkh4fsYukKZ4K3TnofdyFnhtk5HPrNbA87u71E,1.2613321948608594e-05,1.2653523676142415e-05,1.249266218750196e-05,1.249266218750196e-05,1m,41366727.3793094
2024-11-06 00:08:00,93R96aUkh4fsYukKZ4K3TnofdyFnhtk5HPrNbA87u71E,1.2824591044756084e-05,1.2824591044756084e-05,1.2613321948608594e-05,1.2613321948608594e-05,1m,43084593.849680655
2024-11-06 00:09:00,93R96aUkh4fsYukKZ4K3TnofdyFnhtk5HPrNbA87u71E,1.2922769034358178e-05,1.2922769034358178e-05,1.2824591044756084e-05,1.2824591044756084e-05,1m,21428076.692601528
2024-11-06 00:10:00,93R96aUkh4fsYukKZ4K3TnofdyFnhtk5HPrNbA87u71E,1.3069992237089862e-05,1.3069992237089862e-05,1.2922769034358178e-05,1.2922769034358178e-05,1m,28150337.278802108
2024-11-06 00:11:00,93R96aUkh4fsYukKZ4K3TnofdyFnhtk5HPrNbA87u71E,1.331950026424884e-05,1.331950026424884e-05,1.3069992237089862e-05,1.3069992237089862e-05,1m,50469958.342309296
2024-11-06 00:12:00,93R96aUkh4fsYukKZ4K3TnofdyFnhtk5HPrNbA87u71E,1.331950026424884e-05,1.331950026424884e-05,1.331950026424884e-05,1.331950026424884e-05,1m,0.0
