datetime,address,c,h,l,o,type,v
2024-11-05 23:36:00,6emhPDMKmmuqSaieTAwtqaHqSs9WGUxic2EGnqpJpump,5.570959274188597e-05,6.82599532974653e-05,4.1873977542175255e-05,6.82599532974653e-05,3m,229918923.99950507
2024-11-05 23:39:00,6emhPDMKmmuqSaieTAwtqaHqSs9WGUxic2EGnqpJpump,5.826599346972361e-05,8.390300291432786e-05,3.8427700105425784e-05,5.570959274188597e-05,3m,297875047.037169
2024-11-05 23:42:00,6emhPDMKmmuqSaieTAwtqaHqSs9WGUxic2EGnqpJpump,6.723686566570344e-05,8.736686109814237e-05,5.275451863289966e-05,5.826599346972361e-05,3m,322548974.88869196
2024-11-05 23:45:00,6emhPDMKmmuqSaieTAwtqaHqSs9WGUxic2EGnqpJpump,0.00010107662427791768,0.00011493459963169866,6.526094918817754e-05,6.723686566570344e-05,3m,154271468.063923
2024-11-05 23:48:00,6emhPDMKmmuqSaieTAwtqaHqSs9WGUxic2EGnqpJpump,7.87071383554132e-05,0.00011246008079471612,7.182736432821193e-05,0.00010107662427791768,3m,182111275.20546898
2024-11-05 23:51:00,6emhPDMKmmuqSaieTAwtqaHqSs9WGUxic2EGnqpJpump,7.447043438711413e-05,0.0001016905312298835,6.382415347947342e-05,7.87071383554132e-05,3m,194036739.03100598
2024-11-05 23:54:00,6emhPDMKmmuqSaieTAwtqaHqSs9WGUxic2EGnqpJpump,3.353687157638591e-05,7.447043438711413e-05,2.37539174861895e-05,7.447043438711413e-05,3m,444050440.41747093
2024-11-05 23:57:00,6emhPDMKmmuqSaieTAwtqaHqSs9WGUxic2EGnqpJpump,3.7319833333692904e-05,3.948430153848817e-05,2.025395465705238e-05,3.353687157638591e-05,3m,343149591.97574
2024-11-06 00:00:00,6emhPDMKmmuqSaieTAwtqaHqSs9WGUxic2EGnqpJpump,6.518457881226514e-05,6.518457881226514e-05,3.2290593620069764e-05,3.7319833333692904e-05,3m,438160655.2088819
2024-11-06 00:03:00,6emhPDMKmmuqSaieTAwtqaHqSs9WGUxic2EGnqpJpump,8.51767608538408e-05,0.00011860211651632109,6.518457881226514e-05,6.518457881226514e-05,3m,334018262.6811989
2024-11-06 00:06:00,6emhPDMKmmuqSaieTAwtqaHqSs9WGUxic2EGnqpJpump,8.6059960691632e-05,8.6059960691632e-05,5.510400683245108e-05,8.51767608538408e-05,3m,193627037.18301997
2024-11-06 00:09:00,6emhPDMKmmuqSaieTAwtqaHqSs9WGUxic2EGnqpJpump,0.00011388190325092804,0.0001292793537367919,8.6059960691632e-05,8.6059960691632e-05,3m,136239642.09199104
2024-11-06 00:12:00,6emhPDMKmmuqSaieTAwtqaHqSs9WGUxic2EGnqpJpump,0.00011868174499483294,0.0001498931419202345,0.00010818755960317696,0.00011388190325092804,3m,145694372.209689
2024-11-06 00:15:00,6emhPDMKmmuqSaieTAwtqaHqSs9WGUxic2EGnqpJpump,0.0001035634650015659,0.00011868174499483294,7.191955515564976e-05,0.00011868174499483294,3m,220460917.05015704
2024-11-06 00:18:00,6emhPDMKmmuqSaieTAwtqaHqSs9WGUxic2EGnqpJpump,0.0001008871491087048,0.00012746022437948174,8.752658898880555e-05,0.0001035634650015659,3m,113587857.58161299
2024-11-06 00:21:00,6emhPDMKmmuqSaieTAwtqaHqSs9WGUxic2EGnqpJpump,9.292418613306948e-05,0.0001025531812262979,7.12495715758279e-05,0.0001008871491087048,3m,137776960.82263702
2024-11-06 00:24:00,6emhPDMKmmuqSaieTAwtqaHqSs9WGUxic2EGnqpJpump,9.021895254948429e-05,9.94084293657572e-05,8.847583023606723e-05,9.292418613306948e-05,3m,48122390.43353302
2024-11-06 00:27:00,6emhPDMKmmuqSaieTAwtqaHqSs9WGUxic2EGnqpJpump,9.701741948039893e-05,9.701741948039893e-05,9.021895254948429e-05,9.021895254948429e-05,3m,6397080.486376001
