datetime,address,c,h,l,o,type,v
2024-11-07 17:18:00,HJMrJNePjdwdqPVoKCe8LwhoTmK1KF3ZFexZ3iv7rBSm,5.522495340382955e-07,5.880852210500589e-07,1.758420491835807e-07,1.758420491835807e-07,1m,5417750277.846454
2024-11-07 17:19:00,HJMrJNePjdwdqPVoKCe8LwhoTmK1KF3ZFexZ3iv7rBSm,8.019959978301867e-07,1.4419044159133363e-06,5.522495340382955e-07,5.522495340382955e-07,1m,4952466165.982365
2024-11-07 17:20:00,HJMrJNePjdwdqPVoKCe8LwhoTmK1KF3ZFexZ3iv7rBSm,1.4977722264169277e-06,1.4977722264169277e-06,3.554075794228918e-07,8.019959978301867e-07,1m,9417262302.15715
2024-11-07 17:21:00,HJMrJNePjdwdqPVoKCe8LwhoTmK1KF3ZFexZ3iv7rBSm,6.064915695089668e-07,1.787748196689142e-06,6.064915695089668e-07,1.4977722264169277e-06,1m,4489064321.523688
2024-11-07 17:22:00,HJMrJNePjdwdqPVoKCe8LwhoTmK1KF3ZFexZ3iv7rBSm,1.7885455964625356e-06,1.793701825161269e-06,4.5679857136633753e-07,6.064915695089668e-07,1m,5959555935.024951
2024-11-07 17:23:00,HJMrJNePjdwdqPVoKCe8LwhoTmK1KF3ZFexZ3iv7rBSm,2.078236239425933e-06,2.078236239425933e-06,1.5904963552255662e-06,1.7885455964625356e-06,1m,1343066114.2657595
2024-11-07 17:24:00,HJMrJNePjdwdqPVoKCe8LwhoTmK1KF3ZFexZ3iv7rBSm,4.3082149849414515e-06,4.3082149849414515e-06,2.055866462978913e-06,2.078236239425933e-06,1m,1644936234.1953743
2024-11-07 17:25:00,HJMrJNePjdwdqPVoKCe8LwhoTmK1KF3ZFexZ3iv7rBSm,3.4406174992731137e-06,4.657689633847483e-06,3.4406174992731137e-06,4.3082149849414515e-06,1m,441731412.67260015
2024-11-07 17:26:00,HJMrJNePjdwdqPVoKCe8LwhoTmK1KF3ZFexZ3iv7rBSm,1.439832240460645e-06,3.4406174992731137e-06,1.056161816071156e-06,3.4406174992731137e-06,1m,3343182534.5115843
2024-11-07 17:27:00,HJMrJNePjdwdqPVoKCe8LwhoTmK1KF3ZFexZ3iv7rBSm,2.2072638997918704e-06,2.229094069265788e-06,1.439832240460645e-06,1.439832240460645e-06,1m,1373143358.5971525
2024-11-07 17:28:00,HJMrJNePjdwdqPVoKCe8LwhoTmK1KF3ZFexZ3iv7rBSm,5.593536622523728e-06,5.593536622523728e-06,1.9115412995266675e-06,2.2072638997918704e-06,1m,2040523549.3362536
2024-11-07 17:29:00,HJMrJNePjdwdqPVoKCe8LwhoTmK1KF3ZFexZ3iv7rBSm,9.824597070305816e-06,9.824597070305816e-06,5.593536622523728e-06,5.593536622523728e-06,1m,743606558.311415
2024-11-07 17:30:00,HJMrJNePjdwdqPVoKCe8LwhoTmK1KF3ZFexZ3iv7rBSm,9.75752779577653e-06,1.0589983907042959e-05,8.283720139819344e-06,9.824597070305816e-06,1m,490623495.17047495
2024-11-07 17:31:00,HJMrJNePjdwdqPVoKCe8LwhoTmK1KF3ZFexZ3iv7rBSm,1.4775587964945484e-05,1.4775587964945484e-05,9.75752779577653e-06,9.75752779577653e-06,1m,405983051.4541822
2024-11-07 17:32:00,HJMrJNePjdwdqPVoKCe8LwhoTmK1KF3ZFexZ3iv7rBSm,1.4581905033115746e-05,1.4775587964945484e-05,1.4581905033115746e-05,1.4775587964945484e-05,1m,8015798.09
2024-11-07 17:33:00,HJMrJNePjdwdqPVoKCe8LwhoTmK1KF3ZFexZ3iv7rBSm,1.4581905033115746e-05,1.4581905033115746e-05,1.4581905033115746e-05,1.4581905033115746e-05,1m,0.0
2024-11-07 17:34:00,HJMrJNePjdwdqPVoKCe8LwhoTmK1KF3ZFexZ3iv7rBSm,1.0263304625059527e-05,1.4581905033115746e-05,1.0263304625059527e-05,1.4581905033115746e-05,1m,213144840.89999995
2024-11-07 17:35:00,HJMrJNePjdwdqPVoKCe8LwhoTmK1KF3ZFexZ3iv7rBSm,5.153646737450814e-06,1.0263304625059527e-05,5.153646737450814e-06,1.0263304625059527e-05,1m,545161126.78
2024-11-07 17:36:00,HJMrJNePjdwdqPVoKCe8LwhoTmK1KF3ZFexZ3iv7rBSm,1.3210904967868082e-05,1.3210904967868082e-05,4.5551841901243805e-06,5.153646737450814e-06,1m,1172755332.0446126
2024-11-07 17:37:00,HJMrJNePjdwdqPVoKCe8LwhoTmK1KF3ZFexZ3iv7rBSm,2.1962394364896104e-05,2.2036485817642538e-05,1.316217364237845e-05,1.3210904967868082e-05,1m,384450513.76476794
2024-11-07 17:38:00,HJMrJNePjdwdqPVoKCe8LwhoTmK1KF3ZFexZ3iv7rBSm,2.9740167800205232e-05,2.9901176125998525e-05,2.1960581846551733e-05,2.1962394364896104e-05,1m,204863800.54696822
