datetime,address,c,h,l,o,type,v
2024-11-06 00:00:00,9xwuQd1GG2sj8CwedbLHiSAV6Aja7wyiahXBMQdgpump,2.1814788822644572e-05,0.00018142601103572986,2.1814788822644572e-05,6.936872693792987e-05,1H,1005073301.3694586
2024-11-06 01:00:00,9xwuQd1GG2sj8CwedbLHiSAV6Aja7wyiahXBMQdgpump,3.310293638749209e-05,3.382900608844859e-05,1.682498538915052e-05,2.1814788822644572e-05,1H,395143530.7942319
2024-11-06 02:00:00,9xwuQd1GG2sj8CwedbLHiSAV6Aja7wyiahXBMQdgpump,3.483326823655414e-05,3.97325098618546e-05,3.2525189737485615e-05,3.310293638749209e-05,1H,104134563.09966901
2024-11-06 03:00:00,9xwuQd1GG2sj8CwedbLHiSAV6Aja7wyiahXBMQdgpump,2.617339965346565e-05,3.5593574346289024e-05,2.5895683623648076e-05,3.483326823655414e-05,1H,47915744.77905001
2024-11-06 04:00:00,9xwuQd1GG2sj8CwedbLHiSAV6Aja7wyiahXBMQdgpump,2.8414765575650603e-05,2.8414765575650603e-05,2.617339965346565e-05,2.617339965346565e-05,1H,28058409.014262
2024-11-06 05:00:00,9xwuQd1GG2sj8CwedbLHiSAV6Aja7wyiahXBMQdgpump,3.0161887800458083e-05,3.0161887800458083e-05,2.8332146164995342e-05,2.8414765575650603e-05,1H,14578860.93803
2024-11-06 06:00:00,9xwuQd1GG2sj8CwedbLHiSAV6Aja7wyiahXBMQdgpump,3.295526974054694e-05,3.572901464809514e-05,3.0161887800458083e-05,3.0161887800458083e-05,1H,70654365.874131
2024-11-06 07:00:00,9xwuQd1GG2sj8CwedbLHiSAV6Aja7wyiahXBMQdgpump,3.638379614380873e-05,7.04681861708648e-05,3.295526974054694e-05,3.295526974054694e-05,1H,193616044.077196
2024-11-06 08:00:00,9xwuQd1GG2sj8CwedbLHiSAV6Aja7wyiahXBMQdgpump,3.574329484287731e-05,3.749137119300675e-05,3.574329484287731e-05,3.638379614380873e-05,1H,13616477.138054999
2024-11-06 09:00:00,9xwuQd1GG2sj8CwedbLHiSAV6Aja7wyiahXBMQdgpump,3.7293802632014614e-05,3.7293802632014614e-05,3.574329484287731e-05,3.574329484287731e-05,1H,5859323.978794
