datetime,address,c,h,l,o,type,v
2024-11-05 15:40:00,57VCXi7uAgypyEwDJM3GKp955kBwJrpwbp8xcoVvbjLD,3.1692436680215245e-07,3.1692436680215245e-07,5.860444519616279e-08,5.860444519616279e-08,5m,27857346170.36238
2024-11-05 15:45:00,57VCXi7uAgypyEwDJM3GKp955kBwJrpwbp8xcoVvbjLD,8.298783398999086e-07,1.3310075246963615e-06,2.81325413128849e-07,3.1692436680215245e-07,5m,17935277603.658585
2024-11-05 15:50:00,57VCXi7uAgypyEwDJM3GKp955kBwJrpwbp8xcoVvbjLD,2.0552063436454023e-06,2.0552063436454023e-06,7.37475465203477e-07,8.298783398999086e-07,5m,10725232975.65119
2024-11-05 15:55:00,57VCXi7uAgypyEwDJM3GKp955kBwJrpwbp8xcoVvbjLD,1.9110945281095534e-06,2.8218492845734712e-06,1.6415963366200744e-06,2.0552063436454023e-06,5m,5017655175.414841
2024-11-05 16:00:00,57VCXi7uAgypyEwDJM3GKp955kBwJrpwbp8xcoVvbjLD,1.2983122636634407e-06,1.9110945281095534e-06,1.2983122636634407e-06,1.9110945281095534e-06,5m,2243812148.784292
2024-11-05 16:05:00,57VCXi7uAgypyEwDJM3GKp955kBwJrpwbp8xcoVvbjLD,9.604651340924826e-07,1.5811110454037276e-06,9.604651340924826e-07,1.2983122636634407e-06,5m,1721957241.377331
2024-11-05 16:10:00,57VCXi7uAgypyEwDJM3GKp955kBwJrpwbp8xcoVvbjLD,8.789194883342479e-07,9.604651340924826e-07,8.789194883342479e-07,9.604651340924826e-07,5m,720910684.081444
2024-11-05 16:15:00,57VCXi7uAgypyEwDJM3GKp955kBwJrpwbp8xcoVvbjLD,1.6704074522002135e-06,1.6704074522002135e-06,8.486945756575879e-07,8.789194883342479e-07,5m,2923937953.33334
2024-11-05 16:20:00,57VCXi7uAgypyEwDJM3GKp955kBwJrpwbp8xcoVvbjLD,1.6704074522002135e-06,1.6704074522002135e-06,1.6704074522002135e-06,1.6704074522002135e-06,5m,0.0
2024-11-05 16:25:00,57VCXi7uAgypyEwDJM3GKp955kBwJrpwbp8xcoVvbjLD,1.6704074522002135e-06,1.6704074522002135e-06,1.6704074522002135e-06,1.6704074522002135e-06,5m,0.0
2024-11-05 16:30:00,57VCXi7uAgypyEwDJM3GKp955kBwJrpwbp8xcoVvbjLD,1.6704074522002135e-06,1.6704074522002135e-06,1.6704074522002135e-06,1.6704074522002135e-06,5m,0.0
2024-11-05 16:35:00,57VCXi7uAgypyEwDJM3GKp955kBwJrpwbp8xcoVvbjLD,1.6704074522002135e-06,1.6704074522002135e-06,1.6704074522002135e-06,1.6704074522002135e-06,5m,0.0
2024-11-05 16:40:00,57VCXi7uAgypyEwDJM3GKp955kBwJrpwbp8xcoVvbjLD,1.2181751326455952e-06,1.6704074522002135e-06,1.2181751326455952e-06,1.6704074522002135e-06,5m,1000652247.583497
2024-11-05 16:45:00,57VCXi7uAgypyEwDJM3GKp955kBwJrpwbp8xcoVvbjLD,1.3839395784381026e-06,1.4561571325763992e-06,1.0997913859911433e-06,1.2181751326455952e-06,5m,2674296469.6772275
2024-11-05 16:50:00,57VCXi7uAgypyEwDJM3GKp955kBwJrpwbp8xcoVvbjLD,2.1677157723930924e-06,2.1677157723930924e-06,1.1245015373853745e-06,1.3839395784381026e-06,5m,5535481488.747601
2024-11-05 16:55:00,57VCXi7uAgypyEwDJM3GKp955kBwJrpwbp8xcoVvbjLD,4.170336034069887e-06,4.170336034069887e-06,1.8679933782506807e-06,2.1677157723930924e-06,5m,1897051032.6565816
2024-11-05 17:00:00,57VCXi7uAgypyEwDJM3GKp955kBwJrpwbp8xcoVvbjLD,6.657573841523232e-06,6.958717254513256e-06,4.142283670742703e-06,4.170336034069887e-06,5m,1519894006.8795989
2024-11-05 17:05:00,57VCXi7uAgypyEwDJM3GKp955kBwJrpwbp8xcoVvbjLD,8.106438162601491e-06,1.0431624280201866e-05,5.32488892033555e-06,6.657573841523232e-06,5m,2236379396.6777573
2024-11-05 17:10:00,57VCXi7uAgypyEwDJM3GKp955kBwJrpwbp8xcoVvbjLD,6.676215435648025e-06,9.051920106644687e-06,5.800918685203329e-06,8.106438162601491e-06,5m,2311311004.409485
2024-11-05 17:15:00,57VCXi7uAgypyEwDJM3GKp955kBwJrpwbp8xcoVvbjLD,7.450328724212166e-06,7.946359458766651e-06,6.412846093678219e-06,6.676215435648025e-06,5m,597475367.6398327
2024-11-05 17:20:00,57VCXi7uAgypyEwDJM3GKp955kBwJrpwbp8xcoVvbjLD,7.552714188118521e-06,9.50769275735184e-06,5.7264014842131955e-06,7.450328724212166e-06,5m,1676940231.0793848
2024-11-05 17:25:00,57VCXi7uAgypyEwDJM3GKp955kBwJrpwbp8xcoVvbjLD,1.0495031847783652e-05,1.2462443755792724e-05,6.328211234672027e-06,7.552714188118521e-06,5m,3100288619.526811
2024-11-05 17:30:00,57VCXi7uAgypyEwDJM3GKp955kBwJrpwbp8xcoVvbjLD,1.3187217832538785e-05,1.3187217832538785e-05,9.201345116634684e-06,1.0495031847783652e-05,5m,1408469003.0702083
