datetime,address,c,h,l,o,type,v
2024-11-04 22:00:00,GFRxeCdpomjJaYQEuwPDAPghyBD3H9zqnWY2HJPjpump,0.00013816218050561745,0.0004485479447254783,8.116402933304151e-05,8.320325679739178e-05,1H,902622108.4676659
2024-11-04 23:00:00,GFRxeCdpomjJaYQEuwPDAPghyBD3H9zqnWY2HJPjpump,0.000147553146928305,0.0001710906435125823,5.372657822341645e-05,0.00013816218050561745,1H,1569180778.3563406
2024-11-05 00:00:00,GFRxeCdpomjJaYQEuwPDAPghyBD3H9zqnWY2HJPjpump,6.127711615791661e-06,0.00019731987832836363,6.127711615791661e-06,0.000147553146928305,1H,1304777443.0405517
2024-11-05 01:00:00,GFRxeCdpomjJaYQEuwPDAPghyBD3H9zqnWY2HJPjpump,1.0004487430411191e-05,1.139796238387921e-05,5.82345469990274e-06,6.127711615791661e-06,1H,775036393.181723
2024-11-05 02:00:00,GFRxeCdpomjJaYQEuwPDAPghyBD3H9zqnWY2HJPjpump,8.22431646222386e-06,1.0129978678408806e-05,7.862649238551365e-06,1.0004487430411191e-05,1H,208543338.38178596
2024-11-05 03:00:00,GFRxeCdpomjJaYQEuwPDAPghyBD3H9zqnWY2HJPjpump,8.203623418160466e-06,8.261274201323317e-06,8.092718021555635e-06,8.22431646222386e-06,1H,11173761.215424
2024-11-05 04:00:00,GFRxeCdpomjJaYQEuwPDAPghyBD3H9zqnWY2HJPjpump,8.191673990661316e-06,8.212248141546307e-06,8.191673990661316e-06,8.203623418160466e-06,1H,1647634.3637110002
2024-11-05 05:00:00,GFRxeCdpomjJaYQEuwPDAPghyBD3H9zqnWY2HJPjpump,8.030926389482848e-06,8.191673990661316e-06,8.001711980558628e-06,8.191673990661316e-06,1H,7261750.7094870005
2024-11-05 06:00:00,GFRxeCdpomjJaYQEuwPDAPghyBD3H9zqnWY2HJPjpump,7.5863936212822885e-06,8.493377431674254e-06,7.5863936212822885e-06,8.030926389482848e-06,1H,51322861.728116006
2024-11-05 07:00:00,GFRxeCdpomjJaYQEuwPDAPghyBD3H9zqnWY2HJPjpump,7.238505906886285e-06,7.622488446440029e-06,7.238505906886285e-06,7.5863936212822885e-06,1H,26576749.236566
2024-11-05 08:00:00,GFRxeCdpomjJaYQEuwPDAPghyBD3H9zqnWY2HJPjpump,7.074673094040416e-06,7.238505906886285e-06,7.074673094040416e-06,7.238505906886285e-06,1H,11062447.448536001
2024-11-05 09:00:00,GFRxeCdpomjJaYQEuwPDAPghyBD3H9zqnWY2HJPjpump,7.004387522323492e-06,7.075575149297114e-06,7.004387522323492e-06,7.074673094040416e-06,1H,1694755.12791
2024-11-05 10:00:00,GFRxeCdpomjJaYQEuwPDAPghyBD3H9zqnWY2HJPjpump,6.094119074959454e-06,7.004387522323492e-06,6.0461141580691225e-06,7.004387522323492e-06,1H,67204211.179455
2024-11-05 11:00:00,GFRxeCdpomjJaYQEuwPDAPghyBD3H9zqnWY2HJPjpump,6.072475075711149e-06,6.130007386711893e-06,5.989552957762868e-06,6.094119074959454e-06,1H,22684979.066484995
2024-11-05 12:00:00,GFRxeCdpomjJaYQEuwPDAPghyBD3H9zqnWY2HJPjpump,1.2882711278908039e-05,1.2882711278908039e-05,5.84685464955694e-06,6.072475075711149e-06,1H,262801580.88210803
2024-11-05 13:00:00,GFRxeCdpomjJaYQEuwPDAPghyBD3H9zqnWY2HJPjpump,9.261404009749265e-06,1.3961832073410418e-05,8.135929962663956e-06,1.2882711278908039e-05,1H,359786858.42397904
2024-11-05 14:00:00,GFRxeCdpomjJaYQEuwPDAPghyBD3H9zqnWY2HJPjpump,1.3085706140910653e-05,1.512139889320239e-05,9.261404009749265e-06,9.261404009749265e-06,1H,350772221.17935807
2024-11-05 15:00:00,GFRxeCdpomjJaYQEuwPDAPghyBD3H9zqnWY2HJPjpump,1.3410257848520964e-05,1.608374791685721e-05,1.3085706140910653e-05,1.3085706140910653e-05,1H,97256912.036066
2024-11-05 16:00:00,GFRxeCdpomjJaYQEuwPDAPghyBD3H9zqnWY2HJPjpump,2.165047021234222e-05,2.165047021234222e-05,1.338447428578823e-05,1.3410257848520964e-05,1H,305754713.49716806
2024-11-05 17:00:00,GFRxeCdpomjJaYQEuwPDAPghyBD3H9zqnWY2HJPjpump,4.254442359763885e-05,6.22361423970379e-05,2.165047021234222e-05,2.165047021234222e-05,1H,579409559.19913
2024-11-05 18:00:00,GFRxeCdpomjJaYQEuwPDAPghyBD3H9zqnWY2HJPjpump,4.79126941052681e-05,5.837066800919259e-05,3.743688193685865e-05,4.254442359763885e-05,1H,277221649.6131259
2024-11-05 19:00:00,GFRxeCdpomjJaYQEuwPDAPghyBD3H9zqnWY2HJPjpump,0.00015689650185394643,0.0002709315795139868,4.554629080083631e-05,4.79126941052681e-05,1H,1537304123.061798
2024-11-05 20:00:00,GFRxeCdpomjJaYQEuwPDAPghyBD3H9zqnWY2HJPjpump,0.00010586282353311546,0.00017468186917839315,7.377966704934423e-05,0.00015689650185394643,1H,761183056.0107458
2024-11-05 21:00:00,GFRxeCdpomjJaYQEuwPDAPghyBD3H9zqnWY2HJPjpump,9.438653636736186e-05,0.0002593976224522511,7.976425475613575e-05,0.00010586282353311546,1H,498848194.92390114
2024-11-05 22:00:00,GFRxeCdpomjJaYQEuwPDAPghyBD3H9zqnWY2HJPjpump,6.487978206563559e-05,9.672154392334019e-05,5.4558661765711994e-05,9.438653636736186e-05,1H,213145289.375546
2024-11-05 23:00:00,GFRxeCdpomjJaYQEuwPDAPghyBD3H9zqnWY2HJPjpump,0.00012714034987182986,0.00017450243744827025,6.22828333523035e-05,6.487978206563559e-05,1H,362882864.2293601
2024-11-06 00:00:00,GFRxeCdpomjJaYQEuwPDAPghyBD3H9zqnWY2HJPjpump,0.00012171695091010744,0.00018960806205888417,0.00011070830455343955,0.00012714034987182986,1H,205984940.761367
2024-11-06 01:00:00,GFRxeCdpomjJaYQEuwPDAPghyBD3H9zqnWY2HJPjpump,8.606483078684222e-05,0.00012171695091010744,8.53378319723782e-05,0.00012171695091010744,1H,92375007.90880598
2024-11-06 02:00:00,GFRxeCdpomjJaYQEuwPDAPghyBD3H9zqnWY2HJPjpump,0.00011099999595505252,0.00011985284423523106,7.909724598355108e-05,8.606483078684222e-05,1H,76859689.01793098
2024-11-06 03:00:00,GFRxeCdpomjJaYQEuwPDAPghyBD3H9zqnWY2HJPjpump,0.00010736382660013012,0.00020409881867831185,0.0001056165514922303,0.00011099999595505252,1H,256118934.73252195
2024-11-06 04:00:00,GFRxeCdpomjJaYQEuwPDAPghyBD3H9zqnWY2HJPjpump,9.607693636458332e-05,0.00010736382660013012,8.054542338799768e-05,0.00010736382660013012,1H,128060644.03511895
2024-11-06 05:00:00,GFRxeCdpomjJaYQEuwPDAPghyBD3H9zqnWY2HJPjpump,9.759765772580757e-05,0.00012860699627278033,8.932023648796405e-05,9.607693636458332e-05,1H,167599511.7545771
2024-11-06 06:00:00,GFRxeCdpomjJaYQEuwPDAPghyBD3H9zqnWY2HJPjpump,9.824440225942556e-05,0.00010367303591860862,9.746283875771593e-05,9.759765772580757e-05,1H,28311533.922481004
2024-11-06 07:00:00,GFRxeCdpomjJaYQEuwPDAPghyBD3H9zqnWY2HJPjpump,8.426196102104598e-05,0.00010426703772561289,8.426196102104598e-05,9.824440225942556e-05,1H,29124430.988355998
2024-11-06 08:00:00,GFRxeCdpomjJaYQEuwPDAPghyBD3H9zqnWY2HJPjpump,6.443626602815795e-05,8.99691754357405e-05,6.187418382423013e-05,8.426196102104598e-05,1H,77306618.47350599
2024-11-06 09:00:00,GFRxeCdpomjJaYQEuwPDAPghyBD3H9zqnWY2HJPjpump,5.498691979498323e-05,6.525954647249287e-05,4.534789512826476e-05,6.443626602815795e-05,1H,118475837.011328
2024-11-06 10:00:00,GFRxeCdpomjJaYQEuwPDAPghyBD3H9zqnWY2HJPjpump,6.562995192594899e-05,6.702248218224064e-05,5.498691979498323e-05,5.498691979498323e-05,1H,50553499.908108
2024-11-06 11:00:00,GFRxeCdpomjJaYQEuwPDAPghyBD3H9zqnWY2HJPjpump,0.00018335698276166604,0.00018843105408822747,6.562995192594899e-05,6.562995192594899e-05,1H,248983120.57754695
2024-11-06 12:00:00,GFRxeCdpomjJaYQEuwPDAPghyBD3H9zqnWY2HJPjpump,0.0001563500912903137,0.0002128606786371239,0.00015096802892107636,0.00018335698276166604,1H,213257846.26085192
2024-11-06 13:00:00,GFRxeCdpomjJaYQEuwPDAPghyBD3H9zqnWY2HJPjpump,0.00013537341037543157,0.00018663661475662888,0.00012130981165657354,0.0001563500912903137,1H,89887794.95679098
2024-11-06 14:00:00,GFRxeCdpomjJaYQEuwPDAPghyBD3H9zqnWY2HJPjpump,0.00012224889911955787,0.00013644395522925177,0.00011430494601800008,0.00013537341037543157,1H,31626199.501412004
2024-11-06 15:00:00,GFRxeCdpomjJaYQEuwPDAPghyBD3H9zqnWY2HJPjpump,0.0001358276454624286,0.00013895469093609675,0.00012224889911955787,0.00012224889911955787,1H,24934436.106666993
