datetime,address,c,h,l,o,type,v
2024-11-08 21:20:00,BwKdMSPtJJuZG8Tkmon21ZMV437KdbRn3NPrkjCGZCbR,1.7227664909077077e-05,1.7227664909077077e-05,1.6812773344490616e-05,1.6881830503778633e-05,5m,46232902.79616213
2024-11-08 21:25:00,BwKdMSPtJJuZG8Tkmon21ZMV437KdbRn3NPrkjCGZCbR,1.7717414193742604e-05,1.7717414193742604e-05,1.7227664909077077e-05,1.7227664909077077e-05,5m,69429217.38450053
2024-11-08 21:30:00,BwKdMSPtJJuZG8Tkmon21ZMV437KdbRn3NPrkjCGZCbR,1.816631994431968e-05,1.8235641927253267e-05,1.7717414193742604e-05,1.7717414193742604e-05,5m,65642953.57767697
2024-11-08 21:35:00,BwKdMSPtJJuZG8Tkmon21ZMV437KdbRn3NPrkjCGZCbR,1.881354781805676e-05,1.881354781805676e-05,1.816631994431968e-05,1.816631994431968e-05,5m,70072568.66672246
2024-11-08 21:40:00,BwKdMSPtJJuZG8Tkmon21ZMV437KdbRn3NPrkjCGZCbR,1.9231103902872938e-05,1.9231103902872938e-05,1.881354781805676e-05,1.881354781805676e-05,5m,55232595.94170153
2024-11-08 21:45:00,BwKdMSPtJJuZG8Tkmon21ZMV437KdbRn3NPrkjCGZCbR,2.0030178487838282e-05,2.0030178487838282e-05,1.9231103902872938e-05,1.9231103902872938e-05,5m,87409943.95258427
2024-11-08 21:50:00,BwKdMSPtJJuZG8Tkmon21ZMV437KdbRn3NPrkjCGZCbR,2.083164860442639e-05,2.083164860442639e-05,2.0030178487838282e-05,2.0030178487838282e-05,5m,84347301.57652558
2024-11-08 21:55:00,BwKdMSPtJJuZG8Tkmon21ZMV437KdbRn3NPrkjCGZCbR,2.173089155509253e-05,2.173089155509253e-05,2.083164860442639e-05,2.083164860442639e-05,5m,79728030.12820208
2024-11-08 22:00:00,BwKdMSPtJJuZG8Tkmon21ZMV437KdbRn3NPrkjCGZCbR,2.241432215520215e-05,2.241432215520215e-05,2.173089155509253e-05,2.173089155509253e-05,5m,62699290.85709693
2024-11-08 22:05:00,BwKdMSPtJJuZG8Tkmon21ZMV437KdbRn3NPrkjCGZCbR,2.3157138478655116e-05,2.3157138478655116e-05,2.241432215520215e-05,2.241432215520215e-05,5m,66439677.25839486
