datetime,address,c,h,l,o,type,v
2024-11-10 09:24:00,47ixSEoXn9KUnZ9FjCD78NSWDd4RxKUjcwSSYMSnpump,6.418670888702757e-05,7.599073165295393e-05,4.904344191853142e-05,7.599073165295393e-05,1m,258125485.23952705
2024-11-10 09:25:00,47ixSEoXn9KUnZ9FjCD78NSWDd4RxKUjcwSSYMSnpump,5.8071914144633194e-05,6.752714980345342e-05,4.6286865209907256e-05,6.418670888702757e-05,1m,191679188.685678
2024-11-10 09:26:00,47ixSEoXn9KUnZ9FjCD78NSWDd4RxKUjcwSSYMSnpump,4.446966209170915e-05,6.892622794112391e-05,2.7676749612000843e-05,5.8071914144633194e-05,1m,624840585.577288
2024-11-10 09:27:00,47ixSEoXn9KUnZ9FjCD78NSWDd4RxKUjcwSSYMSnpump,6.83775634254144e-05,6.960367092915795e-05,4.4168019039412755e-05,4.446966209170915e-05,1m,141308587.33406797
2024-11-10 09:28:00,47ixSEoXn9KUnZ9FjCD78NSWDd4RxKUjcwSSYMSnpump,9.059957903945133e-05,9.124431951310531e-05,6.83775634254144e-05,6.83775634254144e-05,1m,120743320.14139205
2024-11-10 09:29:00,47ixSEoXn9KUnZ9FjCD78NSWDd4RxKUjcwSSYMSnpump,0.00010887296037852926,0.00014440395489353475,8.202366037070107e-05,9.059957903945133e-05,1m,148996895.271875
2024-11-10 09:30:00,47ixSEoXn9KUnZ9FjCD78NSWDd4RxKUjcwSSYMSnpump,0.0001351060587770575,0.00016096767844179106,0.00010887296037852926,0.00010887296037852926,1m,149704026.57855403
2024-11-10 09:31:00,47ixSEoXn9KUnZ9FjCD78NSWDd4RxKUjcwSSYMSnpump,0.00016149658896021533,0.00018328073681059905,0.0001351060587770575,0.0001351060587770575,1m,129762333.08642504
2024-11-10 09:32:00,47ixSEoXn9KUnZ9FjCD78NSWDd4RxKUjcwSSYMSnpump,0.00013600853787688966,0.00017699555032273207,0.00011344289907725987,0.00016149658896021533,1m,104521360.56417301
2024-11-10 09:33:00,47ixSEoXn9KUnZ9FjCD78NSWDd4RxKUjcwSSYMSnpump,0.0001838524692992666,0.00018634648503512382,0.00013600853787688966,0.00013600853787688966,1m,82164687.851045
2024-11-10 09:34:00,47ixSEoXn9KUnZ9FjCD78NSWDd4RxKUjcwSSYMSnpump,0.00016589776320097017,0.00026594780111028184,0.00015632122476992921,0.0001838524692992666,1m,128208644.83358802
