datetime,address,c,h,l,o,type,v
2024-11-09 21:00:00,B2Z1ERRmfYCrSdwMG9J3gQACpNFUWWqAtsZWTJqjpump,0.00013029433349689572,0.00019793374118200636,6.571265246654199e-05,7.571646260538024e-05,1H,1740990058.128231
2024-11-09 22:00:00,B2Z1ERRmfYCrSdwMG9J3gQACpNFUWWqAtsZWTJqjpump,0.00011560466723614504,0.00024161754732420016,8.653107020956225e-05,0.00013029433349689572,1H,1122617618.428758
2024-11-09 23:00:00,B2Z1ERRmfYCrSdwMG9J3gQACpNFUWWqAtsZWTJqjpump,0.00011106039419716,0.0002702667540830308,8.554887861392475e-05,0.00011560466723614504,1H,593175008.1186883
2024-11-10 00:00:00,B2Z1ERRmfYCrSdwMG9J3gQACpNFUWWqAtsZWTJqjpump,0.00012985800897433227,0.0001622058965886714,0.0001075677840098601,0.00011106039419716,1H,298805442.95270014
2024-11-10 01:00:00,B2Z1ERRmfYCrSdwMG9J3gQACpNFUWWqAtsZWTJqjpump,0.0001643725228047062,0.0001688819061241615,0.00011181731658602022,0.00012985800897433227,1H,158929103.610068
2024-11-10 02:00:00,B2Z1ERRmfYCrSdwMG9J3gQACpNFUWWqAtsZWTJqjpump,0.00014251324943009714,0.0002287767119279025,0.00014063445378998069,0.0001643725228047062,1H,207806148.7170309
2024-11-10 03:00:00,B2Z1ERRmfYCrSdwMG9J3gQACpNFUWWqAtsZWTJqjpump,0.0002037778164893954,0.0002427964738161254,0.00013138386984425145,0.00014251324943009714,1H,246106662.59622896
2024-11-10 04:00:00,B2Z1ERRmfYCrSdwMG9J3gQACpNFUWWqAtsZWTJqjpump,0.0002935746855863579,0.0004238781231098289,0.0001986086428447959,0.0002037778164893954,1H,270712155.22593635
2024-11-10 05:00:00,B2Z1ERRmfYCrSdwMG9J3gQACpNFUWWqAtsZWTJqjpump,0.00021934435088730031,0.00029498613822570715,0.00019376648026356001,0.0002935746855863579,1H,117737618.23820001
2024-11-10 06:00:00,B2Z1ERRmfYCrSdwMG9J3gQACpNFUWWqAtsZWTJqjpump,0.00016049595868709312,0.00023811060579551955,0.00014654665715937157,0.00021934435088730031,1H,125945034.34044102
2024-11-10 07:00:00,B2Z1ERRmfYCrSdwMG9J3gQACpNFUWWqAtsZWTJqjpump,0.0001278585113692349,0.00016830696228479477,0.0001267866303138418,0.00016049595868709312,1H,119190065.179792
2024-11-10 08:00:00,B2Z1ERRmfYCrSdwMG9J3gQACpNFUWWqAtsZWTJqjpump,0.00014707808355560913,0.0001569422113384476,0.00011911578853902097,0.0001278585113692349,1H,113057167.43889092
2024-11-10 09:00:00,B2Z1ERRmfYCrSdwMG9J3gQACpNFUWWqAtsZWTJqjpump,0.00014051981963766316,0.00016715913488895,0.0001302115461401127,0.00014707808355560913,1H,103068716.55513102
2024-11-10 10:00:00,B2Z1ERRmfYCrSdwMG9J3gQACpNFUWWqAtsZWTJqjpump,0.000137752634569835,0.0001835022136863753,0.0001355837689960406,0.00014051981963766316,1H,107762943.19434997
2024-11-10 11:00:00,B2Z1ERRmfYCrSdwMG9J3gQACpNFUWWqAtsZWTJqjpump,0.00013241792540468823,0.00023780155745364582,0.00011457633422499558,0.000137752634569835,1H,199091003.35655895
2024-11-10 12:00:00,B2Z1ERRmfYCrSdwMG9J3gQACpNFUWWqAtsZWTJqjpump,0.00017281152129465174,0.00020266572187724427,0.0001230337542744089,0.00013241792540468823,1H,124610558.92765094
2024-11-10 13:00:00,B2Z1ERRmfYCrSdwMG9J3gQACpNFUWWqAtsZWTJqjpump,0.00015223374975076182,0.00019449650633103128,0.00014876094199448887,0.00017281152129465174,1H,113149710.85066001
2024-11-10 14:00:00,B2Z1ERRmfYCrSdwMG9J3gQACpNFUWWqAtsZWTJqjpump,0.0002038738593712104,0.00021821604745110714,0.00015167956236289987,0.00015223374975076182,1H,114790925.70375395
2024-11-10 15:00:00,B2Z1ERRmfYCrSdwMG9J3gQACpNFUWWqAtsZWTJqjpump,0.0002607276044921593,0.00027284148603711015,0.00016730915490109207,0.0002038738593712104,1H,235134628.243617
2024-11-10 16:00:00,B2Z1ERRmfYCrSdwMG9J3gQACpNFUWWqAtsZWTJqjpump,0.0002079606610107124,0.00028963612331664,0.00019034371741889747,0.0002607276044921593,1H,115213704.20126
2024-11-10 17:00:00,B2Z1ERRmfYCrSdwMG9J3gQACpNFUWWqAtsZWTJqjpump,0.00017024195567569568,0.00020894873232259957,0.00015465789726584693,0.0002079606610107124,1H,134826478.07679
2024-11-10 18:00:00,B2Z1ERRmfYCrSdwMG9J3gQACpNFUWWqAtsZWTJqjpump,0.00018984837369169188,0.00025217925712772986,0.00016554320348362043,0.00017024195567569568,1H,119488253.19256695
2024-11-10 19:00:00,B2Z1ERRmfYCrSdwMG9J3gQACpNFUWWqAtsZWTJqjpump,0.00016658964162167582,0.00019821521082852227,0.00016658964162167582,0.00018984837369169188,1H,58616175.809874
2024-11-10 20:00:00,B2Z1ERRmfYCrSdwMG9J3gQACpNFUWWqAtsZWTJqjpump,0.00023405037940407112,0.0002626749333634559,0.00015398927209031446,0.00016658964162167582,1H,144841980.27073994
2024-11-10 21:00:00,B2Z1ERRmfYCrSdwMG9J3gQACpNFUWWqAtsZWTJqjpump,0.0001913535660616437,0.00023855610608000525,0.00016534235191016628,0.00023405037940407112,1H,112448541.58583395
2024-11-10 22:00:00,B2Z1ERRmfYCrSdwMG9J3gQACpNFUWWqAtsZWTJqjpump,0.00020317754562703332,0.0002084640551518514,0.00018603761930183752,0.0001913535660616437,1H,14296171.423463002
