datetime,address,c,h,l,o,type,v
2024-11-10 23:40:00,4hhNszwQWC4HgnAV3Z6R8e7EmE2tiQYF2ePiWpxapump,0.00011781635106016008,0.00020015909508971742,7.15109258081616e-05,8.024724734548061e-05,5m,1145846906.7530432
2024-11-10 23:45:00,4hhNszwQWC4HgnAV3Z6R8e7EmE2tiQYF2ePiWpxapump,3.1057284752361045e-05,0.0001195286144858164,2.9457027379184778e-05,0.00011781635106016008,5m,1753837892.0736868
2024-11-10 23:50:00,4hhNszwQWC4HgnAV3Z6R8e7EmE2tiQYF2ePiWpxapump,3.859475902194787e-05,4.834553800307808e-05,2.8433193970202114e-05,3.1057284752361045e-05,5m,658531435.4843631
2024-11-10 23:55:00,4hhNszwQWC4HgnAV3Z6R8e7EmE2tiQYF2ePiWpxapump,6.369878884671894e-05,9.336015260064877e-05,3.859475902194787e-05,3.859475902194787e-05,5m,1199497646.226046
2024-11-11 00:00:00,4hhNszwQWC4HgnAV3Z6R8e7EmE2tiQYF2ePiWpxapump,0.00010755302845974197,0.00011182440395332339,6.369878884671894e-05,6.369878884671894e-05,5m,194641172.66547891
2024-11-11 00:05:00,4hhNszwQWC4HgnAV3Z6R8e7EmE2tiQYF2ePiWpxapump,0.00015288519826076478,0.00026980780576986397,0.00010313420289684935,0.00010755302845974197,5m,537509289.7280189
2024-11-11 00:10:00,4hhNszwQWC4HgnAV3Z6R8e7EmE2tiQYF2ePiWpxapump,0.00030680525807520666,0.0003488052593111357,0.00015276864143755665,0.00015288519826076478,5m,492509538.6763874
2024-11-11 00:15:00,4hhNszwQWC4HgnAV3Z6R8e7EmE2tiQYF2ePiWpxapump,0.0003214190866699725,0.00040749186657591894,0.0002344970118360981,0.00030680525807520666,5m,287385646.2834439
2024-11-11 00:20:00,4hhNszwQWC4HgnAV3Z6R8e7EmE2tiQYF2ePiWpxapump,0.0005520136371819989,0.0007232536236461336,0.00030515847674793614,0.0003214190866699725,5m,458657607.7915158
2024-11-11 00:25:00,4hhNszwQWC4HgnAV3Z6R8e7EmE2tiQYF2ePiWpxapump,0.0009401796552056744,0.0010161242508756557,0.00046724478311926764,0.0005520136371819989,5m,367756171.9266164
2024-11-11 00:30:00,4hhNszwQWC4HgnAV3Z6R8e7EmE2tiQYF2ePiWpxapump,0.000991287769294407,0.0015019245253546593,0.0007254832834141173,0.0009401796552056744,5m,502609426.5377992
2024-11-11 00:35:00,4hhNszwQWC4HgnAV3Z6R8e7EmE2tiQYF2ePiWpxapump,0.0006299607756042744,0.0011473946928475425,0.0005961872575996563,0.000991287769294407,5m,314735043.6642562
2024-11-11 00:40:00,4hhNszwQWC4HgnAV3Z6R8e7EmE2tiQYF2ePiWpxapump,0.0006916751754312012,0.0010974736193595787,0.0005528566802703431,0.0006299607756042744,5m,314529466.99962974
2024-11-11 00:45:00,4hhNszwQWC4HgnAV3Z6R8e7EmE2tiQYF2ePiWpxapump,0.0008873833599728598,0.0010856915343240537,0.0006388064703874188,0.0006916751754312012,5m,206905733.28696987
2024-11-11 00:50:00,4hhNszwQWC4HgnAV3Z6R8e7EmE2tiQYF2ePiWpxapump,0.0009746533223693088,0.0012838214103938113,0.0008074809486501404,0.0008873833599728598,5m,152140920.5269391
2024-11-11 00:55:00,4hhNszwQWC4HgnAV3Z6R8e7EmE2tiQYF2ePiWpxapump,0.0010358625183716577,0.0018921936522672482,0.0008013864077409122,0.0009746533223693088,5m,164273999.79430494
2024-11-11 01:00:00,4hhNszwQWC4HgnAV3Z6R8e7EmE2tiQYF2ePiWpxapump,0.001661760443799025,0.0018085252399876186,0.0010342118337091457,0.0010358625183716577,5m,155618932.35631597
2024-11-11 01:05:00,4hhNszwQWC4HgnAV3Z6R8e7EmE2tiQYF2ePiWpxapump,0.001651751058421096,0.002418622021948206,0.001399431982139801,0.001661760443799025,5m,221268275.9621534
2024-11-11 01:10:00,4hhNszwQWC4HgnAV3Z6R8e7EmE2tiQYF2ePiWpxapump,0.001153911739598527,0.001651751058421096,0.0011020494784676296,0.001651751058421096,5m,194272215.71142283
