datetime,address,c,h,l,o,type,v
2024-11-11 16:30:00,5rXjhN2sYsX4fGQSVHYPWXSpiPHcbKLwYVmcWUn4pump,9.635731013556119e-05,0.00010282278695891103,9.292316832548408e-05,9.806102328267983e-05,5m,30696666.022813
2024-11-11 16:35:00,5rXjhN2sYsX4fGQSVHYPWXSpiPHcbKLwYVmcWUn4pump,7.564842490232317e-05,0.00010198953917230597,7.564842490232317e-05,9.635731013556119e-05,5m,76876742.93213698
2024-11-11 16:40:00,5rXjhN2sYsX4fGQSVHYPWXSpiPHcbKLwYVmcWUn4pump,7.817004908275104e-05,8.250759458875032e-05,7.547287466662905e-05,7.564842490232317e-05,5m,15640915.060705002
2024-11-11 16:45:00,5rXjhN2sYsX4fGQSVHYPWXSpiPHcbKLwYVmcWUn4pump,6.784848433097824e-05,8.842571944798012e-05,6.784848433097824e-05,7.817004908275104e-05,5m,42497459.012044005
2024-11-11 16:50:00,5rXjhN2sYsX4fGQSVHYPWXSpiPHcbKLwYVmcWUn4pump,6.398445364455338e-05,6.784848433097824e-05,6.35243662994802e-05,6.784848433097824e-05,5m,8990906.882483
2024-11-11 16:55:00,5rXjhN2sYsX4fGQSVHYPWXSpiPHcbKLwYVmcWUn4pump,6.70069762743692e-05,6.70069762743692e-05,6.398445364455338e-05,6.398445364455338e-05,5m,5316083.969719
2024-11-11 17:00:00,5rXjhN2sYsX4fGQSVHYPWXSpiPHcbKLwYVmcWUn4pump,7.199624820196375e-05,7.199624820196375e-05,6.70069762743692e-05,6.70069762743692e-05,5m,15171705.409089
2024-11-11 17:05:00,5rXjhN2sYsX4fGQSVHYPWXSpiPHcbKLwYVmcWUn4pump,7.687083228286185e-05,7.687083228286185e-05,7.199624820196375e-05,7.199624820196375e-05,5m,2194.192442
2024-11-11 17:10:00,5rXjhN2sYsX4fGQSVHYPWXSpiPHcbKLwYVmcWUn4pump,8.42020582541735e-05,8.42020582541735e-05,7.685071007037263e-05,7.687083228286185e-05,5m,10416608.133499999
2024-11-11 17:15:00,5rXjhN2sYsX4fGQSVHYPWXSpiPHcbKLwYVmcWUn4pump,8.528440824993579e-05,8.535692564228903e-05,8.08125642157802e-05,8.42020582541735e-05,5m,13409248.778571
2024-11-11 17:20:00,5rXjhN2sYsX4fGQSVHYPWXSpiPHcbKLwYVmcWUn4pump,9.523708649465096e-05,9.523708649465096e-05,8.528440824993579e-05,8.528440824993579e-05,5m,16996135.738117002
2024-11-11 17:25:00,5rXjhN2sYsX4fGQSVHYPWXSpiPHcbKLwYVmcWUn4pump,9.608386381299547e-05,0.0001030006452993439,9.523708649465096e-05,9.523708649465096e-05,5m,13145297.08257
2024-11-11 17:30:00,5rXjhN2sYsX4fGQSVHYPWXSpiPHcbKLwYVmcWUn4pump,7.282173258852737e-05,9.686861414633106e-05,7.282173258852737e-05,9.608386381299547e-05,5m,29884827.695643
2024-11-11 17:35:00,5rXjhN2sYsX4fGQSVHYPWXSpiPHcbKLwYVmcWUn4pump,8.002601868240489e-05,8.024335453253316e-05,7.282173258852737e-05,7.282173258852737e-05,5m,11364798.867976
2024-11-11 17:40:00,5rXjhN2sYsX4fGQSVHYPWXSpiPHcbKLwYVmcWUn4pump,7.497841025192878e-05,8.028782421691066e-05,7.497841025192878e-05,8.002601868240489e-05,5m,16512106.426502999
2024-11-11 17:45:00,5rXjhN2sYsX4fGQSVHYPWXSpiPHcbKLwYVmcWUn4pump,7.497841025192878e-05,7.497841025192878e-05,7.497841025192878e-05,7.497841025192878e-05,5m,0.0
2024-11-11 17:50:00,5rXjhN2sYsX4fGQSVHYPWXSpiPHcbKLwYVmcWUn4pump,7.349722381052746e-05,7.497841025192878e-05,7.173437711738613e-05,7.497841025192878e-05,5m,15270761.782219999
2024-11-11 17:55:00,5rXjhN2sYsX4fGQSVHYPWXSpiPHcbKLwYVmcWUn4pump,7.192399726758353e-05,7.374489883414213e-05,7.192399726758353e-05,7.349722381052746e-05,5m,2761693.062359
2024-11-11 18:00:00,5rXjhN2sYsX4fGQSVHYPWXSpiPHcbKLwYVmcWUn4pump,8.022880801211336e-05,8.022880801211336e-05,7.168458955563847e-05,7.192399726758353e-05,5m,13204379.112506002
2024-11-11 18:05:00,5rXjhN2sYsX4fGQSVHYPWXSpiPHcbKLwYVmcWUn4pump,8.521813785161737e-05,8.521813785161737e-05,8.022880801211336e-05,8.022880801211336e-05,5m,10277764.202923
2024-11-11 18:10:00,5rXjhN2sYsX4fGQSVHYPWXSpiPHcbKLwYVmcWUn4pump,8.521813785161737e-05,8.521813785161737e-05,8.521813785161737e-05,8.521813785161737e-05,5m,0.0
2024-11-11 18:15:00,5rXjhN2sYsX4fGQSVHYPWXSpiPHcbKLwYVmcWUn4pump,9.145767580972032e-05,9.219917253557841e-05,8.521813785161737e-05,8.521813785161737e-05,5m,5018075.17704
2024-11-11 18:20:00,5rXjhN2sYsX4fGQSVHYPWXSpiPHcbKLwYVmcWUn4pump,9.478205456127327e-05,9.478205456127327e-05,9.145767580972032e-05,9.145767580972032e-05,5m,4137409.4937690003
2024-11-11 18:25:00,5rXjhN2sYsX4fGQSVHYPWXSpiPHcbKLwYVmcWUn4pump,9.478205456127327e-05,9.478205456127327e-05,9.478205456127327e-05,9.478205456127327e-05,5m,0.0
2024-11-11 18:30:00,5rXjhN2sYsX4fGQSVHYPWXSpiPHcbKLwYVmcWUn4pump,9.478205456127327e-05,9.478205456127327e-05,9.478205456127327e-05,9.478205456127327e-05,5m,689.859201
2024-11-11 18:35:00,5rXjhN2sYsX4fGQSVHYPWXSpiPHcbKLwYVmcWUn4pump,7.348497977166502e-05,9.478205456127327e-05,7.348497977166502e-05,9.478205456127327e-05,5m,40571663.198169
2024-11-11 18:40:00,5rXjhN2sYsX4fGQSVHYPWXSpiPHcbKLwYVmcWUn4pump,8.50300114502007e-05,8.50300114502007e-05,7.348497977166502e-05,7.348497977166502e-05,5m,13252314.605044
2024-11-11 18:45:00,5rXjhN2sYsX4fGQSVHYPWXSpiPHcbKLwYVmcWUn4pump,8.50300114502007e-05,8.50300114502007e-05,8.50300114502007e-05,8.50300114502007e-05,5m,0.0
2024-11-11 18:50:00,5rXjhN2sYsX4fGQSVHYPWXSpiPHcbKLwYVmcWUn4pump,8.50300114502007e-05,8.50300114502007e-05,8.50300114502007e-05,8.50300114502007e-05,5m,0.0
2024-11-11 18:55:00,5rXjhN2sYsX4fGQSVHYPWXSpiPHcbKLwYVmcWUn4pump,8.50300114502007e-05,8.50300114502007e-05,8.50300114502007e-05,8.50300114502007e-05,5m,0.0
2024-11-11 19:00:00,5rXjhN2sYsX4fGQSVHYPWXSpiPHcbKLwYVmcWUn4pump,8.50300114502007e-05,8.50300114502007e-05,8.50300114502007e-05,8.50300114502007e-05,5m,0.0
2024-11-11 19:05:00,5rXjhN2sYsX4fGQSVHYPWXSpiPHcbKLwYVmcWUn4pump,8.50300114502007e-05,8.50300114502007e-05,8.50300114502007e-05,8.50300114502007e-05,5m,0.0
2024-11-11 19:10:00,5rXjhN2sYsX4fGQSVHYPWXSpiPHcbKLwYVmcWUn4pump,8.555316383167842e-05,8.555316383167842e-05,8.50300114502007e-05,8.50300114502007e-05,5m,2662363.158233
2024-11-11 19:15:00,5rXjhN2sYsX4fGQSVHYPWXSpiPHcbKLwYVmcWUn4pump,8.555316383167842e-05,8.555316383167842e-05,8.555316383167842e-05,8.555316383167842e-05,5m,0.0
