datetime,address,c,h,l,o,type,v
2024-11-11 05:03:00,bozdUuCb2kdipxES9PzsYHmDVrf7FBTSW3p1CFBpump,0.00010233353418619797,0.00010298200329815713,8.093294193274433e-05,8.32517871889029e-05,1m,67394849.35089101
2024-11-11 05:04:00,bozdUuCb2kdipxES9PzsYHmDVrf7FBTSW3p1CFBpump,9.73532337002064e-05,0.00010251111269018102,6.395844631387822e-05,0.00010233353418619797,1m,121374289.66446997
2024-11-11 05:05:00,bozdUuCb2kdipxES9PzsYHmDVrf7FBTSW3p1CFBpump,8.224261996817444e-05,0.00012533928284235305,8.194892219347058e-05,9.73532337002064e-05,1m,74652639.066377
2024-11-11 05:06:00,bozdUuCb2kdipxES9PzsYHmDVrf7FBTSW3p1CFBpump,7.751466319541143e-05,8.224261996817444e-05,7.727992490033016e-05,8.224261996817444e-05,1m,8866339.857166
2024-11-11 05:07:00,bozdUuCb2kdipxES9PzsYHmDVrf7FBTSW3p1CFBpump,8.86331685329121e-05,0.0001084759294560001,7.680606450768848e-05,7.751466319541143e-05,1m,63143083.440166995
2024-11-11 05:08:00,bozdUuCb2kdipxES9PzsYHmDVrf7FBTSW3p1CFBpump,0.00010358603550602815,0.00010358603550602815,8.86331685329121e-05,8.86331685329121e-05,1m,22485494.73534
2024-11-11 05:09:00,bozdUuCb2kdipxES9PzsYHmDVrf7FBTSW3p1CFBpump,9.759562046456146e-05,0.00010861945840744613,9.738733633829739e-05,0.00010358603550602815,1m,17816315.681658
2024-11-11 05:10:00,bozdUuCb2kdipxES9PzsYHmDVrf7FBTSW3p1CFBpump,8.440086260083986e-05,9.759562046456146e-05,8.397766906826395e-05,9.759562046456146e-05,1m,15828277.209511999
2024-11-11 05:11:00,bozdUuCb2kdipxES9PzsYHmDVrf7FBTSW3p1CFBpump,8.031849285821987e-05,8.576647201846254e-05,7.865041542862673e-05,8.440086260083986e-05,1m,12981399.549042
2024-11-11 05:12:00,bozdUuCb2kdipxES9PzsYHmDVrf7FBTSW3p1CFBpump,7.316785513396432e-05,8.197698095899763e-05,7.316785513396432e-05,8.031849285821987e-05,1m,16097338.870455999
2024-11-11 05:13:00,bozdUuCb2kdipxES9PzsYHmDVrf7FBTSW3p1CFBpump,6.0689873450277744e-05,7.316785513396432e-05,6.0689873450277744e-05,7.316785513396432e-05,1m,25029434.267462004
2024-11-11 05:14:00,bozdUuCb2kdipxES9PzsYHmDVrf7FBTSW3p1CFBpump,5.82546925473364e-05,6.0689873450277744e-05,5.634364052414229e-05,6.0689873450277744e-05,1m,11794222.059853
