datetime,address,c,h,l,o,type,v
2024-11-09 14:16:00,EL9FuDNNUyjjmQ4U8a1Aazjzq5sDz4krhvBjesAfpump,5.419696530673256e-05,9.116305307509978e-05,5.419696530673256e-05,7.994662982468933e-05,1m,371034189.3915461
2024-11-09 14:17:00,EL9FuDNNUyjjmQ4U8a1Aazjzq5sDz4krhvBjesAfpump,6.587103924617785e-05,7.479200926211753e-05,5.0555951253472625e-05,5.419696530673256e-05,1m,165872094.2806979
2024-11-09 14:18:00,EL9FuDNNUyjjmQ4U8a1Aazjzq5sDz4krhvBjesAfpump,7.895793186158353e-05,7.895793186158353e-05,6.027348049298967e-05,6.587103924617785e-05,1m,81211889.39939904
2024-11-09 14:19:00,EL9FuDNNUyjjmQ4U8a1Aazjzq5sDz4krhvBjesAfpump,7.158028579097822e-05,8.23970394657601e-05,6.928618714695836e-05,7.895793186158353e-05,1m,48450965.68521601
2024-11-09 14:20:00,EL9FuDNNUyjjmQ4U8a1Aazjzq5sDz4krhvBjesAfpump,6.336866514512219e-05,7.218922181591852e-05,5.8433237347309085e-05,7.158028579097822e-05,1m,72736187.71739098
2024-11-09 14:21:00,EL9FuDNNUyjjmQ4U8a1Aazjzq5sDz4krhvBjesAfpump,3.42659548784193e-05,6.601992686217088e-05,3.113698677720442e-05,6.336866514512219e-05,1m,229956802.03792006
2024-11-09 14:22:00,EL9FuDNNUyjjmQ4U8a1Aazjzq5sDz4krhvBjesAfpump,3.7664991850429503e-05,4.118155518490725e-05,3.42659548784193e-05,3.42659548784193e-05,1m,118101141.91306502
2024-11-09 14:23:00,EL9FuDNNUyjjmQ4U8a1Aazjzq5sDz4krhvBjesAfpump,3.644504563665333e-05,4.002200861092759e-05,3.422609467253772e-05,3.7664991850429503e-05,1m,51652965.82051501
2024-11-09 14:24:00,EL9FuDNNUyjjmQ4U8a1Aazjzq5sDz4krhvBjesAfpump,4.579524155201381e-05,5.016680763570771e-05,3.571664438411861e-05,3.644504563665333e-05,1m,121922186.59237
2024-11-09 14:25:00,EL9FuDNNUyjjmQ4U8a1Aazjzq5sDz4krhvBjesAfpump,4.081093403789738e-05,4.607775257870866e-05,3.911841800990056e-05,4.579524155201381e-05,1m,39277916.210874006
2024-11-09 14:26:00,EL9FuDNNUyjjmQ4U8a1Aazjzq5sDz4krhvBjesAfpump,4.210183861017591e-05,4.4278640206769974e-05,3.895868070437194e-05,4.081093403789738e-05,1m,55242226.148829
2024-11-09 14:27:00,EL9FuDNNUyjjmQ4U8a1Aazjzq5sDz4krhvBjesAfpump,4.5963533516939015e-05,4.7896595723644375e-05,4.195016000346129e-05,4.210183861017591e-05,1m,59336114.348508
2024-11-09 14:28:00,EL9FuDNNUyjjmQ4U8a1Aazjzq5sDz4krhvBjesAfpump,5.161406931539024e-05,5.161406931539024e-05,4.5963533516939015e-05,4.5963533516939015e-05,1m,26879399.412642
2024-11-09 14:29:00,EL9FuDNNUyjjmQ4U8a1Aazjzq5sDz4krhvBjesAfpump,4.236488951375554e-05,5.172462501768829e-05,3.91888189362825e-05,5.161406931539024e-05,1m,93133917.13177702
2024-11-09 14:30:00,EL9FuDNNUyjjmQ4U8a1Aazjzq5sDz4krhvBjesAfpump,4.323610754397211e-05,4.3798015546550724e-05,4.1074353018960574e-05,4.236488951375554e-05,1m,61208994.45057701
2024-11-09 14:31:00,EL9FuDNNUyjjmQ4U8a1Aazjzq5sDz4krhvBjesAfpump,4.6582800478592715e-05,5.3360773965768805e-05,4.22423667611934e-05,4.323610754397211e-05,1m,100809721.18459903
2024-11-09 14:32:00,EL9FuDNNUyjjmQ4U8a1Aazjzq5sDz4krhvBjesAfpump,5.863139058445358e-05,6.052954946549349e-05,4.6582800478592715e-05,4.6582800478592715e-05,1m,64422632.659425996
2024-11-09 14:33:00,EL9FuDNNUyjjmQ4U8a1Aazjzq5sDz4krhvBjesAfpump,5.908112093572042e-05,5.9949250561515314e-05,5.647945540726929e-05,5.863139058445358e-05,1m,20326195.044087
2024-11-09 14:34:00,EL9FuDNNUyjjmQ4U8a1Aazjzq5sDz4krhvBjesAfpump,7.393648664033597e-05,7.393648664033597e-05,5.908112093572042e-05,5.908112093572042e-05,1m,60101272.509146
2024-11-09 14:35:00,EL9FuDNNUyjjmQ4U8a1Aazjzq5sDz4krhvBjesAfpump,6.898614165704857e-05,7.628106328889017e-05,6.611739906490882e-05,7.393648664033597e-05,1m,43073427.16136601
2024-11-09 14:36:00,EL9FuDNNUyjjmQ4U8a1Aazjzq5sDz4krhvBjesAfpump,5.877757191609551e-05,7.182129714971521e-05,5.718990338656023e-05,6.898614165704857e-05,1m,62413315.321173996
2024-11-09 14:37:00,EL9FuDNNUyjjmQ4U8a1Aazjzq5sDz4krhvBjesAfpump,7.168883860881685e-05,7.211271474828793e-05,5.877757191609551e-05,5.877757191609551e-05,1m,37445192.848781
2024-11-09 14:38:00,EL9FuDNNUyjjmQ4U8a1Aazjzq5sDz4krhvBjesAfpump,7.812655347153955e-05,8.614434524690197e-05,6.55892953726457e-05,7.168883860881685e-05,1m,79039388.413031
2024-11-09 14:39:00,EL9FuDNNUyjjmQ4U8a1Aazjzq5sDz4krhvBjesAfpump,7.12791512854678e-05,7.812655347153955e-05,6.941249760872426e-05,7.812655347153955e-05,1m,11306239.9347
2024-11-09 14:40:00,EL9FuDNNUyjjmQ4U8a1Aazjzq5sDz4krhvBjesAfpump,5.9343364173451104e-05,7.12791512854678e-05,5.9343364173451104e-05,7.12791512854678e-05,1m,28742821.200119
2024-11-09 14:41:00,EL9FuDNNUyjjmQ4U8a1Aazjzq5sDz4krhvBjesAfpump,5.8254245705319624e-05,5.998044089128456e-05,4.768510497637353e-05,5.9343364173451104e-05,1m,108449512.104359
2024-11-09 14:42:00,EL9FuDNNUyjjmQ4U8a1Aazjzq5sDz4krhvBjesAfpump,7.274181700692015e-05,9.239830855720577e-05,5.8254245705319624e-05,5.8254245705319624e-05,1m,88438621.60376003
2024-11-09 14:43:00,EL9FuDNNUyjjmQ4U8a1Aazjzq5sDz4krhvBjesAfpump,7.073850957527432e-05,7.309747403497761e-05,6.813773609780641e-05,7.274181700692015e-05,1m,23404065.758032
2024-11-09 14:44:00,EL9FuDNNUyjjmQ4U8a1Aazjzq5sDz4krhvBjesAfpump,6.471398711653467e-05,7.073850957527432e-05,5.710018995474487e-05,7.073850957527432e-05,1m,58783490.748692
2024-11-09 14:45:00,EL9FuDNNUyjjmQ4U8a1Aazjzq5sDz4krhvBjesAfpump,8.217164962824963e-05,8.505866359909161e-05,6.471398711653467e-05,6.471398711653467e-05,1m,66596831.194067
2024-11-09 14:46:00,EL9FuDNNUyjjmQ4U8a1Aazjzq5sDz4krhvBjesAfpump,8.622754483805595e-05,8.891238577272808e-05,8.217164962824963e-05,8.217164962824963e-05,1m,38837299.772232
2024-11-09 14:47:00,EL9FuDNNUyjjmQ4U8a1Aazjzq5sDz4krhvBjesAfpump,8.896483727581866e-05,9.344753834905598e-05,8.570910038791959e-05,8.622754483805595e-05,1m,33556844.48327
2024-11-09 14:48:00,EL9FuDNNUyjjmQ4U8a1Aazjzq5sDz4krhvBjesAfpump,9.493403719518688e-05,9.730353376320218e-05,8.872202059183378e-05,8.896483727581866e-05,1m,14198321.376718
2024-11-09 14:49:00,EL9FuDNNUyjjmQ4U8a1Aazjzq5sDz4krhvBjesAfpump,8.473314148928495e-05,9.912043827937316e-05,8.473314148928495e-05,9.493403719518688e-05,1m,41905713.864044994
2024-11-09 14:50:00,EL9FuDNNUyjjmQ4U8a1Aazjzq5sDz4krhvBjesAfpump,9.288613109675623e-05,9.32128516181423e-05,8.473314148928495e-05,8.473314148928495e-05,1m,16776487.832103
2024-11-09 14:51:00,EL9FuDNNUyjjmQ4U8a1Aazjzq5sDz4krhvBjesAfpump,9.697038592128961e-05,9.811134341889712e-05,9.095577738093848e-05,9.288613109675623e-05,1m,29500726.064062007
2024-11-09 14:52:00,EL9FuDNNUyjjmQ4U8a1Aazjzq5sDz4krhvBjesAfpump,8.45921210696074e-05,9.805170737013118e-05,8.417587393021612e-05,9.697038592128961e-05,1m,55489768.292373
2024-11-09 14:53:00,EL9FuDNNUyjjmQ4U8a1Aazjzq5sDz4krhvBjesAfpump,8.687447277436846e-05,8.918767426303812e-05,6.818659703092989e-05,8.45921210696074e-05,1m,80049904.10560201
2024-11-09 14:54:00,EL9FuDNNUyjjmQ4U8a1Aazjzq5sDz4krhvBjesAfpump,8.515156814102131e-05,8.687447277436846e-05,8.397298346030052e-05,8.687447277436846e-05,1m,10599070.090189999
2024-11-09 14:55:00,EL9FuDNNUyjjmQ4U8a1Aazjzq5sDz4krhvBjesAfpump,7.536188879910005e-05,8.704876351676981e-05,7.536188879910005e-05,8.515156814102131e-05,1m,22437480.841458
2024-11-09 14:56:00,EL9FuDNNUyjjmQ4U8a1Aazjzq5sDz4krhvBjesAfpump,7.293832430694058e-05,7.536188879910005e-05,6.788584437060674e-05,7.536188879910005e-05,1m,25124534.728843004
2024-11-09 14:57:00,EL9FuDNNUyjjmQ4U8a1Aazjzq5sDz4krhvBjesAfpump,7.523249829153705e-05,7.612312354476462e-05,7.113628045150827e-05,7.293832430694058e-05,1m,20013889.216485
2024-11-09 14:58:00,EL9FuDNNUyjjmQ4U8a1Aazjzq5sDz4krhvBjesAfpump,6.900567602782703e-05,7.64711532128728e-05,6.900567602782703e-05,7.523249829153705e-05,1m,12848999.332457002
2024-11-09 14:59:00,EL9FuDNNUyjjmQ4U8a1Aazjzq5sDz4krhvBjesAfpump,5.330357798967014e-05,6.939418688614178e-05,5.330357798967014e-05,6.900567602782703e-05,1m,50371657.110566
2024-11-09 15:00:00,EL9FuDNNUyjjmQ4U8a1Aazjzq5sDz4krhvBjesAfpump,4.8198148186541144e-05,5.599225100472169e-05,4.8198148186541144e-05,5.330357798967014e-05,1m,74404179.62413299
2024-11-09 15:01:00,EL9FuDNNUyjjmQ4U8a1Aazjzq5sDz4krhvBjesAfpump,2.8174148075949768e-05,4.8198148186541144e-05,2.7365760464258584e-05,4.8198148186541144e-05,1m,135680502.9701
2024-11-09 15:02:00,EL9FuDNNUyjjmQ4U8a1Aazjzq5sDz4krhvBjesAfpump,3.037566081611496e-05,3.037566081611496e-05,2.71192747299291e-05,2.8174148075949768e-05,1m,93716129.72342
