datetime,address,c,h,l,o,type,v
2024-11-12 03:00:00,EQR4sK9baYxJ1fVUQzFaFwmNgGj7CLMzMHJVDPgWFWbK,1.4931762533188203e-06,2.890731056371969e-06,1.5355007925562642e-08,1.5355007925562642e-08,15m,140359579763.62473
2024-11-12 03:15:00,EQR4sK9baYxJ1fVUQzFaFwmNgGj7CLMzMHJVDPgWFWbK,1.4857061752616496e-06,1.5032988423790795e-06,1.4854999414947186e-06,1.4931762533188203e-06,15m,98706999.02561
2024-11-12 03:30:00,EQR4sK9baYxJ1fVUQzFaFwmNgGj7CLMzMHJVDPgWFWbK,1.3732595088361589e-06,1.4857061752616496e-06,1.3732595088361589e-06,1.4857061752616496e-06,15m,1242329334.582274
2024-11-12 03:45:00,EQR4sK9baYxJ1fVUQzFaFwmNgGj7CLMzMHJVDPgWFWbK,1.3732595088361589e-06,1.3732595088361589e-06,1.3732595088361589e-06,1.3732595088361589e-06,15m,0.0
2024-11-12 04:00:00,EQR4sK9baYxJ1fVUQzFaFwmNgGj7CLMzMHJVDPgWFWbK,1.3732595088361589e-06,1.3732595088361589e-06,1.3732595088361589e-06,1.3732595088361589e-06,15m,0.0
2024-11-12 04:15:00,EQR4sK9baYxJ1fVUQzFaFwmNgGj7CLMzMHJVDPgWFWbK,1.3732595088361589e-06,1.3732595088361589e-06,1.3732595088361589e-06,1.3732595088361589e-06,15m,0.0
2024-11-12 04:30:00,EQR4sK9baYxJ1fVUQzFaFwmNgGj7CLMzMHJVDPgWFWbK,1.3732595088361589e-06,1.3732595088361589e-06,1.3732595088361589e-06,1.3732595088361589e-06,15m,0.0
2024-11-12 04:45:00,EQR4sK9baYxJ1fVUQzFaFwmNgGj7CLMzMHJVDPgWFWbK,1.3732595088361589e-06,1.3732595088361589e-06,1.3732595088361589e-06,1.3732595088361589e-06,15m,0.0
2024-11-12 05:00:00,EQR4sK9baYxJ1fVUQzFaFwmNgGj7CLMzMHJVDPgWFWbK,1.3732595088361589e-06,1.3732595088361589e-06,1.3732595088361589e-06,1.3732595088361589e-06,15m,0.0
2024-11-12 05:15:00,EQR4sK9baYxJ1fVUQzFaFwmNgGj7CLMzMHJVDPgWFWbK,1.3732595088361589e-06,1.3732595088361589e-06,1.3732595088361589e-06,1.3732595088361589e-06,15m,0.0
2024-11-12 05:30:00,EQR4sK9baYxJ1fVUQzFaFwmNgGj7CLMzMHJVDPgWFWbK,1.3008319554035065e-06,1.3732595088361589e-06,1.2806276993161106e-06,1.3732595088361589e-06,15m,241271521.99532902
2024-11-12 05:45:00,EQR4sK9baYxJ1fVUQzFaFwmNgGj7CLMzMHJVDPgWFWbK,1.3008319554035065e-06,1.3008319554035065e-06,1.3008319554035065e-06,1.3008319554035065e-06,15m,0.0
2024-11-12 06:00:00,EQR4sK9baYxJ1fVUQzFaFwmNgGj7CLMzMHJVDPgWFWbK,1.3008319554035065e-06,1.3008319554035065e-06,1.3008319554035065e-06,1.3008319554035065e-06,15m,0.0
2024-11-12 06:15:00,EQR4sK9baYxJ1fVUQzFaFwmNgGj7CLMzMHJVDPgWFWbK,1.3008319554035065e-06,1.3008319554035065e-06,1.3008319554035065e-06,1.3008319554035065e-06,15m,0.0
