datetime,address,c,h,l,o,type,v
2024-11-12 19:45:00,81GRrR2oudSsxTajwxGsfqcW88FaC4Q1Xx4HKfGipump,4.492637593036118e-05,9.156568239881944e-05,3.5723217823206145e-05,8.51101392129987e-05,1m,414021386.44717807
2024-11-12 19:46:00,81GRrR2oudSsxTajwxGsfqcW88FaC4Q1Xx4HKfGipump,4.228178638392418e-05,5.605554612494482e-05,2.208365907326955e-05,4.492637593036118e-05,1m,824354910.6564428
2024-11-12 19:47:00,81GRrR2oudSsxTajwxGsfqcW88FaC4Q1Xx4HKfGipump,3.443169079432989e-05,5.338142475456164e-05,3.207764716874315e-05,4.228178638392418e-05,1m,353049920.73153406
2024-11-12 19:48:00,81GRrR2oudSsxTajwxGsfqcW88FaC4Q1Xx4HKfGipump,2.7268053984046112e-05,3.582238970835231e-05,2.1264067974674577e-05,3.443169079432989e-05,1m,220684554.09993798
2024-11-12 19:49:00,81GRrR2oudSsxTajwxGsfqcW88FaC4Q1Xx4HKfGipump,2.8338655265589993e-05,4.378493594632082e-05,2.6583639712062483e-05,2.7268053984046112e-05,1m,210168257.060878
2024-11-12 19:50:00,81GRrR2oudSsxTajwxGsfqcW88FaC4Q1Xx4HKfGipump,2.285034847068531e-05,2.8338655265589993e-05,1.988232436620057e-05,2.8338655265589993e-05,1m,115520932.07722501
2024-11-12 19:51:00,81GRrR2oudSsxTajwxGsfqcW88FaC4Q1Xx4HKfGipump,2.248127933366437e-05,2.404054817515729e-05,2.032068906315339e-05,2.285034847068531e-05,1m,87136298.166944
2024-11-12 19:52:00,81GRrR2oudSsxTajwxGsfqcW88FaC4Q1Xx4HKfGipump,1.6369685998591837e-05,2.248127933366437e-05,1.440742175542541e-05,2.248127933366437e-05,1m,155207270.825909
2024-11-12 19:53:00,81GRrR2oudSsxTajwxGsfqcW88FaC4Q1Xx4HKfGipump,2.0562226677139316e-05,2.0562226677139316e-05,1.6228991301998188e-05,1.6369685998591837e-05,1m,80073614.551299
2024-11-12 19:54:00,81GRrR2oudSsxTajwxGsfqcW88FaC4Q1Xx4HKfGipump,1.4525690836445916e-05,2.200968992752086e-05,1.4525690836445916e-05,2.0562226677139316e-05,1m,272193687.23941296
2024-11-12 19:55:00,81GRrR2oudSsxTajwxGsfqcW88FaC4Q1Xx4HKfGipump,1.3916978586211381e-05,1.4525690836445916e-05,1.3735087913812992e-05,1.4525690836445916e-05,1m,27616423.270981
2024-11-12 19:56:00,81GRrR2oudSsxTajwxGsfqcW88FaC4Q1Xx4HKfGipump,1.544621291543596e-05,1.6338168496170028e-05,1.3851759264159474e-05,1.3916978586211381e-05,1m,59748410.700687
2024-11-12 19:57:00,81GRrR2oudSsxTajwxGsfqcW88FaC4Q1Xx4HKfGipump,1.6664971730894587e-05,1.6664971730894587e-05,1.544621291543596e-05,1.544621291543596e-05,1m,18823267.110547
2024-11-12 19:58:00,81GRrR2oudSsxTajwxGsfqcW88FaC4Q1Xx4HKfGipump,2.055008426967908e-05,2.055008426967908e-05,1.6664971730894587e-05,1.6664971730894587e-05,1m,46143410.056227006
2024-11-12 19:59:00,81GRrR2oudSsxTajwxGsfqcW88FaC4Q1Xx4HKfGipump,2.4332585902200376e-05,2.4332585902200376e-05,2.055008426967908e-05,2.055008426967908e-05,1m,33920586.564445004
2024-11-12 20:00:00,81GRrR2oudSsxTajwxGsfqcW88FaC4Q1Xx4HKfGipump,2.1011675211061195e-05,2.4405568228662702e-05,1.789108735944449e-05,2.4332585902200376e-05,1m,114497150.37299001
2024-11-12 20:01:00,81GRrR2oudSsxTajwxGsfqcW88FaC4Q1Xx4HKfGipump,2.1011675211061195e-05,2.1011675211061195e-05,2.1011675211061195e-05,2.1011675211061195e-05,1m,0.0
2024-11-12 20:02:00,81GRrR2oudSsxTajwxGsfqcW88FaC4Q1Xx4HKfGipump,2.1011675211061195e-05,2.1011675211061195e-05,2.1011675211061195e-05,2.1011675211061195e-05,1m,0.0
2024-11-12 20:03:00,81GRrR2oudSsxTajwxGsfqcW88FaC4Q1Xx4HKfGipump,1.8691415744599775e-05,2.116303149646829e-05,1.8691415744599775e-05,2.1011675211061195e-05,1m,29329741.282511
2024-11-12 20:04:00,81GRrR2oudSsxTajwxGsfqcW88FaC4Q1Xx4HKfGipump,1.8145209032055113e-05,1.8691415744599775e-05,1.8145209032055113e-05,1.8691415744599775e-05,1m,12027530.323020998
2024-11-12 20:05:00,81GRrR2oudSsxTajwxGsfqcW88FaC4Q1Xx4HKfGipump,1.4836921605411469e-05,1.8145209032055113e-05,1.4458884295129873e-05,1.8145209032055113e-05,1m,58110504.43308
2024-11-12 20:06:00,81GRrR2oudSsxTajwxGsfqcW88FaC4Q1Xx4HKfGipump,1.4776468083303357e-05,1.4836921605411469e-05,1.4776468083303357e-05,1.4836921605411469e-05,1m,704908.315242
2024-11-12 20:07:00,81GRrR2oudSsxTajwxGsfqcW88FaC4Q1Xx4HKfGipump,1.4714444390880494e-05,1.4776468083303357e-05,1.4714444390880494e-05,1.4776468083303357e-05,1m,475972.859983
2024-11-12 20:08:00,81GRrR2oudSsxTajwxGsfqcW88FaC4Q1Xx4HKfGipump,1.3677418036280555e-05,1.4714444390880494e-05,1.3677418036280555e-05,1.4714444390880494e-05,1m,20665307.856006
2024-11-12 20:09:00,81GRrR2oudSsxTajwxGsfqcW88FaC4Q1Xx4HKfGipump,1.3482895499549921e-05,1.3677418036280555e-05,1.3482895499549921e-05,1.3677418036280555e-05,1m,2137129.477426
2024-11-12 20:10:00,81GRrR2oudSsxTajwxGsfqcW88FaC4Q1Xx4HKfGipump,1.3482895499549921e-05,1.3482895499549921e-05,1.3482895499549921e-05,1.3482895499549921e-05,1m,0.0
2024-11-12 20:11:00,81GRrR2oudSsxTajwxGsfqcW88FaC4Q1Xx4HKfGipump,1.296713820431378e-05,1.3482895499549921e-05,1.296713820431378e-05,1.3482895499549921e-05,1m,9866880.29889
2024-11-12 20:12:00,81GRrR2oudSsxTajwxGsfqcW88FaC4Q1Xx4HKfGipump,1.296713820431378e-05,1.296713820431378e-05,1.296713820431378e-05,1.296713820431378e-05,1m,0.0
2024-11-12 20:13:00,81GRrR2oudSsxTajwxGsfqcW88FaC4Q1Xx4HKfGipump,1.4804463464097343e-05,1.4804463464097343e-05,1.2928806174782005e-05,1.296713820431378e-05,1m,35725819.256561
2024-11-12 20:14:00,81GRrR2oudSsxTajwxGsfqcW88FaC4Q1Xx4HKfGipump,1.563180449458547e-05,1.563180449458547e-05,1.4804463464097343e-05,1.4804463464097343e-05,1m,13224438.880323
2024-11-12 20:15:00,81GRrR2oudSsxTajwxGsfqcW88FaC4Q1Xx4HKfGipump,1.6335073953358603e-05,1.6335073953358603e-05,1.563180449458547e-05,1.563180449458547e-05,1m,12259304.251896
2024-11-12 20:16:00,81GRrR2oudSsxTajwxGsfqcW88FaC4Q1Xx4HKfGipump,1.403367917128386e-05,1.6335073953358603e-05,1.403367917128386e-05,1.6335073953358603e-05,1m,40511331.312059
2024-11-12 20:17:00,81GRrR2oudSsxTajwxGsfqcW88FaC4Q1Xx4HKfGipump,1.373658708655535e-05,1.403367917128386e-05,1.373658708655535e-05,1.403367917128386e-05,1m,2740023.073248
2024-11-12 20:18:00,81GRrR2oudSsxTajwxGsfqcW88FaC4Q1Xx4HKfGipump,1.3690591145767233e-05,1.374886822448497e-05,1.3690591145767233e-05,1.373658708655535e-05,1m,200033.543808
2024-11-12 20:19:00,81GRrR2oudSsxTajwxGsfqcW88FaC4Q1Xx4HKfGipump,1.3766191103460195e-05,1.3766191103460195e-05,1.3690591145767233e-05,1.3690591145767233e-05,1m,103335.612607
2024-11-12 20:20:00,81GRrR2oudSsxTajwxGsfqcW88FaC4Q1Xx4HKfGipump,1.4139397111235972e-05,1.4139397111235972e-05,1.3766191103460195e-05,1.3766191103460195e-05,1m,8283161.362923
2024-11-12 20:21:00,81GRrR2oudSsxTajwxGsfqcW88FaC4Q1Xx4HKfGipump,1.4139397111235972e-05,1.4139397111235972e-05,1.4139397111235972e-05,1.4139397111235972e-05,1m,0.0
2024-11-12 20:22:00,81GRrR2oudSsxTajwxGsfqcW88FaC4Q1Xx4HKfGipump,1.720420053665829e-05,1.720420053665829e-05,1.4139397111235972e-05,1.4139397111235972e-05,1m,48634787.947382
2024-11-12 20:23:00,81GRrR2oudSsxTajwxGsfqcW88FaC4Q1Xx4HKfGipump,1.925781350305813e-05,1.925781350305813e-05,1.720420053665829e-05,1.720420053665829e-05,1m,25129392.254137002
2024-11-12 20:24:00,81GRrR2oudSsxTajwxGsfqcW88FaC4Q1Xx4HKfGipump,2.0003253959689427e-05,2.0003253959689427e-05,1.917983573371445e-05,1.925781350305813e-05,1m,26590346.887523
2024-11-12 20:25:00,81GRrR2oudSsxTajwxGsfqcW88FaC4Q1Xx4HKfGipump,1.898059769208609e-05,2.090512052948777e-05,1.898059769208609e-05,2.0003253959689427e-05,1m,25598914.565178
2024-11-12 20:26:00,81GRrR2oudSsxTajwxGsfqcW88FaC4Q1Xx4HKfGipump,1.7859648664237242e-05,1.898059769208609e-05,1.779202350087713e-05,1.898059769208609e-05,1m,36676249.28243101
2024-11-12 20:27:00,81GRrR2oudSsxTajwxGsfqcW88FaC4Q1Xx4HKfGipump,1.8730090482433922e-05,1.8730090482433922e-05,1.7859648664237242e-05,1.7859648664237242e-05,1m,2067376.292824
2024-11-12 20:28:00,81GRrR2oudSsxTajwxGsfqcW88FaC4Q1Xx4HKfGipump,1.8737312133260875e-05,1.8737312133260875e-05,1.8719142339306088e-05,1.8730090482433922e-05,1m,148803.986157
2024-11-12 20:29:00,81GRrR2oudSsxTajwxGsfqcW88FaC4Q1Xx4HKfGipump,1.5743624649391187e-05,1.8737312133260875e-05,1.5743624649391187e-05,1.8737312133260875e-05,1m,50091400.992286
2024-11-12 20:30:00,81GRrR2oudSsxTajwxGsfqcW88FaC4Q1Xx4HKfGipump,1.4627307141734545e-05,1.5743624649391187e-05,1.4627307141734545e-05,1.5743624649391187e-05,1m,14430925.798847
