datetime,address,c,h,l,o,type,v
2024-11-12 21:00:00,G5V5hN3rvXYEJsMdroG1CMCzZM3BmtH3BueNFTgDpump,0.0025082286388208534,0.003923595424541467,4.770161697090179e-05,8.034621105822403e-05,1H,10359043944.102009
2024-11-12 22:00:00,G5V5hN3rvXYEJsMdroG1CMCzZM3BmtH3BueNFTgDpump,0.002042431737441908,0.0036740460669755807,0.001525199567016747,0.0025082286388208534,1H,1576867024.6448383
2024-11-12 23:00:00,G5V5hN3rvXYEJsMdroG1CMCzZM3BmtH3BueNFTgDpump,0.0014278482570998395,0.002232991301892454,0.0009463666343269588,0.002042431737441908,1H,1016158629.8725421
2024-11-13 00:00:00,G5V5hN3rvXYEJsMdroG1CMCzZM3BmtH3BueNFTgDpump,0.0006261062317055747,0.00202865996402376,0.000567608470099656,0.0014278482570998395,1H,1068987165.0076348
2024-11-13 01:00:00,G5V5hN3rvXYEJsMdroG1CMCzZM3BmtH3BueNFTgDpump,0.0006578826635895451,0.00112587731691731,0.0005612238698472528,0.0006261062317055747,1H,647012928.6599511
2024-11-13 02:00:00,G5V5hN3rvXYEJsMdroG1CMCzZM3BmtH3BueNFTgDpump,0.0008479643080233619,0.001134838717824172,0.0005086996653289648,0.0006578826635895451,1H,658199007.5052824
2024-11-13 03:00:00,G5V5hN3rvXYEJsMdroG1CMCzZM3BmtH3BueNFTgDpump,0.0013676768842106122,0.001465145894336013,0.0007909233568985363,0.0008479643080233619,1H,364140522.9172976
2024-11-13 04:00:00,G5V5hN3rvXYEJsMdroG1CMCzZM3BmtH3BueNFTgDpump,0.0006553557380569893,0.0014006360339684461,0.0005656971950080838,0.0013676768842106122,1H,372406043.8420639
2024-11-13 05:00:00,G5V5hN3rvXYEJsMdroG1CMCzZM3BmtH3BueNFTgDpump,0.0006044638917603876,0.001009269174106226,0.0005773810853247807,0.0006553557380569893,1H,295762470.1875462
2024-11-13 06:00:00,G5V5hN3rvXYEJsMdroG1CMCzZM3BmtH3BueNFTgDpump,0.000674640858567251,0.000695041631252251,0.0006004196390597355,0.0006044638917603876,1H,31608075.319342002
