datetime,address,c,h,l,o,type,v
2024-11-29 18:30:00,6RP5gmTs7WkRdWnQSSXysEKF8gjEGPMvp231emQQegR3,0.0009806563678460424,0.0010119320035398092,0.0006844230258221194,0.0008975073733612474,15m,32730733.09938284
2024-11-29 18:45:00,6RP5gmTs7WkRdWnQSSXysEKF8gjEGPMvp231emQQegR3,0.0009115493022905091,0.0011100005392925575,0.0008725169099545082,0.0009806563678460424,15m,25113755.51343654
2024-11-29 19:00:00,6RP5gmTs7WkRdWnQSSXysEKF8gjEGPMvp231emQQegR3,0.000895980474482343,0.001023415391276972,0.0007358500437772695,0.0009115493022905091,15m,24538973.950017646
2024-11-29 19:15:00,6RP5gmTs7WkRdWnQSSXysEKF8gjEGPMvp231emQQegR3,0.0008455193680709715,0.0008962985830589567,0.0007435444836446443,0.000895980474482343,15m,8080503.67688852
2024-11-29 19:30:00,6RP5gmTs7WkRdWnQSSXysEKF8gjEGPMvp231emQQegR3,0.0006390147671397898,0.0008455193680709715,0.0006390147671397898,0.0008455193680709715,15m,14006629.306270318
2024-11-29 19:45:00,6RP5gmTs7WkRdWnQSSXysEKF8gjEGPMvp231emQQegR3,0.0006438115749168583,0.0007123287872880986,0.0005742696244828947,0.0006390147671397898,15m,10311892.433099557
2024-11-29 20:00:00,6RP5gmTs7WkRdWnQSSXysEKF8gjEGPMvp231emQQegR3,0.0006006737890366603,0.00065040787760864,0.0005340216938976396,0.0006438115749168583,15m,9692060.59718971
2024-11-29 20:15:00,6RP5gmTs7WkRdWnQSSXysEKF8gjEGPMvp231emQQegR3,0.0005367413499702472,0.0006015038018384729,0.00047782263310732224,0.0006006737890366603,15m,11493002.06202231
2024-11-29 20:30:00,6RP5gmTs7WkRdWnQSSXysEKF8gjEGPMvp231emQQegR3,0.0005230306324543595,0.0005479965951067944,0.00047100285664318617,0.0005367413499702472,15m,10011608.691678137
2024-11-29 20:45:00,6RP5gmTs7WkRdWnQSSXysEKF8gjEGPMvp231emQQegR3,0.0005494439324500015,0.0005518250397286776,0.00047613624062941813,0.0005230306324543595,15m,12341605.685595315
2024-11-29 21:00:00,6RP5gmTs7WkRdWnQSSXysEKF8gjEGPMvp231emQQegR3,0.0005140909853551536,0.0005588311382104883,0.0005053877540198583,0.0005494439324500015,15m,4597432.002131851
2024-11-29 21:15:00,6RP5gmTs7WkRdWnQSSXysEKF8gjEGPMvp231emQQegR3,0.0005588655036643579,0.0005635453814101481,0.0005121576966161567,0.0005140909853551536,15m,5860535.040746496
2024-11-29 21:30:00,6RP5gmTs7WkRdWnQSSXysEKF8gjEGPMvp231emQQegR3,0.0005103762820245318,0.000559448573731927,0.0005071338444951068,0.0005588655036643579,15m,2827935.100770351
2024-11-29 21:45:00,6RP5gmTs7WkRdWnQSSXysEKF8gjEGPMvp231emQQegR3,0.0005278716863355396,0.0005543621606324643,0.0005097721954287044,0.0005103762820245318,15m,1231502.927056434
2024-11-29 22:00:00,6RP5gmTs7WkRdWnQSSXysEKF8gjEGPMvp231emQQegR3,0.0005286524550162742,0.0005382220352605346,0.0005198023903170726,0.0005278716863355396,15m,2458567.3190269717
2024-11-29 22:15:00,6RP5gmTs7WkRdWnQSSXysEKF8gjEGPMvp231emQQegR3,0.0004938790008617634,0.0005286524550162742,0.0004807397720541256,0.0005286524550162742,15m,7813821.043248463
2024-11-29 22:30:00,6RP5gmTs7WkRdWnQSSXysEKF8gjEGPMvp231emQQegR3,0.0004310929974662551,0.0004938790008617634,0.00042759493272415247,0.0004938790008617634,15m,14048027.217304502
2024-11-29 22:45:00,6RP5gmTs7WkRdWnQSSXysEKF8gjEGPMvp231emQQegR3,0.00043266551868212665,0.0004405766000322572,0.00042430956221172416,0.0004310929974662551,15m,5319616.762862359
2024-11-29 23:00:00,6RP5gmTs7WkRdWnQSSXysEKF8gjEGPMvp231emQQegR3,0.0004229946698946923,0.0004343210497996142,0.00041610215216125886,0.00043266551868212665,15m,2923395.2745520244
