datetime,address,c,h,l,o,type,v
2024-12-02 07:45:00,4DL9wtSPGkWPeofR19M8Lawk1kc2rASJdGmx1CHgpump,2.60357873868211e-05,3.71926578843438e-05,7.361282904017195e-06,7.361282904017195e-06,15m,1472671815.85621
2024-12-02 08:00:00,4DL9wtSPGkWPeofR19M8Lawk1kc2rASJdGmx1CHgpump,5.3748657462203e-05,6.24240030040321e-05,1.9647428788746785e-05,2.60357873868211e-05,15m,2622355352.830524
2024-12-02 08:15:00,4DL9wtSPGkWPeofR19M8Lawk1kc2rASJdGmx1CHgpump,5.921233243065357e-05,8.045874479373093e-05,2.694874844481729e-05,5.3748657462203e-05,15m,1878121231.7295928
2024-12-02 08:30:00,4DL9wtSPGkWPeofR19M8Lawk1kc2rASJdGmx1CHgpump,3.865117711725337e-05,9.218129397739647e-05,1.8884771454019553e-05,5.921233243065357e-05,15m,1433846919.909091
2024-12-02 08:45:00,4DL9wtSPGkWPeofR19M8Lawk1kc2rASJdGmx1CHgpump,2.6515665846291822e-05,5.0958454937010605e-05,1.7564371732598665e-05,3.865117711725337e-05,15m,1568296486.2788496
2024-12-02 09:00:00,4DL9wtSPGkWPeofR19M8Lawk1kc2rASJdGmx1CHgpump,1.793839469023995e-05,3.4654960400619896e-05,1.5297460638197575e-05,2.6515665846291822e-05,15m,537818158.5609392
2024-12-02 09:15:00,4DL9wtSPGkWPeofR19M8Lawk1kc2rASJdGmx1CHgpump,1.1859606387691761e-05,1.810020034755684e-05,1.1859606387691761e-05,1.793839469023995e-05,15m,184680494.638294
2024-12-02 09:30:00,4DL9wtSPGkWPeofR19M8Lawk1kc2rASJdGmx1CHgpump,1.3239796505129352e-05,1.3369879023284204e-05,1.1644859476660986e-05,1.1859606387691761e-05,15m,85207740.372996
2024-12-02 09:45:00,4DL9wtSPGkWPeofR19M8Lawk1kc2rASJdGmx1CHgpump,2.1066192193427573e-05,3.156783421626056e-05,1.3146558803268016e-05,1.3239796505129352e-05,15m,358284824.4249251
2024-12-02 10:00:00,4DL9wtSPGkWPeofR19M8Lawk1kc2rASJdGmx1CHgpump,2.1813576272790923e-05,2.4706194396860117e-05,1.5955654162918505e-05,2.1066192193427573e-05,15m,237696964.01889798
