datetime,address,c,h,l,o,type,v
2024-12-08 11:15:00,AenarEGtcvG9YMiUiD4fZ9FzinHTP3WhtCzrQWJDpump,1.3143082036856264e-05,1.3143427877494159e-05,1.2674493326215828e-05,1.2674493326215828e-05,15m,361260544.5776681
2024-12-08 11:30:00,AenarEGtcvG9YMiUiD4fZ9FzinHTP3WhtCzrQWJDpump,1.3855320667748148e-05,1.3999617683867739e-05,1.3143082036856264e-05,1.3143082036856264e-05,15m,32277935.558266
2024-12-08 11:45:00,AenarEGtcvG9YMiUiD4fZ9FzinHTP3WhtCzrQWJDpump,1.4696989210797642e-05,1.4696989210797642e-05,1.3720686974575273e-05,1.3855320667748148e-05,15m,60092195.74690699
2024-12-08 12:00:00,AenarEGtcvG9YMiUiD4fZ9FzinHTP3WhtCzrQWJDpump,1.4165087609326055e-05,1.4743092063984045e-05,1.415553578186489e-05,1.4696989210797642e-05,15m,20152407.195034996
2024-12-08 12:15:00,AenarEGtcvG9YMiUiD4fZ9FzinHTP3WhtCzrQWJDpump,1.417016219421539e-05,1.4453558840052839e-05,1.4097080449924031e-05,1.4165087609326055e-05,15m,33377780.040591
2024-12-08 12:30:00,AenarEGtcvG9YMiUiD4fZ9FzinHTP3WhtCzrQWJDpump,1.434265644400765e-05,1.434265644400765e-05,1.407159933398581e-05,1.417016219421539e-05,15m,9417725.831902
2024-12-08 12:45:00,AenarEGtcvG9YMiUiD4fZ9FzinHTP3WhtCzrQWJDpump,1.41887791345925e-05,1.434265644400765e-05,1.41887791345925e-05,1.434265644400765e-05,15m,6252638.690667001
2024-12-08 13:00:00,AenarEGtcvG9YMiUiD4fZ9FzinHTP3WhtCzrQWJDpump,1.4121172530657742e-05,1.41887791345925e-05,1.4121172530657742e-05,1.41887791345925e-05,15m,3434122.033858
2024-12-08 13:15:00,AenarEGtcvG9YMiUiD4fZ9FzinHTP3WhtCzrQWJDpump,1.4121172530657742e-05,1.4121172530657742e-05,1.4121172530657742e-05,1.4121172530657742e-05,15m,0.0
2024-12-08 13:30:00,AenarEGtcvG9YMiUiD4fZ9FzinHTP3WhtCzrQWJDpump,1.4083758514670115e-05,1.4121172530657742e-05,1.4083758514670115e-05,1.4121172530657742e-05,15m,815671.0
2024-12-08 13:45:00,AenarEGtcvG9YMiUiD4fZ9FzinHTP3WhtCzrQWJDpump,1.4083758514670115e-05,1.4083758514670115e-05,1.4083758514670115e-05,1.4083758514670115e-05,15m,0.0
2024-12-08 14:00:00,AenarEGtcvG9YMiUiD4fZ9FzinHTP3WhtCzrQWJDpump,1.4083758514670115e-05,1.4083758514670115e-05,1.4083758514670115e-05,1.4083758514670115e-05,15m,0.0
2024-12-08 14:15:00,AenarEGtcvG9YMiUiD4fZ9FzinHTP3WhtCzrQWJDpump,1.4083758514670115e-05,1.4083758514670115e-05,1.4083758514670115e-05,1.4083758514670115e-05,15m,0.0
2024-12-08 14:30:00,AenarEGtcvG9YMiUiD4fZ9FzinHTP3WhtCzrQWJDpump,1.4083758514670115e-05,1.4083758514670115e-05,1.4083758514670115e-05,1.4083758514670115e-05,15m,0.0
2024-12-08 14:45:00,AenarEGtcvG9YMiUiD4fZ9FzinHTP3WhtCzrQWJDpump,1.4083758514670115e-05,1.4083758514670115e-05,1.4083758514670115e-05,1.4083758514670115e-05,15m,0.0
2024-12-08 15:00:00,AenarEGtcvG9YMiUiD4fZ9FzinHTP3WhtCzrQWJDpump,1.4083758514670115e-05,1.4083758514670115e-05,1.4083758514670115e-05,1.4083758514670115e-05,15m,0.0
2024-12-08 15:15:00,AenarEGtcvG9YMiUiD4fZ9FzinHTP3WhtCzrQWJDpump,1.4083758514670115e-05,1.4083758514670115e-05,1.4083758514670115e-05,1.4083758514670115e-05,15m,0.0
2024-12-08 15:30:00,AenarEGtcvG9YMiUiD4fZ9FzinHTP3WhtCzrQWJDpump,1.4083758514670115e-05,1.4083758514670115e-05,1.4083758514670115e-05,1.4083758514670115e-05,15m,0.0
2024-12-08 15:45:00,AenarEGtcvG9YMiUiD4fZ9FzinHTP3WhtCzrQWJDpump,1.3889332923066096e-05,1.4083758514670115e-05,1.3889332923066096e-05,1.4083758514670115e-05,15m,5342919.939668
2024-12-08 16:00:00,AenarEGtcvG9YMiUiD4fZ9FzinHTP3WhtCzrQWJDpump,1.3889332923066096e-05,1.3889332923066096e-05,1.3889332923066096e-05,1.3889332923066096e-05,15m,0.0
2024-12-08 16:15:00,AenarEGtcvG9YMiUiD4fZ9FzinHTP3WhtCzrQWJDpump,1.3863529756222045e-05,1.3889332923066096e-05,1.3863529756222045e-05,1.3889332923066096e-05,15m,334600.0
2024-12-08 16:30:00,AenarEGtcvG9YMiUiD4fZ9FzinHTP3WhtCzrQWJDpump,1.3863529756222045e-05,1.3863529756222045e-05,1.3863529756222045e-05,1.3863529756222045e-05,15m,0.0
2024-12-08 16:45:00,AenarEGtcvG9YMiUiD4fZ9FzinHTP3WhtCzrQWJDpump,1.3863529756222045e-05,1.3863529756222045e-05,1.3863529756222045e-05,1.3863529756222045e-05,15m,0.0
2024-12-08 17:00:00,AenarEGtcvG9YMiUiD4fZ9FzinHTP3WhtCzrQWJDpump,1.3863529756222045e-05,1.3863529756222045e-05,1.3863529756222045e-05,1.3863529756222045e-05,15m,0.0
2024-12-08 17:15:00,AenarEGtcvG9YMiUiD4fZ9FzinHTP3WhtCzrQWJDpump,1.3760393651019661e-05,1.3863529756222045e-05,1.3760393651019661e-05,1.3863529756222045e-05,15m,157613.301707
2024-12-08 17:30:00,AenarEGtcvG9YMiUiD4fZ9FzinHTP3WhtCzrQWJDpump,1.3760393651019661e-05,1.3760393651019661e-05,1.3760393651019661e-05,1.3760393651019661e-05,15m,0.0
2024-12-08 17:45:00,AenarEGtcvG9YMiUiD4fZ9FzinHTP3WhtCzrQWJDpump,1.3760393651019661e-05,1.3760393651019661e-05,1.3760393651019661e-05,1.3760393651019661e-05,15m,0.0
2024-12-08 18:00:00,AenarEGtcvG9YMiUiD4fZ9FzinHTP3WhtCzrQWJDpump,1.3760393651019661e-05,1.3760393651019661e-05,1.3760393651019661e-05,1.3760393651019661e-05,15m,0.0
2024-12-08 18:15:00,AenarEGtcvG9YMiUiD4fZ9FzinHTP3WhtCzrQWJDpump,1.3760393651019661e-05,1.3760393651019661e-05,1.3760393651019661e-05,1.3760393651019661e-05,15m,0.0
2024-12-08 18:30:00,AenarEGtcvG9YMiUiD4fZ9FzinHTP3WhtCzrQWJDpump,1.3760393651019661e-05,1.3760393651019661e-05,1.3760393651019661e-05,1.3760393651019661e-05,15m,0.0
2024-12-08 18:45:00,AenarEGtcvG9YMiUiD4fZ9FzinHTP3WhtCzrQWJDpump,1.3354743395008343e-05,1.3760393651019661e-05,1.3354743395008343e-05,1.3760393651019661e-05,15m,22354565.896055
2024-12-08 19:00:00,AenarEGtcvG9YMiUiD4fZ9FzinHTP3WhtCzrQWJDpump,1.3354743395008343e-05,1.3354743395008343e-05,1.3354743395008343e-05,1.3354743395008343e-05,15m,0.0
2024-12-08 19:15:00,AenarEGtcvG9YMiUiD4fZ9FzinHTP3WhtCzrQWJDpump,1.3354743395008343e-05,1.3354743395008343e-05,1.3354743395008343e-05,1.3354743395008343e-05,15m,0.0
