datetime,address,c,h,l,o,type,v
2024-12-08 11:45:00,HcRcwhPz5iNXMsk6hY3anH9YsbEYU65aYqqvP1g8pump,7.557198067204043e-06,7.744252585028802e-06,7.557198067204043e-06,7.744252585028802e-06,15m,107186851.052006
2024-12-08 12:00:00,HcRcwhPz5iNXMsk6hY3anH9YsbEYU65aYqqvP1g8pump,7.3694514858996096e-06,7.557198067204043e-06,7.3694514858996096e-06,7.557198067204043e-06,15m,152432.161284
2024-12-08 12:15:00,HcRcwhPz5iNXMsk6hY3anH9YsbEYU65aYqqvP1g8pump,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,15m,0.0
2024-12-08 12:30:00,HcRcwhPz5iNXMsk6hY3anH9YsbEYU65aYqqvP1g8pump,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,15m,0.0
2024-12-08 12:45:00,HcRcwhPz5iNXMsk6hY3anH9YsbEYU65aYqqvP1g8pump,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,15m,0.0
2024-12-08 13:00:00,HcRcwhPz5iNXMsk6hY3anH9YsbEYU65aYqqvP1g8pump,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,15m,0.0
2024-12-08 13:15:00,HcRcwhPz5iNXMsk6hY3anH9YsbEYU65aYqqvP1g8pump,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,15m,0.0
2024-12-08 13:30:00,HcRcwhPz5iNXMsk6hY3anH9YsbEYU65aYqqvP1g8pump,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,15m,0.0
2024-12-08 13:45:00,HcRcwhPz5iNXMsk6hY3anH9YsbEYU65aYqqvP1g8pump,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,15m,0.0
2024-12-08 14:00:00,HcRcwhPz5iNXMsk6hY3anH9YsbEYU65aYqqvP1g8pump,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,15m,0.0
2024-12-08 14:15:00,HcRcwhPz5iNXMsk6hY3anH9YsbEYU65aYqqvP1g8pump,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,15m,0.0
2024-12-08 14:30:00,HcRcwhPz5iNXMsk6hY3anH9YsbEYU65aYqqvP1g8pump,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,15m,0.0
2024-12-08 14:45:00,HcRcwhPz5iNXMsk6hY3anH9YsbEYU65aYqqvP1g8pump,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,15m,0.0
2024-12-08 15:00:00,HcRcwhPz5iNXMsk6hY3anH9YsbEYU65aYqqvP1g8pump,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,15m,0.0
2024-12-08 15:15:00,HcRcwhPz5iNXMsk6hY3anH9YsbEYU65aYqqvP1g8pump,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,15m,0.0
2024-12-08 15:30:00,HcRcwhPz5iNXMsk6hY3anH9YsbEYU65aYqqvP1g8pump,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,15m,0.0
2024-12-08 15:45:00,HcRcwhPz5iNXMsk6hY3anH9YsbEYU65aYqqvP1g8pump,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,15m,0.0
2024-12-08 16:00:00,HcRcwhPz5iNXMsk6hY3anH9YsbEYU65aYqqvP1g8pump,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,15m,0.0
2024-12-08 16:15:00,HcRcwhPz5iNXMsk6hY3anH9YsbEYU65aYqqvP1g8pump,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,15m,0.0
2024-12-08 16:30:00,HcRcwhPz5iNXMsk6hY3anH9YsbEYU65aYqqvP1g8pump,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,15m,0.0
2024-12-08 16:45:00,HcRcwhPz5iNXMsk6hY3anH9YsbEYU65aYqqvP1g8pump,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,15m,0.0
2024-12-08 17:00:00,HcRcwhPz5iNXMsk6hY3anH9YsbEYU65aYqqvP1g8pump,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,15m,0.0
2024-12-08 17:15:00,HcRcwhPz5iNXMsk6hY3anH9YsbEYU65aYqqvP1g8pump,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,15m,0.0
2024-12-08 17:30:00,HcRcwhPz5iNXMsk6hY3anH9YsbEYU65aYqqvP1g8pump,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,15m,0.0
2024-12-08 17:45:00,HcRcwhPz5iNXMsk6hY3anH9YsbEYU65aYqqvP1g8pump,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,15m,0.0
2024-12-08 18:00:00,HcRcwhPz5iNXMsk6hY3anH9YsbEYU65aYqqvP1g8pump,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,15m,0.0
2024-12-08 18:15:00,HcRcwhPz5iNXMsk6hY3anH9YsbEYU65aYqqvP1g8pump,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,7.3694514858996096e-06,15m,0.0
