Name,Symbol,Market Cap,Volume 24h,24h Change (%),Liquidity,Address,decimals,symbol,name,price,liquidity,uniqueWallet30m,uniqueWallet30mChangePercent,uniqueWallet1h,uniqueWallet1hChangePercent,uniqueWallet2h,uniqueWallet2hChangePercent,uniqueWallet4h,uniqueWallet4hChangePercent,uniqueWallet6h,uniqueWallet6hChangePercent,uniqueWallet8h,uniqueWallet8hChangePercent,uniqueWallet12h,uniqueWallet12hChangePercent,uniqueWallet24h,uniqueWallet24hChangePercent,realMc,holder,numberMarkets,coingeckoId,telegram,twitter,website,discord
Red Siberian Husky ,KOVU,503K,3.48Mil,-78.7862629501727,103718.67882892354,Acud16jqA9j1Hc83JrHYeiN2BpK8LYYQ1h6FGnYrpump,6,KOVU,Red Siberian Husky ,0.0005109942326058,103718.67882892354,49,53.125,75,10.294117647058822,127,-23.03030303030303,255,-13.26530612244898,,,483,-49.050632911392405,,,2403,-13.374188896899785,511K,1562,1,,,,,
Chad Grammatical Model Launch,PEMDAS,505K,12.14Mil,,101073.96783157186,6f41LGHuU2HVV67ao9GwJ6kv2jNUz9HL6FJPVYcJpump,6,PEMDAS,Chad Grammatical Model Launch,0.0003567110246877,95582.0509031027,228,41.61490683229814,327,11.986301369863012,503,-14.890016920473771,901,-35.963041933191185,,,1931,-45.25092146299971,,,4934,,357K,1673,2,,,,,
tinyLLM P𝓇ophet,c𝓎rus,520K,1.01Mil,26.724250548891547,104494.82090591516,4oJh9x5Cr14bfaBtUsXN1YUZbxRhuae9nrkSyWGSpump,6,c𝓎rus,tinyLLM P𝓇ophet,0.0005320768687696,104495.6872261514,24,4.3478260869565215,44,-25.42372881355932,90,66.66666666666666,126,-59.7444089456869,,,398,45.25547445255474,,,578,133.06451612903226,525K,2140,1,,,,,
DEGEN TAYLOR,DEGEN,558K,35.17Mil,,126945.14173544337,ATEWnH7CyLUyDAYVnUS4jxBi243SWUnBmmpRf3QRpump,6,DEGEN,DEGEN TAYLOR,0.000547344200119,124032.14003289572,122,-27.380952380952383,281,22.17391304347826,507,-48.891129032258064,1463,-33.10470964791952,,,3594,-22.005208333333336,,,8062,,547K,10791,2,,,,,
Solaria Utopia,SOLARIA,558K,2.30Mil,157.42585789275566,101711.37187462024,H3c9RZhvCzxQSmLULh4RsJC8GuK9rVNV2bcoLhMQmoon,9,SOLARIA,Solaria Utopia,0.0005923817731026,101711.37187462024,33,50.0,47,80.76923076923077,69,-46.51162790697674,179,-31.153846153846157,,,365,0.5509641873278237,,,1101,-29.961832061068705,587K,824,4,,,,,
queefcoin,queef,561K,6.79Mil,652.072266207459,143155.21729581806,4VdCEb24qJ24yvq8H14skQ5gJpyT9xCMcg4ssA4zpump,6,queef,queefcoin,0.0005203203606991,143151.93557256658,34,-47.69230769230769,85,-29.166666666666668,166,97.61904761904762,216,-35.13513513513514,,,439,-66.94277108433735,,,2107,1083.7078651685397,520K,1204,3,,,,,
popo,popo,561K,1.71Mil,622.9096447395902,196018.3887185712,6kJhG826LGowg7zG6PLd6tg7mqvVSdq2WzHhsfc7pump,6,popo,popo,0.0005583506246733,196018.38880314663,13,116.66666666666669,18,-47.05882352941176,51,27.500000000000004,86,-44.516129032258064,,,211,-39.19308357348703,,,920,1739.9999999999998,558K,2010,3,popo-2,https://t.me/poposolana_cto,https://twitter.com/poposolanacto,https://popo.baby/,
memOS AI,memOS,565K,20.85Mil,,122417.5941341549,3KCDgWw1C6PdjUsUXonYm6TGaDWKsLxmEjdBP7s8pump,6,memOS,memOS AI,0.0005567521309281,127996.63479389423,188,0.0,330,-26.666666666666668,664,-3.206997084548105,1124,-21.343596920923723,,,2154,-69.7980931015143,,,8081,,557K,2274,6,,,,,
Shadow AI,SHADOAI,587K,1.76Mil,227.69769687027247,107460.0553680984,7VwxiPZeSYfQbQxqorGBctSyorPMJusrGDFkX5TFpump,6,SHADOAI,Shadow AI,0.0005737010079318,107460.0490024447,5,-70.58823529411765,21,-27.58620689655172,43,-2.272727272727273,82,-39.25925925925926,,,196,-50.37974683544304,,,1056,-11.483654652137467,574K,1252,4,,,,,
iShares Fartcoin Trust,iFART,589K,3.72Mil,1113.4206325262155,123370.75155974564,5eNQJ87WnfMMfgNrc8qSJNTGmMyFqmQdnDYY9phApump,6,iFART,iShares Fartcoin Trust,0.000604791982696,123653.00305193804,33,17.857142857142858,57,-30.48780487804878,118,13.461538461538462,189,-1.0471204188481675,,,309,-75.20064205457464,,,1457,3635.897435897436,605K,585,4,,,,,
