datetime,address,c,h,l,o,type,v
2024-11-28 01:13:00,AkfSx5gVFeoQP8yagFJ3ZncU9r7QXUFurLaWwKdspump,3.631489127375351e-05,0.000101978760120748,3.631489127375351e-05,0.000101978760120748,1m,288424713.938874
2024-11-28 01:14:00,AkfSx5gVFeoQP8yagFJ3ZncU9r7QXUFurLaWwKdspump,1.938607423264482e-05,3.884904284767313e-05,1.9214091328292828e-05,3.631489127375351e-05,1m,243363973.63833505
2024-11-28 01:15:00,AkfSx5gVFeoQP8yagFJ3ZncU9r7QXUFurLaWwKdspump,2.0192498490243867e-05,3.1262160251162254e-05,1.7152354832801126e-05,1.938607423264482e-05,1m,314332780.678559
2024-11-28 01:16:00,AkfSx5gVFeoQP8yagFJ3ZncU9r7QXUFurLaWwKdspump,2.8496253333259192e-05,2.8496253333259192e-05,1.94898889479731e-05,2.0192498490243867e-05,1m,191568913.281993
2024-11-28 01:17:00,AkfSx5gVFeoQP8yagFJ3ZncU9r7QXUFurLaWwKdspump,2.7688849560845338e-05,2.9645657146356382e-05,2.670256130519977e-05,2.8496253333259192e-05,1m,69819054.79307202
2024-11-28 01:18:00,AkfSx5gVFeoQP8yagFJ3ZncU9r7QXUFurLaWwKdspump,3.061670051409196e-05,3.061670051409196e-05,2.7627328415682122e-05,2.7688849560845338e-05,1m,26608220.388887
2024-11-28 01:19:00,AkfSx5gVFeoQP8yagFJ3ZncU9r7QXUFurLaWwKdspump,1.767454627192356e-05,3.061670051409196e-05,1.767454627192356e-05,3.061670051409196e-05,1m,120732428.236076
2024-11-28 01:20:00,AkfSx5gVFeoQP8yagFJ3ZncU9r7QXUFurLaWwKdspump,1.6238018497758893e-05,1.767454627192356e-05,1.6238018497758893e-05,1.767454627192356e-05,1m,39147962.203897
2024-11-28 01:21:00,AkfSx5gVFeoQP8yagFJ3ZncU9r7QXUFurLaWwKdspump,1.4311098017603884e-05,1.6238018497758893e-05,1.4193656888735412e-05,1.6238018497758893e-05,1m,29713756.727973998
2024-11-28 01:22:00,AkfSx5gVFeoQP8yagFJ3ZncU9r7QXUFurLaWwKdspump,1.4311098017603884e-05,1.4311098017603884e-05,1.4311098017603884e-05,1.4311098017603884e-05,1m,0.0
2024-11-28 01:23:00,AkfSx5gVFeoQP8yagFJ3ZncU9r7QXUFurLaWwKdspump,1.699927286216779e-05,1.699927286216779e-05,1.4311098017603884e-05,1.4311098017603884e-05,1m,42388168.573661
2024-11-28 01:24:00,AkfSx5gVFeoQP8yagFJ3ZncU9r7QXUFurLaWwKdspump,1.7117258607471296e-05,1.7117258607471296e-05,1.699927286216779e-05,1.699927286216779e-05,1m,283994.25296
2024-11-28 01:25:00,AkfSx5gVFeoQP8yagFJ3ZncU9r7QXUFurLaWwKdspump,1.675720840120226e-05,1.7117258607471296e-05,1.675720840120226e-05,1.7117258607471296e-05,1m,8369220.475147
2024-11-28 01:26:00,AkfSx5gVFeoQP8yagFJ3ZncU9r7QXUFurLaWwKdspump,1.6197939520942877e-05,1.675720840120226e-05,1.6197939520942877e-05,1.675720840120226e-05,1m,1199395.026956
2024-11-28 01:27:00,AkfSx5gVFeoQP8yagFJ3ZncU9r7QXUFurLaWwKdspump,1.8858083592320767e-05,1.8858083592320767e-05,1.6197939520942877e-05,1.6197939520942877e-05,1m,42094499.13777
2024-11-28 01:28:00,AkfSx5gVFeoQP8yagFJ3ZncU9r7QXUFurLaWwKdspump,2.1691167374414316e-05,2.1691167374414316e-05,1.8858083592320767e-05,1.8858083592320767e-05,1m,28490699.542370003
2024-11-28 01:29:00,AkfSx5gVFeoQP8yagFJ3ZncU9r7QXUFurLaWwKdspump,2.128547598100159e-05,2.1691167374414316e-05,2.1273253650500663e-05,2.1691167374414316e-05,1m,13148600.990093999
2024-11-28 01:30:00,AkfSx5gVFeoQP8yagFJ3ZncU9r7QXUFurLaWwKdspump,2.128547598100159e-05,2.128547598100159e-05,2.128547598100159e-05,2.128547598100159e-05,1m,0.0
2024-11-28 01:31:00,AkfSx5gVFeoQP8yagFJ3ZncU9r7QXUFurLaWwKdspump,2.1365525928853026e-05,2.1422677570208e-05,2.128547598100159e-05,2.128547598100159e-05,1m,843412.2810830001
2024-11-28 01:32:00,AkfSx5gVFeoQP8yagFJ3ZncU9r7QXUFurLaWwKdspump,2.0801962807820385e-05,2.1365525928853026e-05,2.0801962807820385e-05,2.1365525928853026e-05,1m,5970847.709833
2024-11-28 01:33:00,AkfSx5gVFeoQP8yagFJ3ZncU9r7QXUFurLaWwKdspump,2.069838344839578e-05,2.0801962807820385e-05,2.069838344839578e-05,2.0801962807820385e-05,1m,1134165.754685
2024-11-28 01:34:00,AkfSx5gVFeoQP8yagFJ3ZncU9r7QXUFurLaWwKdspump,2.0614516399723194e-05,2.069838344839578e-05,2.0614516399723194e-05,2.069838344839578e-05,1m,843412.2810739999
2024-11-28 01:35:00,AkfSx5gVFeoQP8yagFJ3ZncU9r7QXUFurLaWwKdspump,2.0614516399723194e-05,2.0614516399723194e-05,2.0614516399723194e-05,2.0614516399723194e-05,1m,0.0
2024-11-28 01:36:00,AkfSx5gVFeoQP8yagFJ3ZncU9r7QXUFurLaWwKdspump,2.0614516399723194e-05,2.0614516399723194e-05,2.0614516399723194e-05,2.0614516399723194e-05,1m,0.0
