row_index,name,token,5m_change,1h_change,6h_change,5m_transactions,5m_volume,mcp,liquidity_sol,holders,open_time,top10_holders,dev_hold_%,dev_burnt,telegram,timestamp
0,Joi,2GU2KM9mx4aXuMcD596KN5LPQpyTLsmswutjis7upump,3.25%,5.5%,50.31%,2,2.8K,5.4M,621.56,913,21d,11.18%,0.7% Sell Part,-,https://t.me/MyJoiAI,2024-11-19 23:41:12
1,Blobana pet,DgG9sM56ZcVidBV8bNArQPm93a2rmjzHkrrUntGSpump,24.23%,99999%,99999%,,,8.2M,927.03,3289,26min,16.05%,1.76%,-,https://t.me/blobana,2024-11-19 23:41:12
2,we go higher,EHRZ7UTweF6uoeVWtKCRXatss9nwbSPDY1tPBt2fpump,57.21%,69%,61.73%,224,134K,5.9M,697.98,8564,10d,15.39%,0%,-,https://t.me/euphoricjoin,2024-11-19 23:41:12
3,Naval AI,7wM4MnbsPsG95A3WhZgbrPWvMtydKmJjqKr2ZVJVpump,9.57%,17.28%,15.22%,463,965.9K,5.3M,874.56,4596,12d,19.69%,0.03% Sell Part,-,https://t.me/NavalMachine,2024-11-19 23:41:12
4,Tensorium,HHoXk7WursT9DLBBhHzBWBbuQkfvvoNyHKpJi61mpump,25.67%,95.82%,75.42%,100,101.3K,8M,800.28,2659,3d,21.72%,6.23% Buy More,-,,2024-11-19 23:41:12
5,sentient memes producer,J73VLpgUiWxooiTwbQyae7h5e29kGrC5RqrbicW2pump,47.83%,111%,286.7%,69,59.7K,5.2M,637.75,1415,7d,28.05%,0%,-,,2024-11-19 23:41:12
6,Dogefather,EcYK2XNG4wWr2vDg2M2Hrts6SrU2QB4NzXLBf888pump,,,,,,7M,687.59,5645,35min,13.23%,0%,-,https://t.me/Dogefathersols,2024-11-19 23:41:12
7,The Society Library,7wUwkXo8Qjt3cYM8BaHHHeyfDY7ZSn7qvod92pNupump,23.42%,39.65%,26.86%,32,38.2K,8.9M,958.46,1856,22d,22.01%,0%,-,https://t.me/sl_coin_portal,2024-11-19 23:41:12
8,spencience,7hfP5T1rirsb1EhhLrRnsM8EN3FCaio7cmAwMdcypump,52.53%,142.6%,138.2%,204,141.4K,5.3M,738.37,2209,5d,16.25%,2.01% Buy More,-,,2024-11-19 23:41:12
9,Crime onchain,7M3gDRgozcumFsiTeXwjB8cYxpg7Q9R7rH7rkw2Fpump,50.86%,26.9%,402.7%,196,60.5K,5.5M,900.54,2495,7d,16.86%,1.54% Buy More,-,https://t.me/crimeonchain,2024-11-19 23:41:12
10,Arie The Sealion,4ZiYgt9nyPXvSfBWADGYHiWnTdnogrFgLTALdFWVpump,252.3%,266.6%,450.8%,,,18.9M,922.84,9213,9d,16.31%,0%,-,https://t.me/ariectosol,2024-11-19 23:41:12
11,Dark PNUT | The Chronicles,5ztN73tntZbv7JC6ZzmEfXmzaUvJm6UEgNjzEfTtpump,17.78%,120.1%,295.8%,189,238.4K,10.3M,918.5,2903,1d,15.96%,0.71%,-,,2024-11-19 23:41:12
12,Trump Official Dance Move,QcNnhASrCxLpkqndMvLJmBu8HAkdViZzdipBAoypump,13.77%,27.23%,183.3%,49,28.2K,5.3M,668.54,1843,6d,19.06%,0%,-,https://t.me/SHIMMYCTO,2024-11-19 23:41:12
13,ZOA AI,AwcCFuJgUYNYHXm6tHhr7DsXDY6FKvXUt2DFjmgHpump,3.75%,31.61%,26.06%,60,52.2K,5.2M,858.31,2292,21d,18.56%,2.46%,-,http://t.me/ZOAAIBUNNYGIRL,2024-11-19 23:41:12
14,DeSci,24nieqR3QwoMxM79mvekz8SBUqzx26aNVUUmCUggpump,67.15%,250.1%,262%,1151,762.1K,7.9M,798.6,7102,1d,10.44%,0%,-,https://t.me/DeSci_Real_CTO,2024-11-19 23:41:12
15,Just a chill guy,Df6yfrKC8kZE3KNkrHERKzAetSxbrWeniQfyJY4Jpump,22.14%,64.88%,164.7%,77,56.6K,6.5M,719.7,2411,1d,17.76%,0%,-,,2024-11-19 23:41:12
16,Ropirito,CtaVq7fp5xwYFenGQypqdK97LJhTD72GgRsY8e4Npump,5.77%,19.84%,21.86%,32,23.9K,7.1M,986.2,3732,5d,13%,0%,-,,2024-11-19 23:41:12
17,The Society Library,7wUwkXo8Qjt3cYM8BaHHHeyfDY7ZSn7qvod92pNupump,0.93%,21.78%,135.4%,72,15.4K,6.9M,917.64,1771,20d,22.37%,0%,-,https://t.me/sl_coin_portal,2024-11-19 23:41:12
18,MineTard AI,42yzLyxGDjD5RFFQFYNVy7Pzubz6QPCK7HFK52f1pump,49.72%,63.41%,276.8%,113,104.2K,6.3M,650.98,2230,4d,18.13%,1.76%,-,,2024-11-19 23:41:12
19,fur-nancial advisor,DQc6FTgu2HiB1PMUkHj8SATCtxsCeeMz5hiaqwk1pump,,,,,,5.5M,576.97,4185,32min,16.48%,0%,-,,2024-11-19 23:41:12
20,BOSSU,5h5YCbybHMpVj378FrxrypY9eXKoy92Vpw9xyru1pump,94.85%,63.23%,244.2%,209,102.3K,5M,855.78,3222,4d,15.07%,1.18% Buy More,-,https://t.me/bossuportal,2024-11-19 23:41:12
21,choccy milk cat,DFy12AkbxKnR2s2gaYz1AvxgxqGDrMEjjzK1GG3Ypump,26.8%,50.12%,53.77%,56,42K,5.6M,845.03,2044,23d,23.32%,4%,-,,2024-11-19 23:41:12
22,TOP HAT,AxGAbdFtdbj2oNXa4dKqFvwHzgFtW9mFHWmd7vQfpump,32.6%,56.84%,6.72%,37,42.5K,10.7M,984.53,1176,16d,20.38%,0%,-,https://t.me/tophatwizards,2024-11-19 23:41:12
23,John McAIfee,86QASyebqezuPdbbkWyYMK5jmTAL1td1SuqobeKEpump,37.18%,86.16%,136%,140,116.2K,8.4M,763.36,3259,2d,14.92%,1.58%,-,https://t.me/JohnMcAifee,2024-11-19 23:41:12
