name,token,5m_change,1h_change,6h_change,5m_transactions,5m_volume,mcp,liquidity_sol,holders,open_time,top10_holders,dev_hold_%,dev_burnt,telegram,timestamp,fdv_surge_amount,fdv_surge_percent
ᴀᴄᴛ: ᴠɪɪ ᴀɪ dog,F1R9mHnHugZvhTq8Xopbxz6ZXZKhWKuWwMnMpBiypump,179.9%,179.9%,179.9%,245,67.3K,18.8K,18.61,32,3min,28.22%,0%,-,,2024-11-16 03:06:29,14.1K,+209.4%
ᴀᴄᴛ: ᴠɪɪ ᴀɪ dog,4QRwkeCGbxgYwubgfXfSzpqLATSzPNyw2RsR7fQ7Rvyh,619%,619%,619%,101,12.2K,45.9K,48.58,48,3min,44.73%,0%,-,,2024-11-16 03:06:29,39.4K,+618.1%
t0mi,8RiJNs4Tv45tQpjo1ipFoxHtPXRjdYQAHibaXSwApump,201.7%,201.7%,201.7%,135,12K,18.9K,15.15,26,1min,26.3%,0%,-,"https://t.me/, https://t.me/",2024-11-16 03:06:29,12.7K,+201.7%
First AI that can alter DNA,AKMSvPKstDz4S2Z4KxqANMkM92ge6sjT9igmp8Q7pump,218.6%,218.6%,218.6%,321,32.9K,20.1K,17.95,28,2min,22.31%,0%,-,,2024-11-16 03:06:29,13.8K,+218.6%
Kuro,FhXS15X6b1NNLuK9yXTC1dEXkr63ESHqVk4p9U5aevVW,433.9%,433.9%,433.9%,116,9.4K,33.5K,38.79,46,2min,37.55%,0%,-,https://t.me/+BiMRa5fO27Y1NzNl,2024-11-16 03:06:29,25.9K,+412.6%
Kuro,47GyuiCjN5BSyWwQueucifGwNjYpvTKPAapSKUPLpump,630.2%,630.2%,630.2%,173,45.7K,46.2K,39.62,91,1min,37.82%,3.46%,-,https://t.me/+BiMRa5fO27Y1NzNl,2024-11-16 03:06:29,53.7K,+849.1%
Danny,Ggre51Bxy4iAY79BV7xD2gGoCWnizrbew7dfNNTSpump,331.2%,331.2%,331.2%,108,39K,39.6K,44.94,58,2min,24.07%,0%,-,,2024-11-16 03:06:29,30.2K,+329.4%
Lil Mochi,3PbndTCoekCJLU15GFqUBaszetLEKDeFENM9AU2Vpump,488.5%,488.5%,488.5%,124,9.6K,37.2K,42.94,182,1min,15.31%,0.05%,-,,2024-11-16 03:06:29,30.8K,+486.6%
Ape Lincoln,3g3sjZCBFmtyRRzv3jbQdY7SRzA8Ee41igvxm35Jpump,398.1%,398.1%,398.1%,101,15.3K,31.2K,25.12,41,4min,38.34%,0%,-,https://t.me/+v5YpjT7l1EJiN2Yx,2024-11-16 03:06:29,24.2K,+385.9%
Crypto Investment Agency,9k2hz6jeAqkghjmiZ9u8qDNiC5veanbJfzDAuJToPJdn,822%,822%,822%,107,14.9K,58.9K,59.03,52,3min,44.73%,0%,-,,2024-11-16 03:06:29,51.8K,+811.7%
Danny,ADc6jg6EmtN1d7HHaCJgSyePavv3yNTMUjZFfkuxkr68,551.6%,551.6%,551.6%,233,55.8K,45.2K,57.2,99,49s,33.83%,0%,-,,2024-11-16 03:06:29,59.8K,+862.6%
glory,8ynynnUjcnx8XS1MDANZdfFCQGQkJivN6HRV65KSpump,294.3%,294.3%,294.3%,112,32.5K,25.4K,30.85,31,2min,32.88%,5.11%,-,https://t.me/glorycto,2024-11-16 03:06:29,19.8K,+307.9%
BT21,FcJRvVwmEe6mCEa73TzqEkEpKGLurZzyRmzgsuaEpump,220.3%,220.3%,220.3%,109,19.5K,19.7K,31.62,61,3min,26.31%,0.71%,-,,2024-11-16 03:06:29,19.8K,+320.6%
Ibab,DDJkJBxEkpober3bSeUsoxq7j7x2YfK3i5FeAG8cH4nV,501.4%,501.4%,501.4%,117,10.7K,37.7K,40.05,51,2min,37.55%,0%,-,,2024-11-16 03:06:29,28.5K,+454.5%
Everything is for my,NBgT6VrgaFsyQTSxh6thmZxRdsat5qYRm3N97skpump,220.3%,220.3%,220.3%,150,14K,20.2K,14.53,30,2min,32.48%,0%,-,,2024-11-16 03:06:29,13.8K,+219.5%
First AI pet,2tMYuzrCKLd4XQMCvndKBdX2kDimW7xRAS7i4Fi5A51S,737.9%,737.9%,737.9%,110,13.5K,52.6K,54.66,45,4min,36.6%,0%,-,,2024-11-16 03:06:29,44.3K,+704.9%
miachoi,FD2yeAmGwSTabR8sVgwkxA3t8PoywNnXYBMbCsdVpump,295.6%,295.6%,295.6%,119,15.5K,24.7K,21.4,48,2min,38.37%,1.76%,-,,2024-11-16 03:06:29,16.3K,+261.8%
rizz hamster,DBVtpaDqhdk7UCeqJRx8GfovM9NkHWYuBgs59Zf2dvHP,276.4%,276.4%,276.4%,147,29.9K,24K,6.96,29,4min,10.82%,0%,-,,2024-11-16 03:06:29,17.6K,+276.4%
OG NETFLIX,CBovMiNTJYTz3FeVhYdX7gTTUpK65M39Je94ubbwpump,221.8%,466.9%,466.9%,157,28.5K,38.8K,44.7,189,14min,23.01%,0%,-,,2024-11-16 03:06:29,26.2K,+206.8%
Chuck,Bj7d3cuYVHGeXJBuz3c18BziUoefSLWPzu9J2r5Epump,525.8%,525.8%,525.8%,111,12.5K,39.6K,45.6,184,2min,9.11%,0.02%,-,https://t.me/Cardano,2024-11-16 03:06:29,33.1K,+523.4%
