row_index,name,token,5m_change,1h_change,6h_change,5m_transactions,5m_volume,mcp,liquidity_sol,holders,open_time,top10_holders,dev_hold_%,dev_burnt,telegram,timestamp,fdv_surge_amount,fdv_surge_percent
0,GEN Z BOSS,H6VtUxjU3iDrqmobKyLzs7JT18XiFLsXosnf6P4tpump,34.48%,1343.4%,1291%,546,175.1K,128.8K,79.01,299,3min,31.35%,0%,-,,2024-11-21 03:38:15,33K,+34.48%
1,manual car,5Hd9FVXBQExSwawquJyMyMkdVxynoXgiGh1UxuR1pump,41.49%,97.35%,2368.3%,945,44.9K,187.3K,106.59,841,1h,22.68%,0%,-,https://t.me/manualcarcto,2024-11-21 03:38:15,54.9K,+41.49%
2,DIDDY IS FREE,8bm2x6KDi9NY1cTehkUM9eYzhn1ycTyQvSuw34PvxjA5,58.39%,953.3%,953.3%,506,163.8K,74.2K,79.01,137,40s,22.86%,0%,-,,2024-11-21 03:38:15,27.4K,+58.39%
3,DTSNPCFCHS,4BeyY94CREjSvvv1v2dQGiLps1H3hShfk7oFBnqRA7hk,68.85%,913.7%,913.7%,502,10.5K,261K,126.12,167,80d,15.3%,0%,-,,2024-11-21 03:38:15,104.7K,+67.76%
4,dog tortured to death,Bxogn1WHZf9NbwLyn23CMZBSKuRcA9W9eV5AqSaopump,50.03%,1549.1%,5714.2%,602,221.6K,404.2K,216.19,780,3h,23.04%,0%,-,,2024-11-21 03:38:15,134.8K,+50.03%
5,Just a chill president,6YJi3fDUhaT8qZperbDL1mpjbjiXyYhXhAuYW1g4Rfba,41.55%,1905.3%,1905.3%,622,198.1K,136.8K,79.01,141,4min,27.03%,3.46%,-,,2024-11-21 03:38:15,40.2K,+41.55%
6,I identify myself as normie,Gjnk5wzZhYm1Vfw5aeHyWxyWsGDBSqAEcxk9Hwd7pump,31.86%,-1.15%,-27.29%,1000,5.1K,131.6K,97.88,1250,5h,18.75%,0%,-,https://t.me/CTONormie,2024-11-21 03:38:15,32.4K,+32.59%
7,Just a rocket guy,CmHZexM6QpWiZwAYb6igPhC3TpMnRFayNJLUfCpPpump,37.26%,128.5%,1782.7%,531,70K,128.5K,79.01,650,4min,21.91%,0%,-,,2024-11-21 03:38:15,34.9K,+37.26%
8,Scott Bessent,Bh3qipvCMm8vS2UbnmCMje7Qiow7KHCHDXsdJnDonUSa,60.03%,21.77%,14.33%,636,256.9K,2M,476.16,16219,21h,2.61%,0.04% Add Liquidity,-,https://t.me/Scott_Bessent_Portal,2024-11-21 03:38:15,565.7K,+45.12%
9,UNEMPLOYED NIGGA,6niatGe7ZPZJZhPT5fwdLr12cfdhq9ZYQwZqZ1MSpump,126.5%,126.5%,126.5%,520,53.7K,205.8K,84.86,227,4min,11.56%,0% Add Liquidity,-,,2024-11-21 03:38:15,114.9K,+126.5%
10,21,EzG93Y2AatLFaafrfyqYAkZVhcYNErXKFPTK3LKipump,53.72%,3038.2%,3038.2%,516,161.5K,210.5K,97.05,525,19min,27.55%,1.76%,-,,2024-11-21 03:38:15,71.6K,+53.24%
11,ThatlittlePuff,4W7TTY1xH5weE3hMqDjQSwLNHYTiXttkgZsW5RsCykic,223.1%,3072%,4039.7%,504,168.6K,307.5K,79.01,311,3min,32.19%,0%,-,https://t.me/datlittlepuff,2024-11-21 03:38:15,212.4K,+223.1%
12,the Doge FATHER,FUAbDqUwbjrkAuM4wTGHQx8ZqDxHmAwaAGZvjrQ6sufp,33.92%,-61.83%,-74.71%,511,157.2K,2.1M,470.46,12892,12h,18.42%,0% Add Liquidity,-,https://t.me/DOGEFATHER_Official_Portal,2024-11-21 03:38:15,536.9K,+33.92%
13,BiggiesMunchies,BpeL44ZVGVRzqiUhRNgmVvA56bz2F5V8DRUtBSEJpump,52.75%,1980.1%,1980.1%,564,149.6K,140.2K,79.01,334,2min,27.58%,3.13%,-,https://t.me/BIGGIESMUNCHIESPORTAL,2024-11-21 03:38:15,49.3K,+53.75%
14,Floofnoodles,X3rigWZSJhEE5DCQVWhnEChpWkJyHfidwXUSQPBpump,36.12%,161.8%,215.7%,619,313.6K,5.4M,770.45,8738,7h,13.84%,0%,-,https://t.me/FloofNoodle,2024-11-21 03:38:15,1.4,+36.12%
