datetime,o,h,l,c,v,address,type,token,timestamp
2024-11-13 10:00:00,8.552575847437824e-06,3.250828174650355e-05,6.982898437556426e-06,8.552575847437824e-06,3585054775.628134,24nieqR3QwoMxM79mvekz8SBUqzx26aNVUUmCUggpump,1H,24nieqR3QwoMxM79mvekz8SBUqzx26aNVUUmCUggpump,2024-11-13 10:00:00
2024-11-13 11:00:00,8.552575847437824e-06,9.076339357777315e-06,8.40104507475066e-06,8.40104507475066e-06,111269641.41375299,24nieqR3QwoMxM79mvekz8SBUqzx26aNVUUmCUggpump,1H,24nieqR3QwoMxM79mvekz8SBUqzx26aNVUUmCUggpump,2024-11-13 11:00:00
2024-11-13 12:00:00,8.40104507475066e-06,1.127706649143648e-05,8.288619012212664e-06,8.60646383764863e-06,245699221.12935296,24nieqR3QwoMxM79mvekz8SBUqzx26aNVUUmCUggpump,1H,24nieqR3QwoMxM79mvekz8SBUqzx26aNVUUmCUggpump,2024-11-13 12:00:00
2024-11-13 13:00:00,8.60646383764863e-06,8.60646383764863e-06,8.539327463379745e-06,8.539327463379745e-06,20496570.129338,24nieqR3QwoMxM79mvekz8SBUqzx26aNVUUmCUggpump,1H,24nieqR3QwoMxM79mvekz8SBUqzx26aNVUUmCUggpump,2024-11-13 13:00:00
2024-11-13 14:00:00,8.539327463379745e-06,8.539327463379745e-06,8.354068270171276e-06,8.354068270171276e-06,317600.038585,24nieqR3QwoMxM79mvekz8SBUqzx26aNVUUmCUggpump,1H,24nieqR3QwoMxM79mvekz8SBUqzx26aNVUUmCUggpump,2024-11-13 14:00:00
2024-11-13 15:00:00,8.354068270171276e-06,8.354068270171276e-06,7.84720517227857e-06,7.84720517227857e-06,36376643.439209,24nieqR3QwoMxM79mvekz8SBUqzx26aNVUUmCUggpump,1H,24nieqR3QwoMxM79mvekz8SBUqzx26aNVUUmCUggpump,2024-11-13 15:00:00
2024-11-13 16:00:00,7.84720517227857e-06,7.914019145589068e-06,7.374988747871708e-06,7.388489074291919e-06,27585302.852221,24nieqR3QwoMxM79mvekz8SBUqzx26aNVUUmCUggpump,1H,24nieqR3QwoMxM79mvekz8SBUqzx26aNVUUmCUggpump,2024-11-13 16:00:00
2024-11-13 17:00:00,7.388489074291919e-06,7.505602550953927e-06,7.388489074291919e-06,7.505602550953927e-06,675097.843052,24nieqR3QwoMxM79mvekz8SBUqzx26aNVUUmCUggpump,1H,24nieqR3QwoMxM79mvekz8SBUqzx26aNVUUmCUggpump,2024-11-13 17:00:00
2024-11-13 18:00:00,7.505602550953927e-06,7.5417478312794714e-06,7.505602550953927e-06,7.521706285779118e-06,1527181.072672,24nieqR3QwoMxM79mvekz8SBUqzx26aNVUUmCUggpump,1H,24nieqR3QwoMxM79mvekz8SBUqzx26aNVUUmCUggpump,2024-11-13 18:00:00
2024-11-13 19:00:00,7.521706285779118e-06,7.521706285779118e-06,7.521706285779118e-06,7.521706285779118e-06,0.0,24nieqR3QwoMxM79mvekz8SBUqzx26aNVUUmCUggpump,1H,24nieqR3QwoMxM79mvekz8SBUqzx26aNVUUmCUggpump,2024-11-13 19:00:00
