datetime,address,c,h,l,o,type,v,token,timestamp
2024-10-31 20:15:00,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,0.0003103317542123664,0.0009975006484375,5.977175169492477e-05,7.728886340083781e-05,15m,1812671638.250381,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,2024-10-31 20:15:00
2024-10-31 20:30:00,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,0.00046601922353785356,0.0011010631572707296,0.0002536468853213637,0.0003103317542123664,15m,3027443680.795667,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,2024-10-31 20:30:00
2024-10-31 20:45:00,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,0.0002196035917078437,0.000717438314921558,0.00017221796278626324,0.00046601922353785356,15m,1289507689.7612996,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,2024-10-31 20:45:00
2024-10-31 21:00:00,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,7.412397250111135e-05,0.0003961289308971861,6.911949859368499e-05,0.0002196035917078437,15m,1894422082.8828142,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,2024-10-31 21:00:00
2024-10-31 21:15:00,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,3.7481950765216464e-05,0.00010788189111095694,3.3939272553793264e-05,7.412397250111135e-05,15m,1194865009.9244156,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,2024-10-31 21:15:00
2024-10-31 21:30:00,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,5.174884361246895e-05,7.250921407901185e-05,2.535682527878471e-05,3.7481950765216464e-05,15m,1028694742.213592,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,2024-10-31 21:30:00
2024-10-31 21:45:00,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,3.5150210376609024e-05,8.497141136200758e-05,3.4848917413580476e-05,5.174884361246895e-05,15m,457355029.03312624,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,2024-10-31 21:45:00
2024-10-31 22:00:00,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,2.7622088597826572e-05,3.5150210376609024e-05,2.746940421081607e-05,3.5150210376609024e-05,15m,252030921.12551308,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,2024-10-31 22:00:00
2024-10-31 22:15:00,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,2.01191210966296e-05,2.7800748724075884e-05,2.01191210966296e-05,2.7622088597826572e-05,15m,127783118.28225209,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,2024-10-31 22:15:00
2024-10-31 22:30:00,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,2.4016780986304624e-05,9.725781978628704e-05,1.8644035900695228e-05,2.01191210966296e-05,15m,1663183328.057436,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,2024-10-31 22:30:00
2024-10-31 22:45:00,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,2.3334186570445732e-05,2.915435562149432e-05,2.2677713661206912e-05,2.4016780986304624e-05,15m,268653126.6021298,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,2024-10-31 22:45:00
2024-10-31 23:00:00,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,1.6407509472319835e-05,3.8349709774907544e-05,1.6407339428061162e-05,2.3334186570445732e-05,15m,535715477.63918316,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,2024-10-31 23:00:00
2024-10-31 23:15:00,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,1.6862965014839067e-05,2.000382734228043e-05,1.2816146954942392e-05,1.6407509472319835e-05,15m,244074485.30593908,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,2024-10-31 23:15:00
2024-10-31 23:30:00,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,3.8870836931830146e-05,3.995961566987912e-05,1.5067412844211867e-05,1.6862965014839067e-05,15m,430025598.0237471,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,2024-10-31 23:30:00
2024-10-31 23:45:00,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,7.295517238012905e-05,8.316739739502147e-05,3.1810139568479815e-05,3.8870836931830146e-05,15m,428947713.64427584,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,2024-10-31 23:45:00
2024-11-01 00:00:00,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,4.18295969664416e-05,7.527604252632848e-05,4.156980111083331e-05,7.295517238012905e-05,15m,377936264.71401703,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,2024-11-01 00:00:00
2024-11-01 00:15:00,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,2.5936603682978434e-05,4.751518225815031e-05,2.5345471868902908e-05,4.18295969664416e-05,15m,442855320.7502861,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,2024-11-01 00:15:00
2024-11-01 00:30:00,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,2.325456210328089e-05,2.742187945837899e-05,2.0686009766764954e-05,2.5936603682978434e-05,15m,204258614.38692895,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,2024-11-01 00:30:00
2024-11-01 00:45:00,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,2.025896471853901e-05,2.5175753303524345e-05,1.838004413696152e-05,2.325456210328089e-05,15m,268319025.17760187,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,2024-11-01 00:45:00
2024-11-01 01:00:00,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,2.1528183833361946e-05,2.6810731758243293e-05,1.9972866999668935e-05,2.025896471853901e-05,15m,140426361.68439698,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,2024-11-01 01:00:00
2024-11-01 01:15:00,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,2.1392367470052618e-05,2.853936633378455e-05,2.1392367470052618e-05,2.1528183833361946e-05,15m,203481132.083192,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,2024-11-01 01:15:00
2024-11-01 01:30:00,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,1.8488065683897147e-05,2.2925097939511273e-05,1.8370840184673498e-05,2.1392367470052618e-05,15m,134700719.92266703,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,2024-11-01 01:30:00
2024-11-01 01:45:00,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,1.7854550315003564e-05,2.1035658761808298e-05,1.7645059844383624e-05,1.8488065683897147e-05,15m,94043639.026599,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,2024-11-01 01:45:00
2024-11-01 02:00:00,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,2.1124939117578038e-05,2.4564307619630487e-05,1.770053898378045e-05,1.7854550315003564e-05,15m,135038147.336889,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,2024-11-01 02:00:00
2024-11-01 02:15:00,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,2.0634895945948805e-05,2.385302671051057e-05,2.0634895945948805e-05,2.1124939117578038e-05,15m,50634316.872965,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,2024-11-01 02:15:00
2024-11-01 02:30:00,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,2.1230124962287576e-05,2.1460097005188717e-05,2.033215813798634e-05,2.0634895945948805e-05,15m,25213965.280664004,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,2024-11-01 02:30:00
2024-11-01 02:45:00,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,2.1220466405781618e-05,2.1868688143203012e-05,2.084878752941752e-05,2.1230124962287576e-05,15m,29803981.704662997,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,2024-11-01 02:45:00
2024-11-01 03:00:00,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,1.6752696444057645e-05,2.135363607807864e-05,1.6752696444057645e-05,2.1220466405781618e-05,15m,55741697.092520006,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,2024-11-01 03:00:00
2024-11-01 03:15:00,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,1.4803301999714607e-05,1.6752696444057645e-05,1.4717474485429684e-05,1.6752696444057645e-05,15m,42140369.381023005,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,2024-11-01 03:15:00
2024-11-01 03:30:00,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,2.2586078419748963e-05,2.5261352853996087e-05,1.4803301999714607e-05,1.4803301999714607e-05,15m,322428158.5906931,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,2024-11-01 03:30:00
2024-11-01 03:45:00,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,2.2023332304209688e-05,2.3471286080440627e-05,2.11186814202394e-05,2.2586078419748963e-05,15m,54969104.980377,FEiphCSAqjAxvtyMxj8boFTABrZBFyngfyrZueqeMw3q,2024-11-01 03:45:00
